"","date","PFGC"
"1","2015-09-30",19
"2","2015-10-01",19.200001
"3","2015-10-02",21.18
"4","2015-10-05",22.02
"5","2015-10-06",21.25
"6","2015-10-07",21.26
"7","2015-10-08",21.98
"8","2015-10-09",21.709999
"9","2015-10-12",22.290001
"10","2015-10-13",22.02
"11","2015-10-14",22.290001
"12","2015-10-15",22.42
"13","2015-10-16",21.940001
"14","2015-10-19",21.950001
"15","2015-10-20",22.110001
"16","2015-10-21",22.18
"17","2015-10-22",22.190001
"18","2015-10-23",22.190001
"19","2015-10-26",22.030001
"20","2015-10-27",22.52
"21","2015-10-28",22.51
"22","2015-10-29",22.67
"23","2015-10-30",22.77
"24","2015-11-02",22.75
"25","2015-11-03",22.98
"26","2015-11-04",21.9
"27","2015-11-05",21.52
"28","2015-11-06",21.85
"29","2015-11-09",21.690001
"30","2015-11-10",22.74
"31","2015-11-11",22.799999
"32","2015-11-12",22.440001
"33","2015-11-13",22.389999
"34","2015-11-16",22.360001
"35","2015-11-17",22.76
"36","2015-11-18",23
"37","2015-11-19",22.65
"38","2015-11-20",22.66
"39","2015-11-23",23.030001
"40","2015-11-24",23.110001
"41","2015-11-25",22.959999
"42","2015-11-27",23.17
"43","2015-11-30",23.129999
"44","2015-12-01",23.040001
"45","2015-12-02",22.950001
"46","2015-12-03",21.91
"47","2015-12-04",21.98
"48","2015-12-07",23
"49","2015-12-08",23
"50","2015-12-09",22.959999
"51","2015-12-10",22.719999
"52","2015-12-11",22.66
"53","2015-12-14",22.870001
"54","2015-12-15",23.190001
"55","2015-12-16",23.629999
"56","2015-12-17",25.09
"57","2015-12-18",24.299999
"58","2015-12-21",24.59
"59","2015-12-22",24.469999
"60","2015-12-23",24.389999
"61","2015-12-24",24.690001
"62","2015-12-28",23.9
"63","2015-12-29",23.67
"64","2015-12-30",23.42
"65","2015-12-31",23.139999
"66","2016-01-04",22.41
"67","2016-01-05",22.120001
"68","2016-01-06",21.76
"69","2016-01-07",21.360001
"70","2016-01-08",20.799999
"71","2016-01-11",20.77
"72","2016-01-12",20.290001
"73","2016-01-13",20.51
"74","2016-01-14",21.23
"75","2016-01-15",20.85
"76","2016-01-19",21.219999
"77","2016-01-20",21.98
"78","2016-01-21",21.639999
"79","2016-01-22",21.99
"80","2016-01-25",21.389999
"81","2016-01-26",21.92
"82","2016-01-27",21.6
"83","2016-01-28",22.129999
"84","2016-01-29",23.4
"85","2016-02-01",24.41
"86","2016-02-02",24.129999
"87","2016-02-03",24.57
"88","2016-02-04",23.639999
"89","2016-02-05",23.219999
"90","2016-02-08",23.639999
"91","2016-02-09",23.4
"92","2016-02-10",22.84
"93","2016-02-11",22.469999
"94","2016-02-12",21.530001
"95","2016-02-16",22.459999
"96","2016-02-17",22.33
"97","2016-02-18",22.610001
