"","date","BWAY"
"1","2019-04-17",11.09
"2","2019-04-18",11.25
"3","2019-04-22",11.5
"4","2019-04-23",11.31
"5","2019-04-24",11.25
"6","2019-04-25",11
"7","2019-04-26",11.01
"8","2019-04-29",10.87
"9","2019-04-30",10.87
"10","2019-05-01",11
"11","2019-05-02",11.03
"12","2019-05-03",11.08
"13","2019-05-06",11.03
"14","2019-05-07",11.01
"15","2019-05-08",10.864
"16","2019-05-09",10.817
"17","2019-05-10",10.8
"18","2019-05-13",10.38
"19","2019-05-14",10.71
"20","2019-05-15",10.8
"21","2019-05-16",10.82
"22","2019-05-17",10.882
"23","2019-05-20",10.55
"24","2019-05-21",10.85
"25","2019-05-22",10.828
"26","2019-05-23",10.68
"27","2019-05-24",10.88
"28","2019-05-28",10.545
"29","2019-05-29",10.18
"30","2019-05-30",10.061
"31","2019-05-31",10.27
"32","2019-06-03",10.1
"33","2019-06-04",9.91
"34","2019-06-05",9.94
"35","2019-06-06",9.932
"36","2019-06-07",9.678
"37","2019-06-10",9.55
"38","2019-06-11",9.1
"39","2019-06-12",8.89
"40","2019-06-13",8.7
"41","2019-06-14",8.66
"42","2019-06-17",9
"43","2019-06-18",9.29
"44","2019-06-19",9.41
"45","2019-06-20",10.25
"46","2019-06-21",10.25
"47","2019-06-24",10.49
"48","2019-06-25",10.305
"49","2019-06-26",10.38
"50","2019-06-27",10.255
"51","2019-06-28",10.488
"52","2019-07-01",10.547
"53","2019-07-02",10.8
"54","2019-07-03",10.2
"55","2019-07-05",10.273
"56","2019-07-08",10.5
"57","2019-07-09",10.51
"58","2019-07-10",10.344
"59","2019-07-11",10.07
"60","2019-07-12",10.408
"61","2019-07-15",10.1
"62","2019-07-16",10
"63","2019-07-17",10.28
"64","2019-07-18",10.15
"65","2019-07-19",10.177
"66","2019-07-22",10.05
"67","2019-07-23",9.96
"68","2019-07-24",10.15
"69","2019-07-25",10.15
"70","2019-07-26",10.44
"71","2019-07-29",10.13
"72","2019-07-30",10.3
"73","2019-07-31",9.885
"74","2019-08-01",10.193
"75","2019-08-02",10.03
"76","2019-08-05",10
"77","2019-08-06",9.95
"78","2019-08-07",9.75
"79","2019-08-08",9.41
"80","2019-08-09",9.3
"81","2019-08-12",9.31
"82","2019-08-13",9.3
"83","2019-08-14",8.55
"84","2019-08-15",8.79
"85","2019-08-16",9
"86","2019-08-19",9.25
"87","2019-08-20",10.19
"88","2019-08-21",10.17
"89","2019-08-22",10.05
"90","2019-08-23",10.25
"91","2019-08-26",10.34
"92","2019-08-27",10
"93","2019-08-28",10
"94","2019-08-29",10
"95","2019-08-30",10.07
"96","2019-09-03",10
"97","2019-09-04",10.39
"98","2019-09-05",10.31
"99","2019-09-06",10.371
"100","2019-09-09",10.5
"101","2019-09-10",10.5
"102","2019-09-11",10.5
"103","2019-09-12",10.5
"104","2019-09-13",10.5
"105","2019-09-16",10.57
"106","2019-09-17",10.57
"107","2019-09-18",10.685
"108","2019-09-19",10.19
"109","2019-09-20",10.373
"110","2019-09-23",9.633
"111","2019-09-24",9.28
"112","2019-09-25",9.51
"113","2019-09-26",9.51
"114","2019-09-27",9.51
"115","2019-09-30",9.11
"116","2019-10-01",9.19
"117","2019-10-02",9.04
"118","2019-10-03",9.12
"119","2019-10-04",9.03
"120","2019-10-07",9.18
"121","2019-10-08",8.32
"122","2019-10-09",9.12
"123","2019-10-10",9
"124","2019-10-11",9
"125","2019-10-14",9.09
"126","2019-10-15",9.09
"127","2019-10-16",8.8
"128","2019-10-17",8.85
"129","2019-10-18",8.84
"130","2019-10-21",8.9
"131","2019-10-22",8.53
"132","2019-10-23",8.55
"133","2019-10-24",8.526
"134","2019-10-25",8.56
"135","2019-10-28",8.65
"136","2019-10-29",8.48
"137","2019-10-30",8.716
"138","2019-10-31",8.9
"139","2019-11-01",9.31
"140","2019-11-04",9.74
"141","2019-11-05",9.77
"142","2019-11-06",9.35
"143","2019-11-07",9.35
"144","2019-11-08",9.29
"145","2019-11-11",9
"146","2019-11-12",9.06
"147","2019-11-13",9.07
"148","2019-11-14",9.13
"149","2019-11-15",8.95
"150","2019-11-18",8.3
"151","2019-11-19",8.7
"152","2019-11-20",8.5
"153","2019-11-21",8.548
"154","2019-11-22",8.35
"155","2019-11-25",9.4
"156","2019-11-26",9.06
"157","2019-11-27",9.41
"158","2019-11-29",9.23
"159","2019-12-02",10.8
"160","2019-12-03",10.47
"161","2019-12-04",10.558
"162","2019-12-05",10.83
"163","2019-12-06",10.65
"164","2019-12-09",10.74
"165","2019-12-10",10.5
"166","2019-12-11",10.16
"167","2019-12-12",10.37
"168","2019-12-13",10.439
"169","2019-12-16",10.03
"170","2019-12-17",10.001
"171","2019-12-18",9.55
"172","2019-12-19",9.775
"173","2019-12-20",9.65
"174","2019-12-23",9.72
"175","2019-12-24",9.72
"176","2019-12-26",9.615
"177","2019-12-27",9.69
"178","2019-12-30",9.75
"179","2019-12-31",9.75
"180","2020-01-02",9.959
"181","2020-01-03",10.198
"182","2020-01-06",10.228
"183","2020-01-07",9.947
"184","2020-01-08",10.014
"185","2020-01-09",10
"186","2020-01-10",10.1
"187","2020-01-13",10.583
"188","2020-01-14",10.75
"189","2020-01-15",10.79
"190","2020-01-16",11.72
"191","2020-01-17",11.71
"192","2020-01-21",12.22
"193","2020-01-22",12.31
"194","2020-01-23",11.864
"195","2020-01-24",12.13
"196","2020-01-27",11.68
"197","2020-01-28",11.22
"198","2020-01-29",11.23
"199","2020-01-30",11.84
"200","2020-01-31",11.25
"201","2020-02-03",11.18
"202","2020-02-04",11
"203","2020-02-05",10.886
"204","2020-02-06",11.99
"205","2020-02-07",11.9
"206","2020-02-10",12
"207","2020-02-11",12.035
"208","2020-02-12",12.04
"209","2020-02-13",11.98
"210","2020-02-14",11.98
"211","2020-02-18",11.804
"212","2020-02-19",12.09
"213","2020-02-20",12
"214","2020-02-21",12
"215","2020-02-24",11.5
"216","2020-02-25",11.522
"217","2020-02-26",11.55
"218","2020-02-27",11.367
"219","2020-02-28",10.59
"220","2020-03-02",10.9
"221","2020-03-03",10.75
"222","2020-03-04",10.96
"223","2020-03-05",10.299
"224","2020-03-06",10.1
"225","2020-03-09",8.13
"226","2020-03-10",8.8
"227","2020-03-11",8.196
"228","2020-03-12",7.15
"229","2020-03-13",7.57
"230","2020-03-16",6.24
"231","2020-03-17",6.02
"232","2020-03-18",5.233
"233","2020-03-19",6
"234","2020-03-20",5.85
"235","2020-03-23",5.98
"236","2020-03-24",6.3
"237","2020-03-25",6.6
"238","2020-03-26",6.78
"239","2020-03-27",6.65
"240","2020-03-30",6.98
"241","2020-03-31",7.94
"242","2020-04-01",7.3
"243","2020-04-02",7.481
"244","2020-04-03",7.4
"245","2020-04-06",7.557
"246","2020-04-07",7.53
"247","2020-04-08",7.6
"248","2020-04-09",8.125
"249","2020-04-13",8.05
"250","2020-04-14",8
"251","2020-04-15",8
"252","2020-04-16",7.4
"253","2020-04-17",7.65
"254","2020-04-20",7.65
"255","2020-04-21",7.564
"256","2020-04-22",7.64
"257","2020-04-23",7.9
"258","2020-04-24",7.8
"259","2020-04-27",8
"260","2020-04-28",8.35
"261","2020-04-29",8.47
"262","2020-04-30",8.55
"263","2020-05-01",8.55
"264","2020-05-04",8.18
"265","2020-05-05",8.18
"266","2020-05-06",8.18
"267","2020-05-07",8.511
"268","2020-05-08",8.47
"269","2020-05-11",8.46
"270","2020-05-12",8.45
"271","2020-05-13",8.23
"272","2020-05-14",7.99
"273","2020-05-15",7.905
"274","2020-05-18",8.251
"275","2020-05-19",8.272
"276","2020-05-20",8.24
"277","2020-05-21",8
"278","2020-05-22",8.27
"279","2020-05-26",7.925
"280","2020-05-27",7.89
"281","2020-05-28",7.81
"282","2020-05-29",7.8
"283","2020-06-01",7.352
"284","2020-06-02",7.291
"285","2020-06-03",6.79
"286","2020-06-04",6.8
"287","2020-06-05",6.9
"288","2020-06-08",7.02
"289","2020-06-09",7.301
"290","2020-06-10",7.4
"291","2020-06-11",6.81
"292","2020-06-12",7.32
"293","2020-06-15",6.951
"294","2020-06-16",6.92
"295","2020-06-17",6.87
"296","2020-06-18",6.46
"297","2020-06-19",6.36
"298","2020-06-22",6.2
"299","2020-06-23",6.249
"300","2020-06-24",6.152
"301","2020-06-25",6.04
"302","2020-06-26",6.06
"303","2020-06-29",5.89
"304","2020-06-30",5.92
"305","2020-07-01",5.99
"306","2020-07-02",6.04
"307","2020-07-06",5.95
"308","2020-07-07",5.75
"309","2020-07-08",5.67
"310","2020-07-09",5.52
"311","2020-07-10",5.55
"312","2020-07-13",5.73
"313","2020-07-14",5.9
"314","2020-07-15",5.82
"315","2020-07-16",5.79
"316","2020-07-17",5.77
"317","2020-07-20",5.88
"318","2020-07-21",5.88
"319","2020-07-22",6
"320","2020-07-23",6.48
"321","2020-07-24",6.4
"322","2020-07-27",6.15
"323","2020-07-28",6.1
"324","2020-07-29",6.04
"325","2020-07-30",5.91
"326","2020-07-31",5.952
"327","2020-08-03",6.18
"328","2020-08-04",6.09
"329","2020-08-05",6.08
"330","2020-08-06",6.105
"331","2020-08-07",6.16
"332","2020-08-10",6.09
"333","2020-08-11",6.27
"334","2020-08-12",6.61
"335","2020-08-13",6.83
"336","2020-08-14",6.95
"337","2020-08-17",7
"338","2020-08-18",6.84
"339","2020-08-19",6.66
"340","2020-08-20",6.42
"341","2020-08-21",6.48
"342","2020-08-24",7.35
"343","2020-08-25",7.9
"344","2020-08-26",7.63
"345","2020-08-27",7.4
"346","2020-08-28",7.67
"347","2020-08-31",7.85
"348","2020-09-01",8
"349","2020-09-02",7.75
"350","2020-09-03",6.94
"351","2020-09-04",6.73
"352","2020-09-08",6.45
"353","2020-09-09",6.21
"354","2020-09-10",6.01
"355","2020-09-11",5.95
"356","2020-09-14",5.96
"357","2020-09-15",6.08
"358","2020-09-16",6.14
"359","2020-09-17",5.99
"360","2020-09-18",6.05
"361","2020-09-21",5.9
"362","2020-09-22",5.868
"363","2020-09-23",5.79
"364","2020-09-24",5.63
"365","2020-09-25",5.835
"366","2020-09-28",5.92
"367","2020-09-29",5.9
"368","2020-09-30",5.832
"369","2020-10-01",6
"370","2020-10-02",5.811
"371","2020-10-05",5.68
"372","2020-10-06",5.68
"373","2020-10-07",5.74
"374","2020-10-08",5.94
"375","2020-10-09",5.9
"376","2020-10-12",5.93
"377","2020-10-13",5.965
"378","2020-10-14",6.05
"379","2020-10-15",6.033
"380","2020-10-16",6.01
"381","2020-10-19",6.25
"382","2020-10-20",6.02
"383","2020-10-21",6.274
"384","2020-10-22",6.02
"385","2020-10-23",6.2
"386","2020-10-26",6.041
"387","2020-10-27",5.8
"388","2020-10-28",5.58
"389","2020-10-29",5.722
"390","2020-10-30",5.589
"391","2020-11-02",5.86
"392","2020-11-03",5.67
"393","2020-11-04",5.8
"394","2020-11-05",5.845
"395","2020-11-06",5.79
"396","2020-11-09",5.87
"397","2020-11-10",6.055
"398","2020-11-11",6.05
"399","2020-11-12",5.76
"400","2020-11-13",5.91
"401","2020-11-16",6.048
"402","2020-11-17",6.14
"403","2020-11-18",6.33
"404","2020-11-19",6.26
"405","2020-11-20",6.06
"406","2020-11-23",6.34
"407","2020-11-24",6.3
"408","2020-11-25",6.35
"409","2020-11-27",6.45
