"","date","ICON"
"1","2007-01-03",189.300003
"2","2007-01-04",189.600006
"3","2007-01-05",181.5
"4","2007-01-08",187.699997
"5","2007-01-09",193.300003
"6","2007-01-10",208.100006
"7","2007-01-11",206.399994
"8","2007-01-12",207.600006
"9","2007-01-16",209.600006
"10","2007-01-17",201.199997
"11","2007-01-18",196.800003
"12","2007-01-19",194.399994
"13","2007-01-22",198.899994
"14","2007-01-23",195.399994
"15","2007-01-24",202.199997
"16","2007-01-25",200.899994
"17","2007-01-26",205.300003
"18","2007-01-29",209.5
"19","2007-01-30",203
"20","2007-01-31",199.100006
"21","2007-02-01",203.300003
"22","2007-02-02",202
"23","2007-02-05",202.399994
"24","2007-02-06",200.100006
"25","2007-02-07",199.300003
"26","2007-02-08",197.100006
"27","2007-02-09",194.899994
"28","2007-02-12",200.100006
"29","2007-02-13",210.600006
"30","2007-02-14",207.800003
"31","2007-02-15",206.100006
"32","2007-02-16",216.199997
"33","2007-02-20",223.300003
"34","2007-02-21",216
"35","2007-02-22",226.899994
"36","2007-02-23",230.800003
"37","2007-02-26",227.5
"38","2007-02-27",214.800003
"39","2007-02-28",219.300003
"40","2007-03-01",213.5
"41","2007-03-02",205
"42","2007-03-05",211.5
"43","2007-03-06",194.600006
"44","2007-03-07",192.899994
"45","2007-03-08",195
"46","2007-03-09",193.300003
"47","2007-03-12",193.5
"48","2007-03-13",193.199997
"49","2007-03-14",193.399994
"50","2007-03-15",201.800003
"51","2007-03-16",199.199997
"52","2007-03-19",209.199997
"53","2007-03-20",210
"54","2007-03-21",212.699997
"55","2007-03-22",212.199997
"56","2007-03-23",213.5
"57","2007-03-26",211.300003
"58","2007-03-27",208.399994
"59","2007-03-28",208.899994
"60","2007-03-29",206.800003
"61","2007-03-30",204
"62","2007-04-02",203.899994
"63","2007-04-03",201.5
"64","2007-04-04",201
"65","2007-04-05",199.800003
"66","2007-04-09",197
"67","2007-04-10",199.5
"68","2007-04-11",202.399994
"69","2007-04-12",203.5
"70","2007-04-13",205.399994
"71","2007-04-16",206.399994
"72","2007-04-17",207.699997
"73","2007-04-18",203.100006
"74","2007-04-19",206.199997
"75","2007-04-20",208.800003
"76","2007-04-23",213.800003
"77","2007-04-24",213.399994
"78","2007-04-25",214
"79","2007-04-26",216.300003
"80","2007-04-27",208
"81","2007-04-30",201.300003
"82","2007-05-01",193.600006
"83","2007-05-02",200.5
"84","2007-05-03",197.699997
"85","2007-05-04",200.800003
"86","2007-05-07",204.5
"87","2007-05-08",204.899994
"88","2007-05-09",205.100006
"89","2007-05-10",201.899994
"90","2007-05-11",202.800003
"91","2007-05-14",197.300003
"92","2007-05-15",193.100006
"93","2007-05-16",189.800003
"94","2007-05-17",193.100006
"95","2007-05-18",203.699997
"96","2007-05-21",204.199997
"97","2007-05-22",209.5
"98","2007-05-23",212
"99","2007-05-24",217.600006
"100","2007-05-25",214.699997
"101","2007-05-29",214.399994
"102","2007-05-30",218.5
"103","2007-05-31",222.5
"104","2007-06-01",228.300003
"105","2007-06-04",228.100006
"106","2007-06-05",229
"107","2007-06-06",223.5
"108","2007-06-07",219.699997
"109","2007-06-08",221.199997
"110","2007-06-11",220.5
"111","2007-06-12",218.699997
"112","2007-06-13",222.300003
"113","2007-06-14",212
"114","2007-06-15",225.5
"115","2007-06-18",224.199997
"116","2007-06-19",223.5
"117","2007-06-20",224.600006
"118","2007-06-21",224.699997
"119","2007-06-22",224.100006
"120","2007-06-25",221.100006
"121","2007-06-26",222.5
"122","2007-06-27",225.199997
"123","2007-06-28",224.399994
"124","2007-06-29",222.199997
"125","2007-07-02",224.399994
"126","2007-07-03",225
"127","2007-07-05",221
"128","2007-07-06",222.199997
"129","2007-07-09",220.800003
"130","2007-07-10",218.699997
"131","2007-07-11",220.5
"132","2007-07-12",222.5
"133","2007-07-13",221.800003
"134","2007-07-16",220.300003
"135","2007-07-17",223.899994
"136","2007-07-18",233.199997
"137","2007-07-19",234.300003
"138","2007-07-20",231.5
"139","2007-07-23",228.199997
"140","2007-07-24",216.100006
"141","2007-07-25",212
"142","2007-07-26",209.300003
"143","2007-07-27",205.5
"144","2007-07-30",203.800003
"145","2007-07-31",197.800003
"146","2007-08-01",194.399994
"147","2007-08-02",199.100006
"148","2007-08-03",197
"149","2007-08-06",195.600006
"150","2007-08-07",207.100006
"151","2007-08-08",220.199997
"152","2007-08-09",224.100006
