"","date","PTVE"
"1","2020-09-17",10.93
"2","2020-09-18",11.86
"3","2020-09-21",12.52
"4","2020-09-22",12.5
"5","2020-09-23",12.83
"6","2020-09-24",13.04
"7","2020-09-25",13.33
"8","2020-09-28",12.83
"9","2020-09-29",12.85
"10","2020-09-30",12.7
"11","2020-10-01",12.87
"12","2020-10-02",12.98
"13","2020-10-05",12.86
"14","2020-10-06",13.03
"15","2020-10-07",13.29
"16","2020-10-08",13.28
"17","2020-10-09",13.91
"18","2020-10-12",13.94
"19","2020-10-13",14.01
"20","2020-10-14",14.06
"21","2020-10-15",13.96
"22","2020-10-16",14.41
"23","2020-10-19",14.28
"24","2020-10-20",14.25
"25","2020-10-21",14.2
"26","2020-10-22",13.58
"27","2020-10-23",13.44
"28","2020-10-26",12.73
"29","2020-10-27",13.19
"30","2020-10-28",12.79
"31","2020-10-29",12.41
"32","2020-10-30",12.51
"33","2020-11-02",12.9
"34","2020-11-03",13.16
"35","2020-11-04",13.25
"36","2020-11-05",13.96
"37","2020-11-06",13.9
"38","2020-11-09",13.81
"39","2020-11-10",13.94
"40","2020-11-11",14.47
"41","2020-11-12",14.2
"42","2020-11-13",14.61
"43","2020-11-16",14.87
"44","2020-11-17",15.52
"45","2020-11-18",15.455
"46","2020-11-19",15.87
"47","2020-11-20",15.68
"48","2020-11-23",15.81
"49","2020-11-24",16.360001
"50","2020-11-25",16.91
"51","2020-11-27",16.68
