"","date","DOX"
"1","2007-01-03",38.119999
"2","2007-01-04",38.52
"3","2007-01-05",38.450001
"4","2007-01-08",38.610001
"5","2007-01-09",38.599998
"6","2007-01-10",39.330002
"7","2007-01-11",35.700001
"8","2007-01-12",35.720001
"9","2007-01-16",35.049999
"10","2007-01-17",34.439999
"11","2007-01-18",33.990002
"12","2007-01-19",33.599998
"13","2007-01-22",33.119999
"14","2007-01-23",33.75
"15","2007-01-24",34.369999
"16","2007-01-25",34.43
"17","2007-01-26",35
"18","2007-01-29",34.900002
"19","2007-01-30",34.959999
"20","2007-01-31",34.68
"21","2007-02-01",35.099998
"22","2007-02-02",34.799999
"23","2007-02-05",34.52
"24","2007-02-06",34.450001
"25","2007-02-07",34.5
"26","2007-02-08",34.349998
"27","2007-02-09",34.07
"28","2007-02-12",33.630001
"29","2007-02-13",33.630001
"30","2007-02-14",33.580002
"31","2007-02-15",33.650002
"32","2007-02-16",34.59
"33","2007-02-20",34.830002
"34","2007-02-21",35.110001
"35","2007-02-22",35.669998
"36","2007-02-23",35.5
"37","2007-02-26",35.150002
"38","2007-02-27",34.450001
"39","2007-02-28",34.650002
"40","2007-03-01",34.619999
"41","2007-03-02",34.110001
"42","2007-03-05",33.790001
"43","2007-03-06",34.099998
"44","2007-03-07",33.939999
"45","2007-03-08",34.060001
"46","2007-03-09",34.400002
"47","2007-03-12",35.27
"48","2007-03-13",34.759998
"49","2007-03-14",34.889999
"50","2007-03-15",35.369999
"51","2007-03-16",35.009998
"52","2007-03-19",35.360001
"53","2007-03-20",35.560001
"54","2007-03-21",35.68
"55","2007-03-22",36
"56","2007-03-23",36
"57","2007-03-26",36.02
"58","2007-03-27",36.279999
"59","2007-03-28",36.57
"60","2007-03-29",36.060001
"61","2007-03-30",36.48
"62","2007-04-02",36.029999
"63","2007-04-03",36.259998
"64","2007-04-04",36.5
"65","2007-04-05",36.639999
"66","2007-04-09",36.75
"67","2007-04-10",36.799999
"68","2007-04-11",36.790001
"69","2007-04-12",36.799999
"70","2007-04-13",36.48
"71","2007-04-16",36.560001
"72","2007-04-17",36.639999
"73","2007-04-18",36.240002
"74","2007-04-19",36.080002
"75","2007-04-20",37.91
"76","2007-04-23",37.75
"77","2007-04-24",37.880001
"78","2007-04-25",36.939999
"79","2007-04-26",37.82
"80","2007-04-27",38.34
"81","2007-04-30",36.709999
"82","2007-05-01",36.889999
"83","2007-05-02",37.400002
"84","2007-05-03",37.330002
"85","2007-05-04",37.25
"86","2007-05-07",37.040001
"87","2007-05-08",36.369999
"88","2007-05-09",36.490002
"89","2007-05-10",36.029999
"90","2007-05-11",36.66
"91","2007-05-14",35.709999
"92","2007-05-15",35.259998
"93","2007-05-16",35.75
"94","2007-05-17",35.299999
"95","2007-05-18",35.650002
"96","2007-05-21",37.939999
