"","date","AGI"
"1","2009-02-13",6.47
"2","2009-02-17",6.45
"3","2009-02-18",6.56
"4","2009-02-19",6.29
"5","2009-02-20",6.57
"6","2009-02-23",6.59
"7","2009-02-24",6.44
"8","2009-02-25",6.63
"9","2009-02-26",6.57
"10","2009-02-27",6.65
"11","2009-03-02",6.3
"12","2009-03-03",6.36
"13","2009-03-04",6.22
"14","2009-03-05",6.58
"15","2009-03-06",6.32
"16","2009-03-09",6.16
"17","2009-03-10",5.78
"18","2009-03-11",6.28
"19","2009-03-12",6.28
"20","2009-03-13",6.32
"21","2009-03-16",6.12
"22","2009-03-17",6.08
"23","2009-03-18",6.53
"24","2009-03-19",6.81
"25","2009-03-20",6.65
"26","2009-03-23",6.71
"27","2009-03-24",6.71
"28","2009-03-25",7.02
"29","2009-03-26",7.25
"30","2009-03-27",7
"31","2009-03-30",6.91
"32","2009-03-31",7.14
"33","2009-04-01",7.37
"34","2009-04-02",7.46
"35","2009-04-03",7.4
"36","2009-04-06",6.43
"37","2009-04-07",6.6
"38","2009-04-08",6.63
"39","2009-04-09",6.71
"40","2009-04-13",6.86
"41","2009-04-14",6.75
"42","2009-04-15",6.94
"43","2009-04-16",6.94
"44","2009-04-17",6.19
"45","2009-04-20",6.27
"46","2009-04-21",6.27
"47","2009-04-22",6.02
"48","2009-04-23",6.32
"49","2009-04-24",6.66
"50","2009-04-27",6.66
"51","2009-04-28",6.66
"52","2009-04-29",6.72
"53","2009-04-30",6.72
"54","2009-05-01",6.54
"55","2009-05-04",6.76
"56","2009-05-05",6.76
"57","2009-05-06",6.74
"58","2009-05-07",6.74
"59","2009-05-08",7.04
"60","2009-05-11",7.04
"61","2009-05-12",7.37
"62","2009-05-13",7.52
"63","2009-05-14",7.47
"64","2009-05-15",7.5
"65","2009-05-18",7.5
"66","2009-05-19",7.78
"67","2009-05-20",8.76
"68","2009-05-21",8.85
"69","2009-05-22",8.78
"70","2009-05-26",8.5
"71","2009-05-27",8.4
"72","2009-05-28",8.77
"73","2009-05-29",8.98
"74","2009-06-01",8.94
"75","2009-06-02",9.03
"76","2009-06-03",8.7
"77","2009-06-04",8.82
"78","2009-06-05",8.48
"79","2009-06-08",8.49
"80","2009-06-09",8.98
"81","2009-06-10",8.88
"82","2009-06-11",9.14
"83","2009-06-12",8.65
"84","2009-06-15",8.2
"85","2009-06-16",8.22
"86","2009-06-17",8.33
"87","2009-06-18",8.37
"88","2009-06-19",8.46
"89","2009-06-22",7.97
"90","2009-06-23",8.28
"91","2009-06-24",8.3
"92","2009-06-25",8.38
"93","2009-06-26",8.26
"94","2009-06-29",8.41
"95","2009-06-30",8.28
"96","2009-07-01",8.58
"97","2009-07-02",8.48
"98","2009-07-06",8.11
"99","2009-07-07",8.16
"100","2009-07-08",7.73
"101","2009-07-09",7.81
"102","2009-07-10",7.45
"103","2009-07-13",7.84
