"","date","CM"
"1","2007-01-03",84.540001
"2","2007-01-04",83.720001
"3","2007-01-05",84.050003
"4","2007-01-08",84.099998
"5","2007-01-09",84.040001
"6","2007-01-10",83.879997
"7","2007-01-11",83.650002
"8","2007-01-12",84.220001
"9","2007-01-16",84.419998
"10","2007-01-17",85.480003
"11","2007-01-18",85.769997
"12","2007-01-19",86.389999
"13","2007-01-22",85.290001
"14","2007-01-23",85.400002
"15","2007-01-24",85.800003
"16","2007-01-25",85.650002
"17","2007-01-26",86.459999
"18","2007-01-29",86.199997
"19","2007-01-30",86.050003
"20","2007-01-31",85.650002
"21","2007-02-01",86.209999
"22","2007-02-02",85.989998
"23","2007-02-05",86.309998
"24","2007-02-06",86.18
"25","2007-02-07",85.93
"26","2007-02-08",85.800003
"27","2007-02-09",85.690002
"28","2007-02-12",85.43
"29","2007-02-13",86.940002
"30","2007-02-14",87.220001
"31","2007-02-15",88.25
"32","2007-02-16",87.889999
"33","2007-02-20",88.889999
"34","2007-02-21",89.459999
"35","2007-02-22",89.120003
"36","2007-02-23",89.150002
"37","2007-02-26",89.589996
"38","2007-02-27",86.660004
"39","2007-02-28",85.959999
"40","2007-03-01",85.699997
"41","2007-03-02",85.239998
"42","2007-03-05",84.089996
"43","2007-03-06",85.870003
"44","2007-03-07",86.540001
"45","2007-03-08",86.690002
"46","2007-03-09",87.779999
"47","2007-03-12",87.919998
"48","2007-03-13",86.620003
"49","2007-03-14",85.980003
"50","2007-03-15",85.580002
"51","2007-03-16",85.230003
"52","2007-03-19",86.230003
"53","2007-03-20",87.339996
"54","2007-03-21",88.400002
"55","2007-03-22",87.769997
"56","2007-03-23",88.199997
"57","2007-03-26",87.709999
"58","2007-03-27",87.760002
"59","2007-03-28",86.660004
"60","2007-03-29",87.18
"61","2007-03-30",86.75
"62","2007-04-02",87.440002
"63","2007-04-03",87.279999
"64","2007-04-04",87.529999
"65","2007-04-05",87.699997
"66","2007-04-09",88.110001
"67","2007-04-10",87.309998
"68","2007-04-11",87.870003
"69","2007-04-12",88.260002
"70","2007-04-13",88.019997
"71","2007-04-16",88.230003
"72","2007-04-17",87.900002
"73","2007-04-18",88.400002
"74","2007-04-19",87.879997
"75","2007-04-20",88.910004
"76","2007-04-23",88.599998
"77","2007-04-24",88.080002
"78","2007-04-25",88.800003
"79","2007-04-26",87.900002
"80","2007-04-27",87.839996
"81","2007-04-30",88.43
"82","2007-05-01",88.639999
"83","2007-05-02",89.040001
"84","2007-05-03",89.660004
"85","2007-05-04",90.610001
"86","2007-05-07",92.029999
"87","2007-05-08",92.690002
"88","2007-05-09",92.68
"89","2007-05-10",91.870003
"90","2007-05-11",92.550003
"91","2007-05-14",93.800003
"92","2007-05-15",94.580002
"93","2007-05-16",95.540001
"94","2007-05-17",96.720001
"95","2007-05-18",97.040001
"96","2007-05-21",96.989998
"97","2007-05-22",98.040001
"98","2007-05-23",98.559998
"99","2007-05-24",97.690002
"100","2007-05-25",98.300003
"101","2007-05-29",98.239998
"102","2007-05-30",99
"103","2007-05-31",96.07
"104","2007-06-01",96.480003
"105","2007-06-04",95.529999
"106","2007-06-05",94.57
"107","2007-06-06",93.669998
"108","2007-06-07",91.480003
"109","2007-06-08",92.959999
"110","2007-06-11",93.360001
"111","2007-06-12",91.650002
"112","2007-06-13",92.199997
"113","2007-06-14",91.809998
"114","2007-06-15",92.220001
"115","2007-06-18",91.790001
"116","2007-06-19",91.199997
"117","2007-06-20",90.769997
"118","2007-06-21",89.529999
"119","2007-06-22",90.949997
"120","2007-06-25",91.629997
"121","2007-06-26",90.589996
"122","2007-06-27",90.050003
"123","2007-06-28",90.720001
"124","2007-06-29",89.620003
"125","2007-07-02",90.400002
"126","2007-07-03",91.309998
"127","2007-07-05",90.510002
"128","2007-07-06",90.900002
"129","2007-07-09",90.099998
"130","2007-07-10",89.959999
"131","2007-07-11",90.25
"132","2007-07-12",92.739998
"133","2007-07-13",93.610001
"134","2007-07-16",93.989998
"135","2007-07-17",94.110001
"136","2007-07-18",93.139999
"137","2007-07-19",92.949997
"138","2007-07-20",92.339996
"139","2007-07-23",91.800003
"140","2007-07-24",90.580002
"141","2007-07-25",90.739998
"142","2007-07-26",88.050003
"143","2007-07-27",87.540001
"144","2007-07-30",86.510002
"145","2007-07-31",87.019997
"146","2007-08-01",85.519997
"147","2007-08-02",86.839996
"148","2007-08-03",85.519997
"149","2007-08-06",86.800003
"150","2007-08-07",86.129997
"151","2007-08-08",88.190002
"152","2007-08-09",84.620003
"153","2007-08-10",82.730003
"154","2007-08-13",84.309998
"155","2007-08-14",81.839996
"156","2007-08-15",80.669998
"157","2007-08-16",83.639999
"158","2007-08-17",86.599998
"159","2007-08-20",87.839996
"160","2007-08-21",87.790001
"161","2007-08-22",89.059998
"162","2007-08-23",89.910004
"163","2007-08-24",90.220001
"164","2007-08-27",89.940002
"165","2007-08-28",87.150002
"166","2007-08-29",88.5
"167","2007-08-30",89.550003
"168","2007-08-31",90.739998
"169","2007-09-04",91.419998
"170","2007-09-05",90.660004
"171","2007-09-06",90.32
"172","2007-09-07",89.709999
"173","2007-09-10",90.419998
"174","2007-09-11",91.230003
"175","2007-09-12",92.449997
"176","2007-09-13",92.559998
"177","2007-09-14",92.400002
"178","2007-09-17",92.910004
"179","2007-09-18",95.730003
"180","2007-09-19",96.529999
"181","2007-09-20",97.110001
"182","2007-09-21",97.900002
"183","2007-09-24",97.949997
"184","2007-09-25",98.879997
"185","2007-09-26",97.690002
"186","2007-09-27",99.379997
"187","2007-09-28",99.970001
"188","2007-10-01",101.519997
"189","2007-10-02",102.029999
"190","2007-10-03",102.110001
"191","2007-10-04",103.010002
"192","2007-10-05",105.160004
"193","2007-10-08",104.940002
"194","2007-10-09",104.790001
"195","2007-10-10",104.790001
"196","2007-10-11",104.32
"197","2007-10-12",106.080002
"198","2007-10-15",104.779999
"199","2007-10-16",102.989998
"200","2007-10-17",102.769997
"201","2007-10-18",101.660004
"202","2007-10-19",100.230003
"203","2007-10-22",99.989998
"204","2007-10-23",101.709999
"205","2007-10-24",99.540001
"206","2007-10-25",99.459999
"207","2007-10-26",102.470001
"208","2007-10-29",105.410004
"209","2007-10-30",105.769997
"210","2007-10-31",107.919998
"211","2007-11-01",103.18
"212","2007-11-02",105.099998
"213","2007-11-05",105.120003
