"","date","HEI"
"187","2007-09-28",10.351542
"188","2007-10-01",10.833887
"189","2007-10-02",10.936647
"190","2007-10-03",10.72903
"191","2007-10-04",10.892608
"192","2007-10-05",11.167335
"193","2007-10-08",10.835984
"194","2007-10-09",11.278483
"195","2007-10-10",11.142169
"196","2007-10-11",11.007951
"197","2007-10-12",11.08974
"198","2007-10-15",10.800333
"199","2007-10-16",10.800333
"200","2007-10-17",10.798236
"201","2007-10-18",11.049894
"202","2007-10-19",10.624172
"203","2007-10-22",10.71435
"204","2007-10-23",10.800333
"205","2007-10-24",11.077157
"206","2007-10-25",11.026825
"207","2007-10-26",11.345592
"208","2007-10-29",11.368661
"209","2007-10-30",11.041505
"210","2007-10-31",11.416896
"211","2007-11-01",10.57384
"212","2007-11-02",10.695476
"213","2007-11-05",10.487857
"214","2007-11-06",10.636755
"215","2007-11-07",10.506732
"216","2007-11-08",10.611589
"217","2007-11-09",10.410262
"218","2007-11-12",10.473177
"219","2007-11-13",11.014242
"220","2007-11-14",10.695476
"221","2007-11-15",10.443817
"222","2007-11-16",10.525606
"223","2007-11-19",10.347348
"224","2007-11-20",10.282336
"225","2007-11-21",10.21313
"226","2007-11-23",10.292822
"227","2007-11-26",10.234101
"228","2007-11-27",10.290725
"229","2007-11-28",10.586423
"230","2007-11-29",10.619978
"231","2007-11-30",10.330571
"232","2007-12-03",10.278142
"233","2007-12-04",9.95518
"234","2007-12-05",10.347348
"235","2007-12-06",10.479468
"236","2007-12-07",10.171187
"237","2007-12-10",10.238297
"238","2007-12-11",9.860808
"239","2007-12-12",10.032775
"240","2007-12-13",9.948889
"241","2007-12-14",9.604957
"242","2007-12-17",9.523168
"243","2007-12-18",9.644802
"244","2007-12-19",9.70562
"245","2007-12-20",10.94923
"246","2007-12-21",11.226054
"247","2007-12-24",11.676942
"248","2007-12-26",11.888755
"249","2007-12-27",11.154752
"250","2007-12-28",11.790189
"251","2007-12-31",11.425284
"252","2008-01-02",11.372855
"253","2008-01-03",11.42109
"254","2008-01-04",11.345592
"255","2008-01-07",11.232347
"256","2008-01-08",10.640949
"257","2008-01-09",10.894705
"258","2008-01-10",11.06038
"259","2008-01-11",10.542383
"260","2008-01-14",10.645144
"261","2008-01-15",10.382999
"262","2008-01-16",10.280239
"263","2008-01-17",9.730785
"264","2008-01-18",9.690939
"265","2008-01-22",9.479127
"266","2008-01-23",9.269412
"267","2008-01-24",9.328132
"268","2008-01-25",9.18972
"269","2008-01-28",9.135194
"270","2008-01-29",9.149874
"271","2008-01-30",9.045016
"272","2008-01-31",9.334424
"273","2008-02-01",9.762242
"274","2008-02-04",9.449767
"275","2008-02-05",9.07228
"276","2008-02-06",8.910799
"277","2008-02-07",9.187623
"278","2008-02-08",9.267315
"279","2008-02-11",9.290383
"280","2008-02-12",9.46235
"281","2008-02-13",9.690939
"282","2008-02-14",9.439281
"283","2008-02-15",9.290383
"284","2008-02-19",9.32184
"285","2008-02-20",9.512681
"286","2008-02-21",9.258926
"287","2008-02-22",9.254732
"288","2008-02-25",9.409921
"289","2008-02-26",9.732882
"290","2008-02-27",9.711911
"291","2008-02-28",9.615442
"292","2008-02-29",9.185526
"293","2008-03-03",9.479127
"294","2008-03-04",9.35959
"295","2008-03-05",9.313452
"296","2008-03-06",9.047113
"297","2008-03-07",9.231663
"298","2008-03-10",9.141485
"299","2008-03-11",9.789506
"300","2008-03-12",9.787409
"301","2008-03-13",9.804186
"302","2008-03-14",9.686745
"303","2008-03-17",9.577693
"304","2008-03-18",9.854517
"305","2008-03-19",9.743368
"306","2008-03-20",9.850323
"307","2008-03-24",10.232004
"308","2008-03-25",10.127147
"309","2008-03-26",10.525606
"310","2008-03-27",10.439623
"311","2008-03-28",10.458497
"312","2008-03-31",10.223616
"313","2008-04-01",10.756292
"314","2008-04-02",10.754195
"315","2008-04-03",10.477371
"316","2008-04-04",10.477371
"317","2008-04-07",10.433331
"318","2008-04-08",10.48576
"319","2008-04-09",10.30121
"320","2008-04-10",10.5298
"321","2008-04-11",10.022289
"322","2008-04-14",9.913238
"323","2008-04-15",9.625928
"324","2008-04-16",10.112467
"325","2008-04-17",10.074718
"326","2008-04-18",10.278142
"327","2008-04-21",10.364125
"328","2008-04-22",10.282336
"329","2008-04-23",10.429137
"330","2008-04-24",10.655629
"331","2008-04-25",10.710155
"332","2008-04-28",10.838081
"333","2008-04-29",10.651435
"334","2008-04-30",10.80243
"335","2008-05-01",11.098128
"336","2008-05-02",10.961814
"337","2008-05-05",10.926162
"338","2008-05-06",10.903093
"339","2008-05-07",10.575937
"340","2008-05-08",10.552869
"341","2008-05-09",10.71435
"342","2008-05-12",11.031019
"343","2008-05-13",11.198792
"344","2008-05-14",11.125391
"345","2008-05-15",10.835984
"346","2008-05-16",10.613687
"347","2008-05-19",10.72903
"348","2008-05-20",10.57384
"349","2008-05-21",10.229907
"350","2008-05-22",10.005512
