"","date","MORF"
"1","2019-06-27",18
"2","2019-06-28",19.82
"3","2019-07-01",23.23
"4","2019-07-02",22.67
"5","2019-07-03",22.99
"6","2019-07-05",23.860001
"7","2019-07-08",21.209999
"8","2019-07-09",19.98
"9","2019-07-10",18.65
"10","2019-07-11",19.27
"11","2019-07-12",19.725
"12","2019-07-15",20.799999
"13","2019-07-16",20.700001
"14","2019-07-17",19.66
"15","2019-07-18",19.219999
"16","2019-07-19",18.9
"17","2019-07-22",19.629999
"18","2019-07-23",20.469999
"19","2019-07-24",20.709999
"20","2019-07-25",19.74
"21","2019-07-26",20.25
"22","2019-07-29",20.379999
"23","2019-07-30",21.110001
"24","2019-07-31",22.58
"25","2019-08-01",22.799999
"26","2019-08-02",23.75
"27","2019-08-05",22.15
"28","2019-08-06",23.49
"29","2019-08-07",29.049999
"30","2019-08-08",27.190001
"31","2019-08-09",28.299999
"32","2019-08-12",26.08
"33","2019-08-13",23.99
"34","2019-08-14",22.379999
"35","2019-08-15",21.1
"36","2019-08-16",21.379999
"37","2019-08-19",22.049999
"38","2019-08-20",22.530001
"39","2019-08-21",22.93
"40","2019-08-22",22.040001
"41","2019-08-23",21.01
"42","2019-08-26",20.02
"43","2019-08-27",19.620001
"44","2019-08-28",19
"45","2019-08-29",18.549999
"46","2019-08-30",18.5
"47","2019-09-03",17.99
"48","2019-09-04",19.030001
"49","2019-09-05",20.15
"50","2019-09-06",21.530001
"51","2019-09-09",20.940001
"52","2019-09-10",20.969999
"53","2019-09-11",20.49
"54","2019-09-12",20.9
"55","2019-09-13",21.48
"56","2019-09-16",19.049999
"57","2019-09-17",18.18
"58","2019-09-18",17.58
"59","2019-09-19",17.459999
"60","2019-09-20",17.77
"61","2019-09-23",20.85
"62","2019-09-24",19.59
"63","2019-09-25",18.73
"64","2019-09-26",18.700001
"65","2019-09-27",17.9
"66","2019-09-30",18.110001
"67","2019-10-01",18.4
"68","2019-10-02",17.459999
"69","2019-10-03",16.83
"70","2019-10-04",15.8
"71","2019-10-07",15.13
"72","2019-10-08",14.8
"73","2019-10-09",15.03
"74","2019-10-10",14.68
"75","2019-10-11",13.63
"76","2019-10-14",13.02
"77","2019-10-15",15.12
"78","2019-10-16",14.94
"79","2019-10-17",14.43
"80","2019-10-18",13.31
"81","2019-10-21",13.2
"82","2019-10-22",13.68
"83","2019-10-23",13.29
"84","2019-10-24",13.88
"85","2019-10-25",14.41
"86","2019-10-28",14.99
"87","2019-10-29",14.76
"88","2019-10-30",14.54
"89","2019-10-31",14
"90","2019-11-01",15.33
"91","2019-11-04",15.71
"92","2019-11-05",15.01
"93","2019-11-06",14.12
"94","2019-11-07",15.44
"95","2019-11-08",15.07
"96","2019-11-11",15.37
"97","2019-11-12",15.02
"98","2019-11-13",15.01
"99","2019-11-14",15.93
"100","2019-11-15",15.29
"101","2019-11-18",15.1
"102","2019-11-19",17.5
"103","2019-11-20",19.01
"104","2019-11-21",18.440001
"105","2019-11-22",16.780001
"106","2019-11-25",16
"107","2019-11-26",15.85
"108","2019-11-27",16.219999
"109","2019-11-29",15.88
"110","2019-12-02",15.58
"111","2019-12-03",15.02
"112","2019-12-04",14.47
"113","2019-12-05",15.72
"114","2019-12-06",16.41
"115","2019-12-09",16.32
"116","2019-12-10",16.42
"117","2019-12-11",16.389999
"118","2019-12-12",15.49
"119","2019-12-13",15.31
"120","2019-12-16",14.62
"121","2019-12-17",14
"122","2019-12-18",14.72
"123","2019-12-19",15.03
"124","2019-12-20",16
"125","2019-12-23",16.790001
"126","2019-12-24",19.200001
"127","2019-12-26",19.5
"128","2019-12-27",18.67
"129","2019-12-30",17.67
"130","2019-12-31",17.16
"131","2020-01-02",17.059999
"132","2020-01-03",16.700001
"133","2020-01-06",16.940001
"134","2020-01-07",17.120001
"135","2020-01-08",17.530001
"136","2020-01-09",18.059999
"137","2020-01-10",18.129999
"138","2020-01-13",18.629999
"139","2020-01-14",19
"140","2020-01-15",20
"141","2020-01-16",20.139999
"142","2020-01-17",19.690001
"143","2020-01-21",19.870001
"144","2020-01-22",19.43
"145","2020-01-23",18.860001
"146","2020-01-24",18.959999
"147","2020-01-27",19.360001
"148","2020-01-28",20.76
"149","2020-01-29",20.85
"150","2020-01-30",19.950001
"151","2020-01-31",20.1
"152","2020-02-03",19.92
"153","2020-02-04",20
"154","2020-02-05",19.84
"155","2020-02-06",20.15
"156","2020-02-07",19.34
"157","2020-02-10",19.9
"158","2020-02-11",19.690001
"159","2020-02-12",17.5
"160","2020-02-13",17.200001
"161","2020-02-14",15.52
"162","2020-02-18",15.42
"163","2020-02-19",13.95
"164","2020-02-20",17.030001
"165","2020-02-21",16.540001
"166","2020-02-24",15.75
"167","2020-02-25",15.09
"168","2020-02-26",15.67
"169","2020-02-27",15.39
"170","2020-02-28",15.8
"171","2020-03-02",15.9
"172","2020-03-03",15.64
"173","2020-03-04",17.950001
"174","2020-03-05",17.780001
"175","2020-03-06",17.18
"176","2020-03-09",14.97
"177","2020-03-10",15.41
"178","2020-03-11",14.41
"179","2020-03-12",12.16
"180","2020-03-13",12.77
"181","2020-03-16",10.84
"182","2020-03-17",13
"183","2020-03-18",12.41
"184","2020-03-19",13.6
"185","2020-03-20",13.42
"186","2020-03-23",12
"187","2020-03-24",13.3
"188","2020-03-25",13.04
"189","2020-03-26",13.48
"190","2020-03-27",14.01
"191","2020-03-30",14.62
"192","2020-03-31",14.68
"193","2020-04-01",13.61
"194","2020-04-02",14.21
"195","2020-04-03",13.61
"196","2020-04-06",15
"197","2020-04-07",13.13
"198","2020-04-08",13.7
"199","2020-04-09",15.41
"200","2020-04-13",14.35
"201","2020-04-14",14.06
"202","2020-04-15",13.26
"203","2020-04-16",12.65
"204","2020-04-17",15.06
"205","2020-04-20",15.22
"206","2020-04-21",15.18
"207","2020-04-22",14.99
"208","2020-04-23",14.73
"209","2020-04-24",14.96
"210","2020-04-27",14.52
