"","date","FFNW"
"1","2007-10-10",11.73
"2","2007-10-11",11.69
"3","2007-10-12",11.65
"4","2007-10-15",11.51
"5","2007-10-16",11.53
"6","2007-10-17",11.5
"7","2007-10-18",11.54
"8","2007-10-19",11.45
"9","2007-10-22",11.48
"10","2007-10-23",11.5
"11","2007-10-24",11.4
"12","2007-10-25",11.48
"13","2007-10-26",11.41
"14","2007-10-29",11.38
"15","2007-10-30",11.35
"16","2007-10-31",11.33
"17","2007-11-01",11.19
"18","2007-11-02",10.99
"19","2007-11-05",10.89
"20","2007-11-06",10.9
"21","2007-11-07",10.7
"22","2007-11-08",10.65
"23","2007-11-09",10.81
"24","2007-11-12",10.77
"25","2007-11-13",10.89
"26","2007-11-14",10.84
"27","2007-11-15",10.74
"28","2007-11-16",10.63
"29","2007-11-19",10.61
"30","2007-11-20",10.55
"31","2007-11-21",10.56
"32","2007-11-23",10.7
"33","2007-11-26",10.6
"34","2007-11-27",10.59
"35","2007-11-28",10.45
"36","2007-11-29",9.95
"37","2007-11-30",9.97
"38","2007-12-03",10.05
"39","2007-12-04",10.1
"40","2007-12-05",10.03
"41","2007-12-06",10.18
"42","2007-12-07",10.16
"43","2007-12-10",10.2
"44","2007-12-11",10.11
"45","2007-12-12",10.1
"46","2007-12-13",9.96
"47","2007-12-14",10
"48","2007-12-17",9.89
"49","2007-12-18",9.85
"50","2007-12-19",9.9
"51","2007-12-20",9.9
"52","2007-12-21",10
"53","2007-12-24",10
"54","2007-12-26",10
"55","2007-12-27",9.95
"56","2007-12-28",9.97
"57","2007-12-31",9.84
"58","2008-01-02",9.9
"59","2008-01-03",9.8
"60","2008-01-04",9.48
"61","2008-01-07",9.4
"62","2008-01-08",9.44
"63","2008-01-09",9.38
"64","2008-01-10",9.99
"65","2008-01-11",9.51
"66","2008-01-14",9.77
"67","2008-01-15",9.3
"68","2008-01-16",9.5
"69","2008-01-17",9.26
"70","2008-01-18",9.01
"71","2008-01-22",9.07
"72","2008-01-23",9.18
"73","2008-01-24",9.7
"74","2008-01-25",9.59
"75","2008-01-28",9.69
"76","2008-01-29",9.65
"77","2008-01-30",9.65
"78","2008-01-31",9.75
"79","2008-02-01",10
"80","2008-02-04",10
"81","2008-02-05",9.66
"82","2008-02-06",9.7
"83","2008-02-07",9.72
"84","2008-02-08",9.87
"85","2008-02-11",9.9
"86","2008-02-12",9.85
"87","2008-02-13",9.76
"88","2008-02-14",9.83
"89","2008-02-15",9.74
"90","2008-02-19",9.65
"91","2008-02-20",9.79
"92","2008-02-21",9.79
"93","2008-02-22",9.86
