"","date","TEUM"
"1","2007-01-03",56.25
"2","2007-01-04",56.25
"3","2007-01-05",62.5
"4","2007-01-08",68.75
"5","2007-01-09",62.5
"6","2007-01-10",62.5
"7","2007-01-11",62.5
"8","2007-01-12",62.5
"9","2007-01-16",62.5
"10","2007-01-17",62.5
"11","2007-01-18",62.5
"12","2007-01-19",62.5
"13","2007-01-22",62.5
"14","2007-01-23",62.5
"15","2007-01-24",62.5
"16","2007-01-25",62.5
"17","2007-01-26",62.5
"18","2007-01-29",62.5
"19","2007-01-30",62.5
"20","2007-01-31",62.5
"21","2007-02-01",62.5
"22","2007-02-02",62.5
"23","2007-02-05",68.75
"24","2007-02-06",62.5
"25","2007-02-07",68.75
"26","2007-02-08",68.75
"27","2007-02-09",68.75
"28","2007-02-12",68.75
"29","2007-02-13",62.5
"30","2007-02-14",62.5
"31","2007-02-15",62.5
"32","2007-02-16",62.5
"33","2007-02-20",62.5
"34","2007-02-21",62.5
"35","2007-02-22",62.5
"36","2007-02-23",62.5
"37","2007-02-26",62.5
"38","2007-02-27",62.5
"39","2007-02-28",62.5
"40","2007-03-01",62.5
"41","2007-03-02",62.5
"42","2007-03-05",62.5
"43","2007-03-06",62.5
"44","2007-03-07",62.5
"45","2007-03-08",62.5
"46","2007-03-09",62.5
"47","2007-03-12",62.5
"48","2007-03-13",62.5
"49","2007-03-14",62.5
"50","2007-03-15",62.5
"51","2007-03-16",62.5
"52","2007-03-19",56.25
"53","2007-03-20",56.25
"54","2007-03-21",56.25
"55","2007-03-22",56.25
"56","2007-03-23",56.25
"57","2007-03-26",56.25
"58","2007-03-27",56.25
"59","2007-03-28",56.25
"60","2007-03-29",56.25
"61","2007-03-30",56.25
"62","2007-04-02",56.25
"63","2007-04-03",62.5
"64","2007-04-04",62.5
"65","2007-04-05",62.5
"66","2007-04-09",62.5
"67","2007-04-10",62.5
"68","2007-04-11",62.5
"69","2007-04-12",62.5
"70","2007-04-13",62.5
"71","2007-04-16",62.5
"72","2007-04-17",62.5
"73","2007-04-18",56.25
"74","2007-04-19",56.25
"75","2007-04-20",56.25
"76","2007-04-23",62.5
"77","2007-04-24",62.5
"78","2007-04-25",62.5
"79","2007-04-26",62.5
"80","2007-04-27",62.5
"81","2007-04-30",62.5
"82","2007-05-01",62.5
"83","2007-05-02",62.5
"84","2007-05-03",62.5
"85","2007-05-04",62.5
"86","2007-05-07",50
"87","2007-05-08",50
"88","2007-05-09",43.75
"89","2007-05-10",43.75
"90","2007-05-11",56.25
"91","2007-05-14",56.25
"92","2007-05-15",56.25
"93","2007-05-16",56.25
"94","2007-05-17",56.25
"95","2007-05-18",56.25
"96","2007-05-21",56.25
"97","2007-05-22",56.25
"98","2007-05-23",56.25
"99","2007-05-24",56.25
"100","2007-05-25",56.25
"101","2007-05-29",56.25
"102","2007-05-30",56.25
"103","2007-05-31",56.25
"104","2007-06-01",56.25
"105","2007-06-04",56.25
"106","2007-06-05",50
"107","2007-06-06",50
"108","2007-06-07",50
"109","2007-06-08",50
"110","2007-06-11",56.25
"111","2007-06-12",56.25
"112","2007-06-13",56.25
"113","2007-06-14",56.25
"114","2007-06-15",56.25
"115","2007-06-18",56.25
"116","2007-06-19",56.25
"117","2007-06-20",62.5
"118","2007-06-21",56.25
"119","2007-06-22",56.25
"120","2007-06-25",56.25
"121","2007-06-26",56.25
"122","2007-06-27",56.25
"123","2007-06-28",56.25
"124","2007-06-29",56.25
"125","2007-07-02",56.25
"126","2007-07-03",56.25
"127","2007-07-05",56.25
"128","2007-07-06",56.25
"129","2007-07-09",56.25
"130","2007-07-10",56.25
"131","2007-07-11",56.25
"132","2007-07-12",56.25
"133","2007-07-13",56.25
"134","2007-07-16",56.25
"135","2007-07-17",56.25
"136","2007-07-18",56.25
"137","2007-07-19",56.25
"138","2007-07-20",56.25
"139","2007-07-23",56.25
"140","2007-07-24",56.25
"141","2007-07-25",56.25
"142","2007-07-26",50
"143","2007-07-27",50
"144","2007-07-30",56.25
"145","2007-07-31",56.25
"146","2007-08-01",56.25
"147","2007-08-02",56.25
"148","2007-08-03",56.25
"149","2007-08-06",56.25
"150","2007-08-07",56.25
"151","2007-08-08",56.25
"152","2007-08-09",56.25
"153","2007-08-10",56.25
"154","2007-08-13",56.25
"155","2007-08-14",56.25
"156","2007-08-15",56.25
"157","2007-08-16",50
"158","2007-08-17",50
"159","2007-08-20",56.25
"160","2007-08-21",56.25
"161","2007-08-22",56.25
"162","2007-08-23",50
"163","2007-08-24",50
"164","2007-08-27",37.5
"165","2007-08-28",37.5
"166","2007-08-29",37.5
"167","2007-08-30",37.5
"168","2007-08-31",43.75
"169","2007-09-04",43.75
"170","2007-09-05",43.75
"171","2007-09-06",50
