"","date","ACEL"
"1","2017-08-24",9.8
"2","2017-08-25",9.8
"3","2017-08-28",9.8
"4","2017-08-29",9.75
"5","2017-08-30",9.75
"6","2017-08-31",9.75
"7","2017-09-01",9.75
"8","2017-09-05",9.75
"9","2017-09-06",9.75
"10","2017-09-07",9.75
"11","2017-09-08",9.75
"12","2017-09-11",9.75
"13","2017-09-12",9.75
"14","2017-09-13",9.75
"15","2017-09-14",9.8
"16","2017-09-15",9.8
"17","2017-09-18",9.75
"18","2017-09-19",9.82
"19","2017-09-20",9.82
"20","2017-09-21",9.82
"21","2017-09-22",9.79
"22","2017-09-25",9.79
"23","2017-09-26",9.79
"24","2017-09-27",9.79
"25","2017-09-28",9.83
"26","2017-09-29",9.83
"27","2017-10-02",9.83
"28","2017-10-03",9.83
"29","2017-10-04",9.85
"30","2017-10-05",9.85
"31","2017-10-06",9.85
"32","2017-10-09",9.85
"33","2017-10-10",9.85
"34","2017-10-11",9.75
"35","2017-10-12",9.75
"36","2017-10-13",9.75
"37","2017-10-16",9.75
"38","2017-10-17",9.75
"39","2017-10-18",9.75
"40","2017-10-19",9.735
"41","2017-10-20",9.735
"42","2017-10-23",9.735
"43","2017-10-24",9.735
"44","2017-10-25",9.735
"45","2017-10-26",9.735
"46","2017-10-27",9.735
"47","2017-10-30",9.735
"48","2017-10-31",9.735
"49","2017-11-01",9.749
"50","2017-11-02",9.826
"51","2017-11-03",9.826
"52","2017-11-06",9.826
"53","2017-11-07",9.7
"54","2017-11-08",9.7
"55","2017-11-09",9.7
"56","2017-11-10",9.7
"57","2017-11-13",9.72
"58","2017-11-14",9.72
"59","2017-11-15",9.72
"60","2017-11-16",9.72
"61","2017-11-17",9.71
"62","2017-11-20",9.71
"63","2017-11-21",9.71
"64","2017-11-22",9.71
"65","2017-11-24",9.71
"66","2017-11-27",9.71
"67","2017-11-28",9.712
"68","2017-11-29",9.71
"69","2017-11-30",9.7
"70","2017-12-01",9.69
"71","2017-12-04",9.69
"72","2017-12-05",9.69
"73","2017-12-06",9.69
"74","2017-12-07",9.73
"75","2017-12-08",9.74
"76","2017-12-11",9.714
"77","2017-12-12",9.75
"78","2017-12-13",9.75
"79","2017-12-14",9.75
