"","date","WPX"
"1","2011-12-12",19.25
"2","2011-12-13",18.5
"3","2011-12-14",18.07
"4","2011-12-15",18.01
"5","2011-12-16",17.58
"6","2011-12-19",17.25
"7","2011-12-20",17.5
"8","2011-12-21",17.5
"9","2011-12-22",17.620001
"10","2011-12-23",18.26
"11","2011-12-27",18.49
"12","2011-12-28",18.4
"13","2011-12-29",18
"14","2011-12-30",18.17
"15","2012-01-03",18.1
"16","2012-01-04",17.719999
"17","2012-01-05",17.52
"18","2012-01-06",17.280001
"19","2012-01-09",16.67
"20","2012-01-10",16.98
"21","2012-01-11",16.51
"22","2012-01-12",15.66
"23","2012-01-13",15.66
"24","2012-01-17",15.49
"25","2012-01-18",15.35
"26","2012-01-19",14.83
"27","2012-01-20",14.75
"28","2012-01-23",15.09
"29","2012-01-24",15.31
"30","2012-01-25",16.18
"31","2012-01-26",15.69
"32","2012-01-27",16.049999
"33","2012-01-30",16.379999
"34","2012-01-31",16.48
"35","2012-02-01",16.52
"36","2012-02-02",16.5
"37","2012-02-03",16.450001
"38","2012-02-06",16.67
"39","2012-02-07",17.309999
"40","2012-02-08",18.129999
"41","2012-02-09",17.809999
"42","2012-02-10",17.540001
"43","2012-02-13",17.540001
"44","2012-02-14",17.58
"45","2012-02-15",18
"46","2012-02-16",18.52
"47","2012-02-17",18.870001
"48","2012-02-21",19.040001
"49","2012-02-22",18.42
"50","2012-02-23",19.040001
"51","2012-02-24",18.82
"52","2012-02-27",18.68
"53","2012-02-28",18.6
"54","2012-02-29",18.16
"55","2012-03-01",18.34
"56","2012-03-02",17.83
"57","2012-03-05",18.33
"58","2012-03-06",18.219999
"59","2012-03-07",18.34
"60","2012-03-08",18.85
"61","2012-03-09",18.67
"62","2012-03-12",18.41
"63","2012-03-13",19.280001
"64","2012-03-14",19.219999
"65","2012-03-15",19.219999
"66","2012-03-16",19.48
"67","2012-03-19",19.67
"68","2012-03-20",18.940001
"69","2012-03-21",19.200001
"70","2012-03-22",18.690001
"71","2012-03-23",19.030001
"72","2012-03-26",19.24
"73","2012-03-27",19.58
"74","2012-03-28",18.799999
"75","2012-03-29",18.16
"76","2012-03-30",18.01
"77","2012-04-02",18.450001
"78","2012-04-03",18.610001
"79","2012-04-04",18.219999
"80","2012-04-05",17.51
"81","2012-04-09",16.99
"82","2012-04-10",16.530001
"83","2012-04-11",16.02
"84","2012-04-12",16.33
"85","2012-04-13",15.95
"86","2012-04-16",15.74
"87","2012-04-17",16.049999
"88","2012-04-18",15.54
"89","2012-04-19",15.58
"90","2012-04-20",15.5
"91","2012-04-23",15.43
"92","2012-04-24",15.64
"93","2012-04-25",16.09
"94","2012-04-26",16.860001
"95","2012-04-27",17.200001
"96","2012-04-30",17.57
"97","2012-05-01",17.690001
"98","2012-05-02",17.139999
"99","2012-05-03",16.719999
"100","2012-05-04",16.629999
"101","2012-05-07",16.85
"102","2012-05-08",17
"103","2012-05-09",17.540001
"104","2012-05-10",17.52
"105","2012-05-11",17.43
"106","2012-05-14",17.15
"107","2012-05-15",16.629999
"108","2012-05-16",16.540001
"109","2012-05-17",15.82
"110","2012-05-18",15.37
"111","2012-05-21",15.99
"112","2012-05-22",15.85
"113","2012-05-23",16.540001
"114","2012-05-24",15.96
"115","2012-05-25",15.93
"116","2012-05-29",16.049999
"117","2012-05-30",15.04
"118","2012-05-31",14.67
"119","2012-06-01",14.1
"120","2012-06-04",14.14
"121","2012-06-05",14.39
"122","2012-06-06",14.81
"123","2012-06-07",14.11
"124","2012-06-08",14.02
"125","2012-06-11",13.86
"126","2012-06-12",14.27
"127","2012-06-13",13.37
"128","2012-06-14",13.97
"129","2012-06-15",14.79
"130","2012-06-18",14.79
"131","2012-06-19",15.4
"132","2012-06-20",14.93
"133","2012-06-21",14.82
"134","2012-06-22",15.24
"135","2012-06-25",14.7
"136","2012-06-26",14.85
"137","2012-06-27",16.030001
"138","2012-06-28",16.09
"139","2012-06-29",16.18
"140","2012-07-02",15.9
"141","2012-07-03",15.69
"142","2012-07-05",15.28
"143","2012-07-06",15.64
"144","2012-07-09",15.01
"145","2012-07-10",14.28
"146","2012-07-11",14.73
"147","2012-07-12",14.5
"148","2012-07-13",14.97
