"","date","BCTG"
"1","2020-09-03",10.23
"2","2020-09-04",10.25
"3","2020-09-08",10.24
"4","2020-09-09",10.2
"5","2020-09-10",10.11
"6","2020-09-11",10.135
"7","2020-09-14",10.15
"8","2020-09-15",10.14
"9","2020-09-16",10.16
"10","2020-09-17",10.14
"11","2020-09-18",10.15
"12","2020-09-21",10.13
"13","2020-09-22",10.38
"14","2020-09-23",10.55
"15","2020-09-24",10.28
"16","2020-09-25",10.22
"17","2020-09-28",10.11
"18","2020-09-29",10.136
"19","2020-09-30",10.36
"20","2020-10-01",10.15
"21","2020-10-02",10.1
"22","2020-10-05",10.1
"23","2020-10-06",10.16
"24","2020-10-07",10.14
"25","2020-10-08",10.199
"26","2020-10-09",10.14
"27","2020-10-12",10.1
"28","2020-10-13",10.15
"29","2020-10-14",10.12
"30","2020-10-15",10.13
"31","2020-10-16",10.18
"32","2020-10-19",10.16
"33","2020-10-20",10.15
"34","2020-10-21",10.15
"35","2020-10-22",10.15
"36","2020-10-23",10.1
"37","2020-10-26",10.1
"38","2020-10-27",10.1
"39","2020-10-28",9.98
"40","2020-10-29",9.91
"41","2020-10-30",9.95
"42","2020-11-02",10.11
"43","2020-11-03",10.11
"44","2020-11-04",10
"45","2020-11-05",10.05
"46","2020-11-06",10.16
"47","2020-11-09",10.212
"48","2020-11-10",10.24
"49","2020-11-11",10.195
"50","2020-11-12",10.21
"51","2020-11-13",10.43
"52","2020-11-16",10.24
"53","2020-11-17",10.36
"54","2020-11-18",10.39
"55","2020-11-19",10.44
"56","2020-11-20",10.34
"57","2020-11-23",10.57
"58","2020-11-24",11
"59","2020-11-25",10.9
"60","2020-11-27",10.9
