"","date","ATVI"
"1","2007-01-03",8.58
"2","2007-01-04",8.65
"3","2007-01-05",8.6
"4","2007-01-08",8.595
"5","2007-01-09",8.59
"6","2007-01-10",8.765
"7","2007-01-11",9.215
"8","2007-01-12",9.04
"9","2007-01-16",9.215
"10","2007-01-17",9.32
"11","2007-01-18",8.925
"12","2007-01-19",8.87
"13","2007-01-22",8.73
"14","2007-01-23",8.775
"15","2007-01-24",9.055
"16","2007-01-25",8.56
"17","2007-01-26",8.41
"18","2007-01-29",8.64
"19","2007-01-30",8.36
"20","2007-01-31",8.51
"21","2007-02-01",8.54
"22","2007-02-02",8.695
"23","2007-02-05",8.515
"24","2007-02-06",8.385
"25","2007-02-07",8.42
"26","2007-02-08",8.22
"27","2007-02-09",8.225
"28","2007-02-12",8.13
"29","2007-02-13",8.25
"30","2007-02-14",8.52
"31","2007-02-15",8.545
"32","2007-02-16",8.64
"33","2007-02-20",8.785
"34","2007-02-21",8.735
"35","2007-02-22",8.82
"36","2007-02-23",8.865
"37","2007-02-26",8.79
"38","2007-02-27",8.51
"39","2007-02-28",8.36
"40","2007-03-01",8.39
"41","2007-03-02",8.175
"42","2007-03-05",8.19
"43","2007-03-06",8.335
"44","2007-03-07",8.28
"45","2007-03-08",8.58
"46","2007-03-09",8.635
"47","2007-03-12",8.64
"48","2007-03-13",8.43
"49","2007-03-14",8.475
"50","2007-03-15",8.415
"51","2007-03-16",8.535
"52","2007-03-19",8.77
"53","2007-03-20",8.835
"54","2007-03-21",9.06
"55","2007-03-22",9.125
"56","2007-03-23",9.07
"57","2007-03-26",9.04
"58","2007-03-27",9.065
"59","2007-03-28",9.505
"60","2007-03-29",9.415
"61","2007-03-30",9.47
"62","2007-04-02",9.405
"63","2007-04-03",9.565
"64","2007-04-04",9.65
"65","2007-04-05",9.59
"66","2007-04-09",9.605
"67","2007-04-10",9.74
"68","2007-04-11",9.775
"69","2007-04-12",9.965
"70","2007-04-13",9.94
"71","2007-04-16",10.185
"72","2007-04-17",10.35
"73","2007-04-18",10.255
"74","2007-04-19",10.12
"75","2007-04-20",10.275
"76","2007-04-23",10.335
"77","2007-04-24",10.395
"78","2007-04-25",10.385
"79","2007-04-26",10.385
"80","2007-04-27",10.185
"81","2007-04-30",10
"82","2007-05-01",10.13
"83","2007-05-02",10.425
"84","2007-05-03",10.485
"85","2007-05-04",10.635
"86","2007-05-07",10.085
"87","2007-05-08",10.09
"88","2007-05-09",10.06
"89","2007-05-10",9.9
"90","2007-05-11",9.785
"91","2007-05-14",9.54
"92","2007-05-15",9.395
"93","2007-05-16",9.47
"94","2007-05-17",9.48
"95","2007-05-18",9.63
"96","2007-05-21",9.675
"97","2007-05-22",9.555
"98","2007-05-23",9.515
"99","2007-05-24",9.215
"100","2007-05-25",9.425
"101","2007-05-29",9.56
"102","2007-05-30",9.725
"103","2007-05-31",9.895
"104","2007-06-01",9.435
"105","2007-06-04",9.565
"106","2007-06-05",9.755
"107","2007-06-06",9.785
"108","2007-06-07",9.23
"109","2007-06-08",9.265
"110","2007-06-11",9.365
"111","2007-06-12",9.25
"112","2007-06-13",9.275
"113","2007-06-14",9.66
"114","2007-06-15",9.565
"115","2007-06-18",9.79
"116","2007-06-19",9.615
"117","2007-06-20",9.405
"118","2007-06-21",9.505
"119","2007-06-22",9.355
"120","2007-06-25",9.32
"121","2007-06-26",9.25
"122","2007-06-27",9.415
"123","2007-06-28",9.435
"124","2007-06-29",9.335
"125","2007-07-02",9.415
"126","2007-07-03",9.43
"127","2007-07-05",9.375
"128","2007-07-06",9.28
"129","2007-07-09",9.2
"130","2007-07-10",9.585
"131","2007-07-11",9.625
"132","2007-07-12",9.655
"133","2007-07-13",9.505
"134","2007-07-16",9.35
"135","2007-07-17",9.16
"136","2007-07-18",9.105
"137","2007-07-19",9.24
"138","2007-07-20",9.095
"139","2007-07-23",9.06
"140","2007-07-24",9.075
"141","2007-07-25",9.12
"142","2007-07-26",8.915
"143","2007-07-27",8.665
"144","2007-07-30",8.685
"145","2007-07-31",8.555
"146","2007-08-01",8.715
"147","2007-08-02",9.15
"148","2007-08-03",9.42
"149","2007-08-06",9.83
"150","2007-08-07",9.63
"151","2007-08-08",9.425
"152","2007-08-09",9.09
"153","2007-08-10",9.055
"154","2007-08-13",9.305
"155","2007-08-14",9.66
"156","2007-08-15",9.185
"157","2007-08-16",9.01
"158","2007-08-17",9.11
"159","2007-08-20",9.075
"160","2007-08-21",9.11
"161","2007-08-22",9.045
"162","2007-08-23",9.285
"163","2007-08-24",9.565
"164","2007-08-27",9.5
"165","2007-08-28",9.195
"166","2007-08-29",9.44
"167","2007-08-30",9.525
"168","2007-08-31",9.745
"169","2007-09-04",9.93
"170","2007-09-05",9.795
"171","2007-09-06",9.805
"172","2007-09-07",9.395
"173","2007-09-10",9.68
"174","2007-09-11",9.955
"175","2007-09-12",10.09
"176","2007-09-13",9.975
"177","2007-09-14",9.995
"178","2007-09-17",10.01
"179","2007-09-18",10.4
"180","2007-09-19",10.525
"181","2007-09-20",10.48
"182","2007-09-21",10.465
"183","2007-09-24",10.375
"184","2007-09-25",10.65
"185","2007-09-26",10.55
"186","2007-09-27",10.735
"187","2007-09-28",10.795
"188","2007-10-01",11.095
"189","2007-10-02",11.13
"190","2007-10-03",11.235
"191","2007-10-04",11.37
"192","2007-10-05",11.345
"193","2007-10-08",11.455
"194","2007-10-09",11.775
"195","2007-10-10",11.56
"196","2007-10-11",11.245
"197","2007-10-12",11.425
"198","2007-10-15",11.3
"199","2007-10-16",11.19
"200","2007-10-17",11.21
"201","2007-10-18",11.295
"202","2007-10-19",11
"203","2007-10-22",11.49
"204","2007-10-23",11.43
"205","2007-10-24",11.175
"206","2007-10-25",11.465
"207","2007-10-26",11.835
"208","2007-10-29",11.615
"209","2007-10-30",11.485
"210","2007-10-31",11.825
"211","2007-11-01",11.505
"212","2007-11-02",11.525
"213","2007-11-05",11.45
"214","2007-11-06",11.265
"215","2007-11-07",10.75
"216","2007-11-08",10.855
"217","2007-11-09",10.355
"218","2007-11-12",10.175
"219","2007-11-13",10.495
"220","2007-11-14",10.365
"221","2007-11-15",10.375
"222","2007-11-16",10.085
"223","2007-11-19",10.19
"224","2007-11-20",9.79
"225","2007-11-21",9.46
"226","2007-11-23",9.745
"227","2007-11-26",9.465
"228","2007-11-27",10.77
"229","2007-11-28",11.29
"230","2007-11-29",10.985
"231","2007-11-30",11.075
"232","2007-12-03",12.485
"233","2007-12-04",13.37
"234","2007-12-05",13.29
"235","2007-12-06",13.075
"236","2007-12-07",13.395
"237","2007-12-10",13.495
"238","2007-12-11",13.175
"239","2007-12-12",13.3
"240","2007-12-13",13.25
"241","2007-12-14",13.36
"242","2007-12-17",13.3
"243","2007-12-18",13.345
"244","2007-12-19",13.4
"245","2007-12-20",13.975
"246","2007-12-21",14.385
"247","2007-12-24",14.65
"248","2007-12-26",14.84
"249","2007-12-27",14.74
"250","2007-12-28",14.635
"251","2007-12-31",14.85
"252","2008-01-02",14.215
"253","2008-01-03",13.965
"254","2008-01-04",13.92
"255","2008-01-07",13.995
"256","2008-01-08",13.765
"257","2008-01-09",13.765
"258","2008-01-10",14.015
"259","2008-01-11",13.57
"260","2008-01-14",13.55
"261","2008-01-15",13.275
"262","2008-01-16",13.515
"263","2008-01-17",13.405
"264","2008-01-18",13.45
"265","2008-01-22",13.25
"266","2008-01-23",13.33
"267","2008-01-24",13.37
"268","2008-01-25",13.22
"269","2008-01-28",13.485
"270","2008-01-29",13.115
"271","2008-01-30",13.07
"272","2008-01-31",12.935
"273","2008-02-01",13.215
"274","2008-02-04",12.955
"275","2008-02-05",12.905
"276","2008-02-06",12.955
"277","2008-02-07",13.145
"278","2008-02-08",13.345
"279","2008-02-11",13.515
"280","2008-02-12",13.29
"281","2008-02-13",13.58
"282","2008-02-14",13.245
"283","2008-02-15",13.495
"284","2008-02-19",13.27
"285","2008-02-20",13.575
"286","2008-02-21",13.425
"287","2008-02-22",13.6
"288","2008-02-25",13.69
"289","2008-02-26",13.625
"290","2008-02-27",13.755
"291","2008-02-28",13.73
"292","2008-02-29",13.61
"293","2008-03-03",13.625
"294","2008-03-04",13.73
"295","2008-03-05",13.67
"296","2008-03-06",13.725
"297","2008-03-07",13.645
"298","2008-03-10",13.41
"299","2008-03-11",13.565
"300","2008-03-12",13.41
"301","2008-03-13",13.615
"302","2008-03-14",13.47
"303","2008-03-17",13.27
"304","2008-03-18",13.555
"305","2008-03-19",13.03
"306","2008-03-20",13.275
"307","2008-03-24",13.255
"308","2008-03-25",13.285
"309","2008-03-26",13.33
"310","2008-03-27",13.58
"311","2008-03-28",13.645
"312","2008-03-31",13.655
"313","2008-04-01",13.7
"314","2008-04-02",13.72
"315","2008-04-03",13.755
"316","2008-04-04",13.7
"317","2008-04-07",13.625
"318","2008-04-08",13.53
"319","2008-04-09",13.54
"320","2008-04-10",13.515
"321","2008-04-11",13.55
"322","2008-04-14",13.545
"323","2008-04-15",13.66
"324","2008-04-16",13.745
"325","2008-04-17",13.74
"326","2008-04-18",13.745
"327","2008-04-21",13.75
"328","2008-04-22",13.615
"329","2008-04-23",13.64
"330","2008-04-24",13.655
"331","2008-04-25",13.67
"332","2008-04-28",13.625
"333","2008-04-29",13.595
"334","2008-04-30",13.525
"335","2008-05-01",13.715
"336","2008-05-02",13.58
"337","2008-05-05",13.61
"338","2008-05-06",13.71
"339","2008-05-07",13.745
"340","2008-05-08",13.85
"341","2008-05-09",15.82
"342","2008-05-12",15.45
"343","2008-05-13",16.09
"344","2008-05-14",16.26
"345","2008-05-15",16.745001
"346","2008-05-16",16.469999
"347","2008-05-19",16.455
"348","2008-05-20",16.34
"349","2008-05-21",16.315001
"350","2008-05-22",16.424999
"351","2008-05-23",16.42
"352","2008-05-27",16.695
"353","2008-05-28",16.495001
"354","2008-05-29",16.865
"355","2008-05-30",16.875
"356","2008-06-02",16.785
"357","2008-06-03",16.870001
"358","2008-06-04",17.059999
"359","2008-06-05",17.25
"360","2008-06-06",17.01
"361","2008-06-09",17.290001
"362","2008-06-10",16.9
"363","2008-06-11",16.6
"364","2008-06-12",16.940001
"365","2008-06-13",17.184999
"366","2008-06-16",17.48
"367","2008-06-17",18.33
"368","2008-06-18",18
"369","2008-06-19",18.65
"370","2008-06-20",17.924999
"371","2008-06-23",17.815001
"372","2008-06-24",17.665001
"373","2008-06-25",17.715
"374","2008-06-26",17.4
"375","2008-06-27",16.855
"376","2008-06-30",17.035
"377","2008-07-01",17.055
"378","2008-07-02",15.79
"379","2008-07-03",15.45
"380","2008-07-07",16.004999
"381","2008-07-08",15.86
"382","2008-07-09",15.035
"383","2008-07-10",15.885
"384","2008-07-11",16.275
"385","2008-07-14",16.469999
"386","2008-07-15",17.639999
"387","2008-07-16",17.915001
"388","2008-07-17",18
"389","2008-07-18",18.620001
