"","date","ARTNA"
"1","2007-01-03",18.870001
"2","2007-01-04",18.709999
"3","2007-01-05",19.35
"4","2007-01-08",19.32
"5","2007-01-09",19.26
"6","2007-01-10",19.469999
"7","2007-01-11",19.459999
"8","2007-01-12",19.18
"9","2007-01-16",19.09
"10","2007-01-17",19.440001
"11","2007-01-18",19.16
"12","2007-01-19",19.440001
"13","2007-01-22",19.5
"14","2007-01-23",19.049999
"15","2007-01-24",19.280001
"16","2007-01-25",19.01
"17","2007-01-26",19.040001
"18","2007-01-29",18.85
"19","2007-01-30",18.82
"20","2007-01-31",18.709999
"21","2007-02-01",18.99
"22","2007-02-02",19.42
"23","2007-02-05",19.280001
"24","2007-02-06",19.48
"25","2007-02-07",19.48
"26","2007-02-08",19.49
"27","2007-02-09",19.82
"28","2007-02-12",19.26
"29","2007-02-13",19.879999
"30","2007-02-14",19.879999
"31","2007-02-15",19.82
"32","2007-02-16",19.98
"33","2007-02-20",20
"34","2007-02-21",20.049999
"35","2007-02-22",20.1
"36","2007-02-23",20.049999
"37","2007-02-26",20.25
"38","2007-02-27",20.219999
"39","2007-02-28",19.35
"40","2007-03-01",20.389999
"41","2007-03-02",20.049999
"42","2007-03-05",19.66
"43","2007-03-06",19.290001
"44","2007-03-07",19.799999
"45","2007-03-08",19.360001
"46","2007-03-09",19.16
"47","2007-03-12",19.73
"48","2007-03-13",19.41
"49","2007-03-14",19.73
"50","2007-03-15",19.24
"51","2007-03-16",19.35
"52","2007-03-19",19.73
"53","2007-03-20",19.799999
"54","2007-03-21",19.77
"55","2007-03-22",19.74
"56","2007-03-23",19.83
"57","2007-03-26",20.120001
"58","2007-03-27",19.92
"59","2007-03-28",20.120001
"60","2007-03-29",20.15
"61","2007-03-30",20.6
"62","2007-04-02",19.91
"63","2007-04-03",20.59
"64","2007-04-04",20.35
"65","2007-04-05",20.57
"66","2007-04-09",20.459999
"67","2007-04-10",20.049999
"68","2007-04-11",20
"69","2007-04-12",20.15
"70","2007-04-13",19.98
"71","2007-04-16",20.08
"72","2007-04-17",20.02
"73","2007-04-18",19.83
"74","2007-04-19",19.6
"75","2007-04-20",19.99
"76","2007-04-23",19.950001
"77","2007-04-24",19.99
"78","2007-04-25",20
"79","2007-04-26",20.049999
"80","2007-04-27",20.15
"81","2007-04-30",20.129999
"82","2007-05-01",20.049999
"83","2007-05-02",19.9
"84","2007-05-03",19.75
"85","2007-05-04",20.1
"86","2007-05-07",20.15
"87","2007-05-08",19.9
"88","2007-05-09",19.91
"89","2007-05-10",19.75
"90","2007-05-11",19.75
"91","2007-05-14",19.82
"92","2007-05-15",19.98
"93","2007-05-16",19.559999
"94","2007-05-17",19.52
"95","2007-05-18",19.75
"96","2007-05-21",19.65
"97","2007-05-22",19.700001
"98","2007-05-23",19.85
"99","2007-05-24",19.85
"100","2007-05-25",19.98
"101","2007-05-29",19.6
"102","2007-05-30",19.65
"103","2007-05-31",19.49
"104","2007-06-01",20.07
"105","2007-06-04",19.549999
"106","2007-06-05",19.5
"107","2007-06-06",19.43
"108","2007-06-07",19.389999
"109","2007-06-08",19.43
"110","2007-06-11",19.209999
"111","2007-06-12",19.110001
"112","2007-06-13",19.299999
"113","2007-06-14",18.75
"114","2007-06-15",18.98
"115","2007-06-18",19
"116","2007-06-19",19
"117","2007-06-20",18.9
"118","2007-06-21",18.809999
"119","2007-06-22",18.85
"120","2007-06-25",18.75
"121","2007-06-26",18.709999
"122","2007-06-27",19
"123","2007-06-28",19.01
"124","2007-06-29",19.120001
"125","2007-07-02",19
"126","2007-07-03",19.299999
"127","2007-07-05",19.25
"128","2007-07-06",19.299999
"129","2007-07-09",19.290001
"130","2007-07-10",19.200001
"131","2007-07-11",19.1
"132","2007-07-12",19.190001
"133","2007-07-13",19.110001
"134","2007-07-16",19
"135","2007-07-17",19.16
"136","2007-07-18",19.5
"137","2007-07-19",19.299999
"138","2007-07-20",19.209999
"139","2007-07-23",19.290001
"140","2007-07-24",19
"141","2007-07-25",19.17
"142","2007-07-26",19.07
"143","2007-07-27",19.15
"144","2007-07-30",19.15
"145","2007-07-31",19.1
"146","2007-08-01",19.01
"147","2007-08-02",19.139999
"148","2007-08-03",19.1
"149","2007-08-06",19.25
"150","2007-08-07",19.27
"151","2007-08-08",19.18
"152","2007-08-09",19.4
"153","2007-08-10",18.75
"154","2007-08-13",18.799999
"155","2007-08-14",19
"156","2007-08-15",18.5
"157","2007-08-16",18.75
"158","2007-08-17",18.41
"159","2007-08-20",18.6
"160","2007-08-21",18.75
"161","2007-08-22",19.15
"162","2007-08-23",18.93
"163","2007-08-24",18.790001
"164","2007-08-27",18.85
"165","2007-08-28",18.91
"166","2007-08-29",19
"167","2007-08-30",19
"168","2007-08-31",19.299999
"169","2007-09-04",19.15
"170","2007-09-05",19.120001
"171","2007-09-06",19.15
"172","2007-09-07",19.1
"173","2007-09-10",19.15
"174","2007-09-11",18.99
"175","2007-09-12",19.07
"176","2007-09-13",19.09
"177","2007-09-14",18.790001
"178","2007-09-17",18.52
"179","2007-09-18",19.17
"180","2007-09-19",19.200001
"181","2007-09-20",18.91
"182","2007-09-21",18.940001
"183","2007-09-24",18.870001
"184","2007-09-25",18.75
"185","2007-09-26",18.67
"186","2007-09-27",18.610001
"187","2007-09-28",19
"188","2007-10-01",18.690001
"189","2007-10-02",18.68
"190","2007-10-03",19.1
"191","2007-10-04",19.200001
"192","2007-10-05",19.34
"193","2007-10-08",19.41
"194","2007-10-09",19.209999
"195","2007-10-10",19.129999
"196","2007-10-11",19.15
"197","2007-10-12",19.120001
"198","2007-10-15",19.440001
"199","2007-10-16",19.129999
"200","2007-10-17",18.799999
"201","2007-10-18",19.059999
"202","2007-10-19",18.950001
"203","2007-10-22",19
"204","2007-10-23",19
"205","2007-10-24",19.040001
"206","2007-10-25",19.01
"207","2007-10-26",19
"208","2007-10-29",19.110001
