"","date","AMRC"
"1","2010-07-22",10.17
"2","2010-07-23",10.06
"3","2010-07-26",9.93
"4","2010-07-27",10
"5","2010-07-28",10
"6","2010-07-29",10.15
"7","2010-07-30",10
"8","2010-08-02",10.13
"9","2010-08-03",10
"10","2010-08-04",10.07
"11","2010-08-05",10
"12","2010-08-06",10
"13","2010-08-09",10
"14","2010-08-10",10
"15","2010-08-11",10.09
"16","2010-08-12",10.11
"17","2010-08-13",10
"18","2010-08-16",10.03
"19","2010-08-17",10.05
"20","2010-08-18",10.05
"21","2010-08-19",10.1
"22","2010-08-20",11.23
"23","2010-08-23",11.5
"24","2010-08-24",11.59
"25","2010-08-25",11.55
"26","2010-08-26",10.95
"27","2010-08-27",11.25
"28","2010-08-30",11.44
"29","2010-08-31",12.18
"30","2010-09-01",11.87
"31","2010-09-02",12.25
"32","2010-09-03",12.94
"33","2010-09-07",12.71
"34","2010-09-08",12.8
"35","2010-09-09",13.05
"36","2010-09-10",13.13
"37","2010-09-13",14
"38","2010-09-14",13.74
"39","2010-09-15",13.65
"40","2010-09-16",13.15
"41","2010-09-17",13
"42","2010-09-20",12.96
"43","2010-09-21",12.23
"44","2010-09-22",11.76
"45","2010-09-23",11.51
"46","2010-09-24",11.74
"47","2010-09-27",11.46
"48","2010-09-28",11.85
"49","2010-09-29",12.5
"50","2010-09-30",11.9
"51","2010-10-01",12.3
"52","2010-10-04",11.93
"53","2010-10-05",12.1
"54","2010-10-06",12.19
"55","2010-10-07",12.11
"56","2010-10-08",12.18
"57","2010-10-11",12.26
"58","2010-10-12",12.72
"59","2010-10-13",12.95
"60","2010-10-14",12.56
"61","2010-10-15",12.53
"62","2010-10-18",12.97
"63","2010-10-19",12.82
"64","2010-10-20",12.9
"65","2010-10-21",12.51
"66","2010-10-22",12.59
"67","2010-10-25",12.8
"68","2010-10-26",12.39
"69","2010-10-27",12.5
"70","2010-10-28",12.3
"71","2010-10-29",13.12
"72","2010-11-01",12.37
"73","2010-11-02",12.65
"74","2010-11-03",12.3
"75","2010-11-04",12.19
"76","2010-11-05",11.87
"77","2010-11-08",11.68
"78","2010-11-09",11.77
"79","2010-11-10",12.02
"80","2010-11-11",12.07
"81","2010-11-12",11.93
"82","2010-11-15",11.88
"83","2010-11-16",11.59
"84","2010-11-17",12
"85","2010-11-18",12.26
"86","2010-11-19",12.29
"87","2010-11-22",12.97
"88","2010-11-23",12.86
"89","2010-11-24",13
"90","2010-11-26",12.96
"91","2010-11-29",12.87
"92","2010-11-30",12.95
"93","2010-12-01",12.89
"94","2010-12-02",12.9
"95","2010-12-03",13.05
"96","2010-12-06",13.29
"97","2010-12-07",13.05
"98","2010-12-08",12.91
"99","2010-12-09",13
"100","2010-12-10",13.15
"101","2010-12-13",12.93
"102","2010-12-14",12.96
"103","2010-12-15",12.84
"104","2010-12-16",12.9
"105","2010-12-17",12.95
"106","2010-12-20",13.34
"107","2010-12-21",13.16
"108","2010-12-22",13.3
"109","2010-12-23",13.2
"110","2010-12-27",13.14
"111","2010-12-28",12.99
"112","2010-12-29",14.09
"113","2010-12-30",14.39
"114","2010-12-31",14.36
"115","2011-01-03",15.5
"116","2011-01-04",15.81
"117","2011-01-05",15.14
"118","2011-01-06",15.73
"119","2011-01-07",15.81
"120","2011-01-10",15.47
"121","2011-01-11",15.65
"122","2011-01-12",15.7
"123","2011-01-13",16.450001
"124","2011-01-14",16.780001
"125","2011-01-18",16.68
"126","2011-01-19",16.08
"127","2011-01-20",16.370001
"128","2011-01-21",15.49
"129","2011-01-24",16.43
"130","2011-01-25",16.17
"131","2011-01-26",16.290001
"132","2011-01-27",15.73
"133","2011-01-28",15.01
"134","2011-01-31",15.49
"135","2011-02-01",15.16
"136","2011-02-02",15.29
"137","2011-02-03",14.99
"138","2011-02-04",14.92
"139","2011-02-07",15.11
"140","2011-02-08",15.19
"141","2011-02-09",15.11
"142","2011-02-10",15.14
"143","2011-02-11",15.1
"144","2011-02-14",14.96
"145","2011-02-15",14.74
"146","2011-02-16",15.15
"147","2011-02-17",14.54
"148","2011-02-18",14.22
"149","2011-02-22",14.41
"150","2011-02-23",14
"151","2011-02-24",14.24
"152","2011-02-25",14.25
"153","2011-02-28",14.42
"154","2011-03-01",14.09
"155","2011-03-02",14.24
"156","2011-03-03",14.71
"157","2011-03-04",14.97
"158","2011-03-07",14.76
"159","2011-03-08",14.52
"160","2011-03-09",13.99
"161","2011-03-10",13.44
"162","2011-03-11",13.29
"163","2011-03-14",13.29
"164","2011-03-15",13.24
