"","date","FC"
"1","2007-01-03",6.98
"2","2007-01-04",7.07
"3","2007-01-05",7.14
"4","2007-01-08",6.99
"5","2007-01-09",7.09
"6","2007-01-10",7.2
"7","2007-01-11",7.1
"8","2007-01-12",7.07
"9","2007-01-16",6.99
"10","2007-01-17",7.01
"11","2007-01-18",7.05
"12","2007-01-19",7.06
"13","2007-01-22",7.03
"14","2007-01-23",7.01
"15","2007-01-24",7.01
"16","2007-01-25",7
"17","2007-01-26",6.97
"18","2007-01-29",7.02
"19","2007-01-30",7.06
"20","2007-01-31",7.05
"21","2007-02-01",7.08
"22","2007-02-02",7.06
"23","2007-02-05",7.01
"24","2007-02-06",7.02
"25","2007-02-07",7
"26","2007-02-08",7.04
"27","2007-02-09",7.02
"28","2007-02-12",7.17
"29","2007-02-13",7.25
"30","2007-02-14",7.25
"31","2007-02-15",7.25
"32","2007-02-16",7.2
"33","2007-02-20",7.36
"34","2007-02-21",7.81
"35","2007-02-22",7.89
"36","2007-02-23",7.95
"37","2007-02-26",8
"38","2007-02-27",7.3
"39","2007-02-28",7.88
"40","2007-03-01",7.66
"41","2007-03-02",7.49
"42","2007-03-05",7.65
"43","2007-03-06",7.9
"44","2007-03-07",8.2
"45","2007-03-08",8.47
"46","2007-03-09",8.48
"47","2007-03-12",8.82
"48","2007-03-13",8.49
"49","2007-03-14",8.49
"50","2007-03-15",8.34
"51","2007-03-16",8.34
"52","2007-03-19",8.49
"53","2007-03-20",8.49
"54","2007-03-21",8.6
"55","2007-03-22",8.75
"56","2007-03-23",8.4
"57","2007-03-26",8.2
"58","2007-03-27",8.01
"59","2007-03-28",7.91
"60","2007-03-29",7.93
"61","2007-03-30",7.9
"62","2007-04-02",8.18
"63","2007-04-03",8.46
"64","2007-04-04",8.4
"65","2007-04-05",8.29
"66","2007-04-09",8.19
"67","2007-04-10",8.12
"68","2007-04-11",7.97
"69","2007-04-12",8.07
"70","2007-04-13",7.92
"71","2007-04-16",7.99
"72","2007-04-17",8.03
"73","2007-04-18",8.05
"74","2007-04-19",8.01
"75","2007-04-20",7.96
"76","2007-04-23",8
"77","2007-04-24",8
"78","2007-04-25",8
"79","2007-04-26",7.93
"80","2007-04-27",7.8
"81","2007-04-30",7.69
"82","2007-05-01",7.56
"83","2007-05-02",7.67
"84","2007-05-03",7.68
"85","2007-05-04",7.74
"86","2007-05-07",7.74
"87","2007-05-08",7.57
"88","2007-05-09",7.57
"89","2007-05-10",7.42
"90","2007-05-11",7.41
"91","2007-05-14",7.5
"92","2007-05-15",7.39
"93","2007-05-16",7.35
"94","2007-05-17",7.32
"95","2007-05-18",7.29
"96","2007-05-21",7.35
"97","2007-05-22",7.5
"98","2007-05-23",7.37
"99","2007-05-24",7.39
"100","2007-05-25",7.4
"101","2007-05-29",7.65
"102","2007-05-30",7.7
"103","2007-05-31",7.49
"104","2007-06-01",7.69
"105","2007-06-04",7.98
"106","2007-06-05",7.85
"107","2007-06-06",7.85
"108","2007-06-07",7.77
"109","2007-06-08",7.7
"110","2007-06-11",7.75
"111","2007-06-12",7.8
"112","2007-06-13",7.91
"113","2007-06-14",7.86
"114","2007-06-15",7.83
"115","2007-06-18",7.75
"116","2007-06-19",7.85
"117","2007-06-20",7.97
"118","2007-06-21",7.97
"119","2007-06-22",7.89
"120","2007-06-25",7.81
"121","2007-06-26",7.78
"122","2007-06-27",7.7
"123","2007-06-28",7.8
"124","2007-06-29",7.84
"125","2007-07-02",7.96
"126","2007-07-03",7.97
"127","2007-07-05",8
"128","2007-07-06",8.18
"129","2007-07-09",8.2
"130","2007-07-10",8.62
"131","2007-07-11",8.99
"132","2007-07-12",8.86
"133","2007-07-13",8.65
"134","2007-07-16",8.67
"135","2007-07-17",8.8
"136","2007-07-18",8.49
"137","2007-07-19",8.56
"138","2007-07-20",8.5
"139","2007-07-23",8.77
"140","2007-07-24",8.57
"141","2007-07-25",8.37
"142","2007-07-26",8.39
"143","2007-07-27",8.34
"144","2007-07-30",8.47
"145","2007-07-31",8.46
"146","2007-08-01",8.42
"147","2007-08-02",8.32
"148","2007-08-03",8.27
"149","2007-08-06",7.97
"150","2007-08-07",8.19
"151","2007-08-08",7.8
"152","2007-08-09",7.57
"153","2007-08-10",7.29
"154","2007-08-13",7.62
"155","2007-08-14",7.9
"156","2007-08-15",7.34
"157","2007-08-16",7.33
"158","2007-08-17",7.46
"159","2007-08-20",7.14
"160","2007-08-21",7.16
"161","2007-08-22",7.42
"162","2007-08-23",7.39
"163","2007-08-24",7.55
"164","2007-08-27",7.43
"165","2007-08-28",7.21
"166","2007-08-29",7.64
"167","2007-08-30",7.57
"168","2007-08-31",7.49
"169","2007-09-04",7.19
"170","2007-09-05",7.3
"171","2007-09-06",7.35
"172","2007-09-07",7.57
"173","2007-09-10",7.3
"174","2007-09-11",7.3
"175","2007-09-12",7.4
"176","2007-09-13",7.35
"177","2007-09-14",7.38
"178","2007-09-17",7.34
"179","2007-09-18",7.25
"180","2007-09-19",7.31
"181","2007-09-20",7.25
"182","2007-09-21",7.25
"183","2007-09-24",7.32
"184","2007-09-25",7.32
"185","2007-09-26",7.3
"186","2007-09-27",7.41
"187","2007-09-28",7.6
"188","2007-10-01",7.55
"189","2007-10-02",7.74
"190","2007-10-03",7.68
"191","2007-10-04",7.52
"192","2007-10-05",7.38
"193","2007-10-08",7.33
"194","2007-10-09",7.22
"195","2007-10-10",7.36
"196","2007-10-11",7.31
"197","2007-10-12",7.16
"198","2007-10-15",6.95
"199","2007-10-16",6.98
"200","2007-10-17",7.38
"201","2007-10-18",7.32
"202","2007-10-19",7.23
"203","2007-10-22",7.23
"204","2007-10-23",7.24
"205","2007-10-24",7.25
"206","2007-10-25",7.39
"207","2007-10-26",7.47
"208","2007-10-29",7.41
"209","2007-10-30",7.07
"210","2007-10-31",7.2
"211","2007-11-01",7.14
"212","2007-11-02",7.05
"213","2007-11-05",7.24
"214","2007-11-06",7.35
"215","2007-11-07",7.23
"216","2007-11-08",7
"217","2007-11-09",6.52
"218","2007-11-12",6.97
"219","2007-11-13",6.9
"220","2007-11-14",6.75
"221","2007-11-15",7.14
"222","2007-11-16",7.1
"223","2007-11-19",7.02
"224","2007-11-20",7.04
"225","2007-11-21",6.94
"226","2007-11-23",6.96
"227","2007-11-26",6.93
"228","2007-11-27",6.83
"229","2007-11-28",6.56
"230","2007-11-29",6.55
"231","2007-11-30",6.99
"232","2007-12-03",6.92
"233","2007-12-04",7.1
"234","2007-12-05",7.49
"235","2007-12-06",7.47
"236","2007-12-07",7.56
"237","2007-12-10",7.61
"238","2007-12-11",7.45
"239","2007-12-12",7.51
"240","2007-12-13",7.51
"241","2007-12-14",7.75
"242","2007-12-17",7.6
"243","2007-12-18",7.51
"244","2007-12-19",7.67
"245","2007-12-20",7.56
"246","2007-12-21",7.5
"247","2007-12-24",7.55
"248","2007-12-26",7.63
"249","2007-12-27",7.64
"250","2007-12-28",7.95
"251","2007-12-31",7.91
"252","2008-01-02",7.78
"253","2008-01-03",7.59
"254","2008-01-04",7.7
"255","2008-01-07",7.8
"256","2008-01-08",7.54
"257","2008-01-09",7.61
"258","2008-01-10",7.57
"259","2008-01-11",7.5
