"","date","QTT"
"1","2018-09-14",15.97
"2","2018-09-17",9.41
"3","2018-09-18",9.26
"4","2018-09-19",9.49
"5","2018-09-20",9.27
"6","2018-09-21",8.56
"7","2018-09-24",7.27
"8","2018-09-25",7.12
"9","2018-09-26",7.1
"10","2018-09-27",7.29
"11","2018-09-28",7.13
"12","2018-10-01",6.75
"13","2018-10-02",6.68
"14","2018-10-03",6.63
"15","2018-10-04",6.69
"16","2018-10-05",7.3
"17","2018-10-08",7.4
"18","2018-10-09",7.36
"19","2018-10-10",7.05
"20","2018-10-11",7.23
"21","2018-10-12",7.2
"22","2018-10-15",7.4
"23","2018-10-16",8.01
"24","2018-10-17",8.06
"25","2018-10-18",7.8
"26","2018-10-19",7.27
"27","2018-10-22",7.37
"28","2018-10-23",6.89
"29","2018-10-24",6.43
"30","2018-10-25",6.48
"31","2018-10-26",6.1
"32","2018-10-29",5.26
"33","2018-10-30",5.2
"34","2018-10-31",5.44
"35","2018-11-01",5.99
"36","2018-11-02",5.93
"37","2018-11-05",6.02
"38","2018-11-06",5.89
"39","2018-11-07",5.93
"40","2018-11-08",5.96
"41","2018-11-09",5.96
"42","2018-11-12",5.19
"43","2018-11-13",5.22
"44","2018-11-14",5.39
"45","2018-11-15",5.55
"46","2018-11-16",5.38
"47","2018-11-19",5.11
"48","2018-11-20",4.65
"49","2018-11-21",4.76
"50","2018-11-23",4.53
"51","2018-11-26",4.66
"52","2018-11-27",4.75
"53","2018-11-28",4.64
"54","2018-11-29",4.56
"55","2018-11-30",4.49
"56","2018-12-03",4.39
"57","2018-12-04",4.53
"58","2018-12-06",4.47
"59","2018-12-07",4.31
"60","2018-12-10",4.37
"61","2018-12-11",4.15
"62","2018-12-12",4.5
"63","2018-12-13",5.22
"64","2018-12-14",5.1
"65","2018-12-17",5.1
"66","2018-12-18",5.32
"67","2018-12-19",5.41
"68","2018-12-20",5.31
"69","2018-12-21",5.11
"70","2018-12-24",5.08
"71","2018-12-26",6.12
"72","2018-12-27",6
"73","2018-12-28",6.11
"74","2018-12-31",6.35
"75","2019-01-02",7.01
"76","2019-01-03",6.98
"77","2019-01-04",7.4
"78","2019-01-07",7.9
"79","2019-01-08",8.53
"80","2019-01-09",8.95
"81","2019-01-10",9.5
"82","2019-01-11",9.01
"83","2019-01-14",8.56
"84","2019-01-15",9.06
"85","2019-01-16",7.55
"86","2019-01-17",8.39
"87","2019-01-18",8.48
"88","2019-01-22",8.17
"89","2019-01-23",8.37
"90","2019-01-24",8.21
"91","2019-01-25",9.15
"92","2019-01-28",8.86
"93","2019-01-29",9.31
"94","2019-01-30",9.7
"95","2019-01-31",10.92
"96","2019-02-01",12.15
"97","2019-02-04",11.63
"98","2019-02-05",12.17
"99","2019-02-06",11.45
"100","2019-02-07",11.19
"101","2019-02-08",11.11
"102","2019-02-11",11.79
"103","2019-02-12",14.07
"104","2019-02-13",12.63
"105","2019-02-14",12.4
"106","2019-02-15",12.87
"107","2019-02-19",12.4
"108","2019-02-20",11.93
"109","2019-02-21",11.62
"110","2019-02-22",12.52
"111","2019-02-25",12.12
"112","2019-02-26",12.6
"113","2019-02-27",13.26
"114","2019-02-28",13.6
"115","2019-03-01",13.95
"116","2019-03-04",13.7
