"","date","SWTX"
"1","2019-09-13",22.629999
"2","2019-09-16",23.73
"3","2019-09-17",23.559999
"4","2019-09-18",24.01
"5","2019-09-19",24.85
"6","2019-09-20",26.16
"7","2019-09-23",27.82
"8","2019-09-24",27.15
"9","2019-09-25",23.950001
"10","2019-09-26",18.799999
"11","2019-09-27",19.32
"12","2019-09-30",21.68
"13","2019-10-01",18.530001
"14","2019-10-02",18.450001
"15","2019-10-03",19.200001
"16","2019-10-04",18.15
"17","2019-10-07",18.67
"18","2019-10-08",19.33
"19","2019-10-09",18.9
"20","2019-10-10",18.74
"21","2019-10-11",18.959999
"22","2019-10-14",19.030001
"23","2019-10-15",19.030001
"24","2019-10-16",19.280001
"25","2019-10-17",19.700001
"26","2019-10-18",19.27
"27","2019-10-21",20.6
"28","2019-10-22",21.84
"29","2019-10-23",21.1
"30","2019-10-24",19.889999
"31","2019-10-25",21.440001
"32","2019-10-28",21.49
"33","2019-10-29",20.57
"34","2019-10-30",19.6
"35","2019-10-31",19.1
"36","2019-11-01",19
"37","2019-11-04",18.120001
"38","2019-11-05",18.200001
"39","2019-11-06",18.92
"40","2019-11-07",18.6
"41","2019-11-08",18.360001
"42","2019-11-11",18.469999
"43","2019-11-12",17.99
"44","2019-11-13",17.98
"45","2019-11-14",17.74
"46","2019-11-15",18.559999
"47","2019-11-18",18.780001
"48","2019-11-19",19.48
"49","2019-11-20",21.85
"50","2019-11-21",21.129999
"51","2019-11-22",19.9
"52","2019-11-25",19.5
"53","2019-11-26",21.290001
"54","2019-11-27",21.57
"55","2019-11-29",22.809999
"56","2019-12-02",25.450001
"57","2019-12-03",25.91
"58","2019-12-04",25.450001
"59","2019-12-05",24.52
"60","2019-12-06",24.52
"61","2019-12-09",27.5
"62","2019-12-10",29.469999
"63","2019-12-11",27.809999
"64","2019-12-12",27.59
"65","2019-12-13",28.9
"66","2019-12-16",29.58
"67","2019-12-17",30.290001
"68","2019-12-18",32.459999
"69","2019-12-19",34.950001
"70","2019-12-20",36.349998
"71","2019-12-23",36.59
"72","2019-12-24",37.700001
"73","2019-12-26",39.52
"74","2019-12-27",38.549999
"75","2019-12-30",37.029999
"76","2019-12-31",38.490002
"77","2020-01-02",35.16
"78","2020-01-03",36.990002
"79","2020-01-06",34.830002
"80","2020-01-07",36.25
"81","2020-01-08",36.310001
"82","2020-01-09",36.939999
"83","2020-01-10",36.650002
"84","2020-01-13",35.48
"85","2020-01-14",34.939999
"86","2020-01-15",34.900002
"87","2020-01-16",35.77
"88","2020-01-17",35.470001
"89","2020-01-21",35.52
"90","2020-01-22",34.77
"91","2020-01-23",35.549999
"92","2020-01-24",34.52
"93","2020-01-27",38.290001
"94","2020-01-28",35.68
