"","date","HCAC"
"1","2019-04-16",9.84
"2","2019-04-17",9.84
"3","2019-04-18",9.84
"4","2019-04-22",9.84
"5","2019-04-23",9.81
"6","2019-04-24",9.85
"7","2019-04-25",9.87
"8","2019-04-26",9.86
"9","2019-04-29",9.86
"10","2019-04-30",9.84
"11","2019-05-01",9.84
"12","2019-05-02",9.86
"13","2019-05-03",9.86
"14","2019-05-06",9.86
"15","2019-05-07",9.86
"16","2019-05-08",9.86
"17","2019-05-09",9.86
"18","2019-05-10",9.87
"19","2019-05-13",9.852
"20","2019-05-14",9.86
"21","2019-05-15",9.87
"22","2019-05-16",9.87
"23","2019-05-17",9.87
"24","2019-05-20",9.87
"25","2019-05-21",9.85
"26","2019-05-22",9.86
"27","2019-05-23",9.86
"28","2019-05-24",9.87
"29","2019-05-28",9.87
"30","2019-05-29",9.87
"31","2019-05-30",9.88
"32","2019-05-31",9.88
"33","2019-06-03",9.88
"34","2019-06-04",9.88
"35","2019-06-05",9.86
"36","2019-06-06",9.88
"37","2019-06-07",9.88
"38","2019-06-10",9.88
"39","2019-06-11",9.9
"40","2019-06-12",9.9
"41","2019-06-13",9.88
"42","2019-06-14",10.05
"43","2019-06-17",9.95
"44","2019-06-18",9.92
"45","2019-06-19",9.92
"46","2019-06-20",9.9
"47","2019-06-21",9.94
"48","2019-06-24",9.95
"49","2019-06-25",9.95
"50","2019-06-26",9.945
"51","2019-06-27",9.92
"52","2019-06-28",9.9
"53","2019-07-01",9.9
"54","2019-07-02",9.9
"55","2019-07-03",9.9
"56","2019-07-05",9.9
"57","2019-07-08",9.9
"58","2019-07-09",9.9
"59","2019-07-10",9.93
"60","2019-07-11",9.93
"61","2019-07-12",9.93
"62","2019-07-15",9.937
"63","2019-07-16",9.975
"64","2019-07-17",9.975
"65","2019-07-18",10
"66","2019-07-19",10
"67","2019-07-22",10
"68","2019-07-23",9.95
"69","2019-07-24",9.95
"70","2019-07-25",9.96
"71","2019-07-26",9.96
"72","2019-07-29",9.96
"73","2019-07-30",9.96
"74","2019-07-31",9.99
"75","2019-08-01",9.97
"76","2019-08-02",9.98
"77","2019-08-05",9.98
