"","date","MU"
"1","2007-01-03",14.03
"2","2007-01-04",13.79
"3","2007-01-05",13.58
"4","2007-01-08",13.74
"5","2007-01-09",13.67
"6","2007-01-10",14.07
"7","2007-01-11",13.88
"8","2007-01-12",14.23
"9","2007-01-16",13.92
"10","2007-01-17",13.68
"11","2007-01-18",13.25
"12","2007-01-19",13.27
"13","2007-01-22",13.07
"14","2007-01-23",12.93
"15","2007-01-24",13.23
"16","2007-01-25",13.09
"17","2007-01-26",13.2
"18","2007-01-29",13.03
"19","2007-01-30",12.99
"20","2007-01-31",12.95
"21","2007-02-01",12.85
"22","2007-02-02",13.16
"23","2007-02-05",13.12
"24","2007-02-06",13.02
"25","2007-02-07",12.97
"26","2007-02-08",12.9
"27","2007-02-09",12.56
"28","2007-02-12",12.27
"29","2007-02-13",12.21
"30","2007-02-14",12.56
"31","2007-02-15",12.51
"32","2007-02-16",12.32
"33","2007-02-20",12.1
"34","2007-02-21",11.97
"35","2007-02-22",12.16
"36","2007-02-23",12.38
"37","2007-02-26",12.34
"38","2007-02-27",11.9
"39","2007-02-28",11.86
"40","2007-03-01",11.86
"41","2007-03-02",11.83
"42","2007-03-05",11.67
"43","2007-03-06",11.71
"44","2007-03-07",11.44
"45","2007-03-08",11.33
"46","2007-03-09",11.42
"47","2007-03-12",11.4
"48","2007-03-13",11.26
"49","2007-03-14",11.59
"50","2007-03-15",11.56
"51","2007-03-16",11.44
"52","2007-03-19",11.27
"53","2007-03-20",11.27
"54","2007-03-21",11.6
"55","2007-03-22",11.62
"56","2007-03-23",11.59
"57","2007-03-26",11.61
"58","2007-03-27",12.01
"59","2007-03-28",12.01
"60","2007-03-29",11.84
"61","2007-03-30",12.08
"62","2007-04-02",12.13
"63","2007-04-03",12.23
"64","2007-04-04",12.07
"65","2007-04-05",11.51
"66","2007-04-09",11.18
"67","2007-04-10",11.22
"68","2007-04-11",11.3
"69","2007-04-12",11.45
"70","2007-04-13",11.26
"71","2007-04-16",11.07
"72","2007-04-17",10.95
"73","2007-04-18",11.1
"74","2007-04-19",11.13
"75","2007-04-20",11.19
"76","2007-04-23",11.21
"77","2007-04-24",11.59
"78","2007-04-25",11.77
"79","2007-04-26",11.97
"80","2007-04-27",11.69
"81","2007-04-30",11.47
"82","2007-05-01",11.35
"83","2007-05-02",11.45
"84","2007-05-03",11.39
"85","2007-05-04",11.91
"86","2007-05-07",11.96
"87","2007-05-08",11.86
"88","2007-05-09",12.36
"89","2007-05-10",12.13
"90","2007-05-11",12.32
"91","2007-05-14",12.29
"92","2007-05-15",12.07
"93","2007-05-16",12.14
"94","2007-05-17",11.5
"95","2007-05-18",11.47
"96","2007-05-21",11.45
"97","2007-05-22",11.38
"98","2007-05-23",11.53
"99","2007-05-24",11.81
"100","2007-05-25",11.97
"101","2007-05-29",11.96
"102","2007-05-30",11.9
"103","2007-05-31",12.18
"104","2007-06-01",12.6
"105","2007-06-04",12.57
"106","2007-06-05",12.45
"107","2007-06-06",12.24
"108","2007-06-07",11.95
"109","2007-06-08",12.35
"110","2007-06-11",11.99
"111","2007-06-12",11.96
"112","2007-06-13",11.94
"113","2007-06-14",12.23
"114","2007-06-15",12.58
"115","2007-06-18",12.55
"116","2007-06-19",12.44
"117","2007-06-20",12.72
"118","2007-06-21",13.24
"119","2007-06-22",12.83
"120","2007-06-25",12.65
"121","2007-06-26",12.45
"122","2007-06-27",12.66
"123","2007-06-28",12.41
"124","2007-06-29",12.53
"125","2007-07-02",12.48
"126","2007-07-03",12.69
"127","2007-07-05",12.8
"128","2007-07-06",13.45
"129","2007-07-09",13.42
"130","2007-07-10",13.54
"131","2007-07-11",13.84
"132","2007-07-12",13.74
"133","2007-07-13",13.74
"134","2007-07-16",13.98
"135","2007-07-17",13.85
"136","2007-07-18",13.66
"137","2007-07-19",13.6
"138","2007-07-20",13.41
"139","2007-07-23",13.44
"140","2007-07-24",13.05
"141","2007-07-25",13.08
"142","2007-07-26",12.14
"143","2007-07-27",11.87
"144","2007-07-30",12.02
"145","2007-07-31",11.87
"146","2007-08-01",12.1
"147","2007-08-02",11.82
"148","2007-08-03",11.64
"149","2007-08-06",11.63
"150","2007-08-07",11.59
"151","2007-08-08",12.07
"152","2007-08-09",12.5
"153","2007-08-10",12.21
"154","2007-08-13",11.97
"155","2007-08-14",11.52
"156","2007-08-15",11.06
"157","2007-08-16",10.6
"158","2007-08-17",10.99
"159","2007-08-20",10.98
"160","2007-08-21",11.36
"161","2007-08-22",11.45
"162","2007-08-23",11.12
"163","2007-08-24",11.02
"164","2007-08-27",11.23
"165","2007-08-28",11
"166","2007-08-29",11.24
"167","2007-08-30",11.21
"168","2007-08-31",11.45
"169","2007-09-04",11.6
"170","2007-09-05",11.36
"171","2007-09-06",11.5
"172","2007-09-07",11.4
"173","2007-09-10",11.64
"174","2007-09-11",11.63
"175","2007-09-12",11.25
"176","2007-09-13",11.28
"177","2007-09-14",11
"178","2007-09-17",10.94
"179","2007-09-18",11.17
"180","2007-09-19",10.94
"181","2007-09-20",10.78
"182","2007-09-21",10.73
"183","2007-09-24",10.54
"184","2007-09-25",10.41
"185","2007-09-26",10.75
"186","2007-09-27",11.36
"187","2007-09-28",11.1
"188","2007-10-01",11.35
"189","2007-10-02",11.79
"190","2007-10-03",10.74
"191","2007-10-04",10.61
"192","2007-10-05",10.8
"193","2007-10-08",10.75
"194","2007-10-09",10.64
"195","2007-10-10",10.71
"196","2007-10-11",10.56
"197","2007-10-12",10.49
"198","2007-10-15",10.46
"199","2007-10-16",10.43
"200","2007-10-17",10.37
"201","2007-10-18",10.53
"202","2007-10-19",10.08
"203","2007-10-22",9.99
"204","2007-10-23",9.99
"205","2007-10-24",9.78
"206","2007-10-25",9.43
"207","2007-10-26",9.76
"208","2007-10-29",9.99
"209","2007-10-30",10.35
"210","2007-10-31",10.51
"211","2007-11-01",10.32
"212","2007-11-02",10.47
"213","2007-11-05",10.14
"214","2007-11-06",9.92
"215","2007-11-07",9.49
"216","2007-11-08",9.33
"217","2007-11-09",9.64
"218","2007-11-12",9.32
"219","2007-11-13",9.42
"220","2007-11-14",9.35
"221","2007-11-15",9.24
"222","2007-11-16",9.15
"223","2007-11-19",8.84
"224","2007-11-20",8.53
"225","2007-11-21",8.08
"226","2007-11-23",8.37
"227","2007-11-26",8.02
"228","2007-11-27",7.94
"229","2007-11-28",8.46
"230","2007-11-29",8.23
"231","2007-11-30",8.32
"232","2007-12-03",8.3
"233","2007-12-04",8.6
"234","2007-12-05",8.95
"235","2007-12-06",9.26
