"","date","GLIBA"
"1","2012-08-10",11.056511
"2","2012-08-13",11.019656
"3","2012-08-14",10.761671
"4","2012-08-15",10.597052
"5","2012-08-16",9.955774
"6","2012-08-17",10.461917
"7","2012-08-20",10.427519
"8","2012-08-21",10.601966
"9","2012-08-22",11.090909
"10","2012-08-23",11.056511
"11","2012-08-24",11.599508
"12","2012-08-27",12.199018
"13","2012-08-28",11.872236
"14","2012-08-29",11.523341
"15","2012-08-30",11.405405
"16","2012-08-31",11.299754
"17","2012-09-04",11.845209
"18","2012-09-05",11.948403
"19","2012-09-06",12.068796
"20","2012-09-07",12.090909
"21","2012-09-10",12.041769
"22","2012-09-11",12.240787
"23","2012-09-12",11.982801
"24","2012-09-13",12.248158
"25","2012-09-14",12.051597
"26","2012-09-17",11.872236
"27","2012-09-18",11.771499
"28","2012-09-19",11.702703
"29","2012-09-20",12.127764
"30","2012-09-21",12.46683
"31","2012-09-24",12.090909
"32","2012-09-25",11.992629
"33","2012-09-26",11.95086
"34","2012-09-27",12.211302
"35","2012-09-28",12.19656
"36","2012-10-01",12.029484
"37","2012-10-02",11.980344
"38","2012-10-03",12.127764
"39","2012-10-04",12.216216
"40","2012-10-05",12.19656
"41","2012-10-08",12.228501
"42","2012-10-09",12.088452
"43","2012-10-10",12.884521
"44","2012-10-11",13.127764
"45","2012-10-12",12.72973
"46","2012-10-15",12.692875
"47","2012-10-16",12.830467
"48","2012-10-17",13.02457
"49","2012-10-18",13.181818
"50","2012-10-19",13.066339
"51","2012-10-22",13.267814
"52","2012-10-23",13.230958
"53","2012-10-24",13.339067
"54","2012-10-25",13.285012
"55","2012-10-26",13.867322
"56","2012-10-31",13.982801
"57","2012-11-01",13.945946
"58","2012-11-02",14.402948
"59","2012-11-05",14.189189
"60","2012-11-06",14.275185
"61","2012-11-07",13.980344
"62","2012-11-08",13.970516
"63","2012-11-09",13.92629
"64","2012-11-12",13.933661
"65","2012-11-13",13.916462
"66","2012-11-14",13.675675
"67","2012-11-15",13.491401
"68","2012-11-16",13.859951
"69","2012-11-19",13.945946
"70","2012-11-20",14.14742
"71","2012-11-21",14.203931
"72","2012-11-23",14.383292
"73","2012-11-26",14.081081
"74","2012-11-27",13.982801
"75","2012-11-28",14.216216
"76","2012-11-29",14.425061
"77","2012-11-30",14.38575
"78","2012-12-03",14.248158
