"","date","PMBC"
"1","2007-01-03",15.99
"2","2007-01-04",16.190001
"3","2007-01-05",16.309999
"4","2007-01-08",16.360001
"5","2007-01-09",16.370001
"6","2007-01-10",16.09
"7","2007-01-11",16.120001
"8","2007-01-12",15.82
"9","2007-01-16",16
"10","2007-01-17",16.280001
"11","2007-01-18",16.18
"12","2007-01-19",16.33
"13","2007-01-22",16.1
"14","2007-01-23",16.48
"15","2007-01-24",16.52
"16","2007-01-25",16.66
"17","2007-01-26",16.629999
"18","2007-01-29",16.709999
"19","2007-01-30",16.629999
"20","2007-01-31",16.51
"21","2007-02-01",16.530001
"22","2007-02-02",16.110001
"23","2007-02-05",16.41
"24","2007-02-06",16.209999
"25","2007-02-07",16.219999
"26","2007-02-08",16.15
"27","2007-02-09",15.82
"28","2007-02-12",15.45
"29","2007-02-13",15.21
"30","2007-02-14",15.18
"31","2007-02-15",15.2
"32","2007-02-16",15.2
"33","2007-02-20",15.33
"34","2007-02-21",15
"35","2007-02-22",15.02
"36","2007-02-23",15.02
"37","2007-02-26",15.09
"38","2007-02-27",15.01
"39","2007-02-28",14.48
"40","2007-03-01",14.38
"41","2007-03-02",14.22
"42","2007-03-05",14.18
"43","2007-03-06",14.3
"44","2007-03-07",14.02
"45","2007-03-08",14.19
"46","2007-03-09",14.41
"47","2007-03-12",14.37
"48","2007-03-13",14.03
"49","2007-03-14",14.24
"50","2007-03-15",14.19
"51","2007-03-16",14.28
"52","2007-03-19",14.15
"53","2007-03-20",14.29
"54","2007-03-21",14.26
"55","2007-03-22",14.18
"56","2007-03-23",14.18
"57","2007-03-26",14.29
"58","2007-03-27",14.32
"59","2007-03-28",14.26
"60","2007-03-29",14.21
"61","2007-03-30",14.2
"62","2007-04-02",14.2
"63","2007-04-03",14.26
"64","2007-04-04",14.2
"65","2007-04-05",14.36
"66","2007-04-09",14.2
"67","2007-04-10",14.59
"68","2007-04-11",14.5
"69","2007-04-12",14.3
"70","2007-04-13",14.37
"71","2007-04-16",14.39
"72","2007-04-17",14.29
"73","2007-04-18",14.25
"74","2007-04-19",14.35
"75","2007-04-20",14.3
"76","2007-04-23",14.23
"77","2007-04-24",14.21
"78","2007-04-25",14.4
"79","2007-04-26",14.16
"80","2007-04-27",14.32
"81","2007-04-30",14.28
"82","2007-05-01",14.22
"83","2007-05-02",14.22
"84","2007-05-03",14.05
"85","2007-05-04",13.97
"86","2007-05-07",13.92
"87","2007-05-08",13.99
"88","2007-05-09",13.88
"89","2007-05-10",13.84
"90","2007-05-11",14
"91","2007-05-14",13.84
"92","2007-05-15",13.85
"93","2007-05-16",13.72
"94","2007-05-17",13.5
"95","2007-05-18",13.72
"96","2007-05-21",13.7
"97","2007-05-22",13.65
"98","2007-05-23",13.68
"99","2007-05-24",13.62
"100","2007-05-25",13.59
"101","2007-05-29",13.53
"102","2007-05-30",13.52
"103","2007-05-31",13.65
"104","2007-06-01",13.58
"105","2007-06-04",13.54
"106","2007-06-05",13.7
