"","date","CSBR"
"1","2007-02-02",7.2
"2","2007-02-05",7.2
"3","2007-02-06",5.64
"4","2007-02-07",3.6
"5","2007-02-08",3
"6","2007-02-09",3.24
"7","2007-02-12",4.8
"8","2007-02-13",5.4
"9","2007-02-14",7.2
"10","2007-02-15",6.96
"11","2007-02-16",6.48
"12","2007-02-20",6.48
"13","2007-02-21",6.48
"14","2007-02-22",6.48
"15","2007-02-23",6.24
"16","2007-02-26",4.8
"17","2007-02-27",4.8
"18","2007-02-28",4.2
"19","2007-03-01",3.6
"20","2007-03-02",4.8
"21","2007-03-05",3.72
"22","2007-03-06",3.72
"23","2007-03-07",3.72
"24","2007-03-08",3.84
"25","2007-03-09",3.72
"26","2007-03-12",3.84
"27","2007-03-13",4.44
"28","2007-03-14",4.08
"29","2007-03-15",4.08
"30","2007-03-16",4.44
"31","2007-03-19",4.44
"32","2007-03-20",5.16
"33","2007-03-21",4.2
"34","2007-03-22",4.2
"35","2007-03-23",4.92
"36","2007-03-26",4.92
"37","2007-03-27",4.44
"38","2007-03-28",4.2
"39","2007-03-29",4.2
"40","2007-03-30",4.32
"41","2007-04-02",4.32
"42","2007-04-03",4.2
"43","2007-04-04",4.32
"44","2007-04-05",4.32
"45","2007-04-09",4.2
"46","2007-04-10",4.32
"47","2007-04-11",3.84
"48","2007-04-12",3.84
"49","2007-04-13",3.6
"50","2007-04-16",3.72
"51","2007-04-17",3.72
"52","2007-04-18",3.72
"53","2007-04-19",3.6
"54","2007-04-20",3.72
"55","2007-04-23",3.24
"56","2007-04-24",3.24
"57","2007-04-25",3.72
"58","2007-04-26",3.72
"59","2007-04-27",3.72
"60","2007-04-30",3.6
"61","2007-05-01",3.12
"62","2007-05-02",3.12
"63","2007-05-03",3.12
"64","2007-05-04",3.12
"65","2007-05-07",3.12
"66","2007-05-08",3.6
"67","2007-05-09",3.6
"68","2007-05-10",4.8
"69","2007-05-11",4.56
"70","2007-05-14",3.6
"71","2007-05-15",3.6
"72","2007-05-16",3.48
"73","2007-05-17",3.48
"74","2007-05-18",3.48
"75","2007-05-21",6.12
"76","2007-05-22",5.4
"77","2007-05-23",5.4
"78","2007-05-24",5.4
"79","2007-05-25",5.4
"80","2007-05-29",6
"81","2007-05-30",7.2
"82","2007-05-31",8.04
"83","2007-06-01",8.4
"84","2007-06-04",6.6
"85","2007-06-05",7.2
"86","2007-06-06",7.2
"87","2007-06-07",7.2
"88","2007-06-08",7.2
"89","2007-06-11",7.44
"90","2007-06-12",6.6
"91","2007-06-13",6.6
"92","2007-06-14",6.6
"93","2007-06-15",7.2
"94","2007-06-18",7.2
"95","2007-06-19",6.6
"96","2007-06-20",6.6
"97","2007-06-21",6.48
"98","2007-06-22",6.36
"99","2007-06-25",6.36
"100","2007-06-26",6.36
"101","2007-06-27",6.6
"102","2007-06-28",6.6
"103","2007-06-29",6.36
"104","2007-07-02",6.12
"105","2007-07-03",6.12
"106","2007-07-05",6.36
"107","2007-07-06",6.36
"108","2007-07-09",6.36
"109","2007-07-10",6.72
"110","2007-07-11",6.6
"111","2007-07-12",6.6
"112","2007-07-13",6.6
"113","2007-07-16",6
"114","2007-07-17",5.4
"115","2007-07-18",6
"116","2007-07-19",6
"117","2007-07-20",6
"118","2007-07-23",6
"119","2007-07-24",6
"120","2007-07-25",6
"121","2007-07-26",6.6
"122","2007-07-27",6.6
"123","2007-07-30",5.4
"124","2007-07-31",6.6
"125","2007-08-01",6.6
"126","2007-08-02",6.6
"127","2007-08-03",6
"128","2007-08-06",6
"129","2007-08-07",6.24
"130","2007-08-08",6.6
"131","2007-08-09",6.72
"132","2007-08-10",6.96
"133","2007-08-13",6.96
"134","2007-08-14",6
"135","2007-08-15",6
"136","2007-08-16",6
"137","2007-08-17",6.6
"138","2007-08-20",6.6
"139","2007-08-21",6.48
"140","2007-08-22",6.48
"141","2007-08-23",6.48
"142","2007-08-24",6.48
"143","2007-08-27",6.6
"144","2007-08-28",6.36
"145","2007-08-29",6.36
"146","2007-08-30",6.6
"147","2007-08-31",6.6
"148","2007-09-04",6.48
"149","2007-09-05",6.6
"150","2007-09-06",5.4
"151","2007-09-07",6.96
"152","2007-09-10",6.96
"153","2007-09-11",6.96
"154","2007-09-12",5.76
"155","2007-09-13",5.4
"156","2007-09-14",6.6
"157","2007-09-17",6.6
"158","2007-09-18",6.6
"159","2007-09-19",6.6
"160","2007-09-20",6.6
"161","2007-09-21",7.2
"162","2007-09-24",6.12
"163","2007-09-25",6.36
"164","2007-09-26",6.36
"165","2007-09-27",7.2
"166","2007-09-28",7.44
"167","2007-10-01",7.8
"168","2007-10-02",7.8
"169","2007-10-03",8.28
"170","2007-10-04",7.8
"171","2007-10-05",7.8
"172","2007-10-08",7.8
"173","2007-10-09",8.04
"174","2007-10-10",9
"175","2007-10-11",10.2
"176","2007-10-12",12
"177","2007-10-15",12.96
"178","2007-10-16",15
"179","2007-10-17",18
"180","2007-10-18",21.719999
"181","2007-10-19",18.959999
"182","2007-10-22",20.4
"183","2007-10-23",23.16
"184","2007-10-24",25.200001
"185","2007-10-25",23.4
"186","2007-10-26",22.799999
"187","2007-10-29",24.360001
"188","2007-10-30",21.959999
"189","2007-10-31",20.4
"190","2007-11-01",20.4
"191","2007-11-02",19.799999
"192","2007-11-05",18
"193","2007-11-06",17.879999
"194","2007-11-07",18
"195","2007-11-08",18
"196","2007-11-09",17.639999
"197","2007-11-12",15.24
"198","2007-11-13",17.280001
"199","2007-11-14",19.200001
"200","2007-11-15",18
"201","2007-11-16",16.200001
"202","2007-11-19",16.200001
"203","2007-11-20",18
"204","2007-11-21",17.4
"205","2007-11-23",18
"206","2007-11-26",16.799999
"207","2007-11-27",18
"208","2007-11-28",16.200001
"209","2007-11-29",16.200001
"210","2007-11-30",16.200001
"211","2007-12-03",15.6
"212","2007-12-04",17.4
"213","2007-12-05",17.4
"214","2007-12-06",17.4
"215","2007-12-07",17.280001
