"","date","TROX"
"1","2010-12-01",16.1
"2","2010-12-02",16.1
"3","2010-12-03",18.049999
"4","2010-12-06",18.049999
"5","2010-12-07",18.049999
"6","2010-12-08",18.299999
"7","2010-12-09",18.200001
"8","2010-12-10",18.15
"9","2010-12-13",18.299999
"10","2010-12-14",18.450001
"11","2010-12-15",18.75
"12","2010-12-16",18.75
"13","2010-12-17",18.75
"14","2010-12-20",18.799999
"15","2010-12-21",19
"16","2010-12-22",19
"17","2010-12-23",19
"18","2010-12-27",19
"19","2010-12-28",19
"20","2010-12-29",19
"21","2010-12-30",19
"22","2010-12-31",19
"23","2011-01-03",19
"24","2011-01-04",18.4
"25","2011-01-05",18.4
"26","2011-01-06",18.4
"27","2011-01-07",18.9
"28","2011-01-10",18.85
"29","2011-01-11",18.85
"30","2011-01-12",18.85
"31","2011-01-13",19.450001
"32","2011-01-14",19.200001
"33","2011-01-18",19.450001
"34","2011-01-19",19.450001
"35","2011-01-20",19.450001
"36","2011-01-21",19.700001
"37","2011-01-24",19.700001
"38","2011-01-25",19.85
"39","2011-01-26",19.85
"40","2011-01-27",20
"41","2011-01-28",19.6
"42","2011-01-31",19.6
"43","2011-02-01",21
"44","2011-02-02",21
"45","2011-02-03",20.85
"46","2011-02-04",21.200001
"47","2011-02-07",21.969999
"48","2011-02-08",22.6
"49","2011-02-09",23.049999
"50","2011-02-10",24.6
"51","2011-02-11",24.6
"52","2011-02-14",24.6
"53","2011-02-15",24.6
"54","2011-02-16",24.6
"55","2011-02-17",25.1
"56","2011-02-18",26.9
"57","2011-02-22",26.4
"58","2011-02-23",26.4
"59","2011-02-24",26
"60","2011-02-25",25.726
"61","2011-02-28",25.719999
"62","2011-03-01",25.200001
"63","2011-03-02",25.280001
"64","2011-03-03",25.75
"65","2011-03-04",26.040001
"66","2011-03-07",26.4
"67","2011-03-08",26.799999
"68","2011-03-09",27.25
"69","2011-03-10",27.049999
"70","2011-03-11",27.238001
"71","2011-03-14",27.200001
"72","2011-03-15",27.049999
"73","2011-03-16",27
"74","2011-03-17",27
"75","2011-03-18",27
"76","2011-03-21",26.950001
"77","2011-03-22",27
"78","2011-03-23",26.85
"79","2011-03-24",27.15
"80","2011-03-25",27.200001
"81","2011-03-28",27.950001
"82","2011-03-29",27.98
"83","2011-03-30",27.6
"84","2011-03-31",27.9
"85","2011-04-01",27.799999
"86","2011-04-04",27.99
"87","2011-04-05",28.200001
"88","2011-04-06",28.5
"89","2011-04-07",28.85
"90","2011-04-08",29.6
"91","2011-04-11",29.6
"92","2011-04-12",29.4
"93","2011-04-13",29.24
"94","2011-04-14",29.200001
