"","date","MKGI"
"1","2015-07-01",24.975
"2","2015-07-02",18.75
"3","2015-07-06",21.875
"4","2015-07-07",16.25
"5","2015-07-08",15
"6","2015-07-09",15
"7","2015-07-10",12.5
"8","2015-07-13",12.8
"9","2015-07-14",12.5
"10","2015-07-15",9.375
"11","2015-07-16",11.25
"12","2015-07-17",10.625
"13","2015-07-20",10.5
"14","2015-07-21",10.775
"15","2015-07-22",11.7425
"16","2015-07-23",11.25
"17","2015-07-24",12.625
"18","2015-07-27",10.625
"19","2015-07-28",10.625
"20","2015-07-29",10
"21","2015-07-30",10
"22","2015-07-31",9.375
"23","2015-08-03",9.375
"24","2015-08-04",8.9
"25","2015-08-05",12.75
"26","2015-08-06",12.5
"27","2015-08-07",12.5
"28","2015-08-10",10
"29","2015-08-11",10
"30","2015-08-12",9.375
"31","2015-08-13",9.375
"32","2015-08-14",8.75
"33","2015-08-17",9.975
"34","2015-08-18",9.25
"35","2015-08-19",8.35
"36","2015-08-20",8.5
"37","2015-08-21",8.5
"38","2015-08-24",8.5
"39","2015-08-25",8.5
"40","2015-08-26",8.5
"41","2015-08-27",7.125
"42","2015-08-28",7.125
"43","2015-08-31",7.125
"44","2015-09-01",7.5
"45","2015-09-02",7.5
"46","2015-09-03",7.5
"47","2015-09-04",7.5
"48","2015-09-08",7.5
"49","2015-09-09",6.75
"50","2015-09-10",6.75
"51","2015-09-11",7.5
"52","2015-09-14",8.25
"53","2015-09-15",8.25
"54","2015-09-16",8.125
"55","2015-09-17",7.25
"56","2015-09-18",7.25
"57","2015-09-21",8.125
"58","2015-09-22",7.5
"59","2015-09-23",7.5
"60","2015-09-24",7.475
"61","2015-09-25",7.975
"62","2015-09-28",7.95
"63","2015-09-29",7.25
"64","2015-09-30",7.375
"65","2015-10-01",7.375
"66","2015-10-02",6.875
"67","2015-10-05",6.425
"68","2015-10-06",6.4
"69","2015-10-07",6.4
"70","2015-10-08",6.25
"71","2015-10-09",5.9
"72","2015-10-12",6.275
"73","2015-10-13",8.125
"74","2015-10-14",8.75
"75","2015-10-15",9.375
"76","2015-10-16",9.375
"77","2015-10-19",9
"78","2015-10-20",9
"79","2015-10-21",8.75
"80","2015-10-22",8.75
"81","2015-10-23",7.875
"82","2015-10-26",7.75
"83","2015-10-27",7.6725
"84","2015-10-28",7.6725
"85","2015-10-29",8.075
"86","2015-10-30",8.625
"87","2015-11-02",8.125
"88","2015-11-03",7.65
"89","2015-11-04",7.65
"90","2015-11-05",8.6
"91","2015-11-06",8.6
"92","2015-11-09",8.6
"93","2015-11-10",7.5
"94","2015-11-11",8.125
"95","2015-11-12",8.125
"96","2015-11-13",8.625
"97","2015-11-16",8.125
"98","2015-11-17",8.125
"99","2015-11-18",8
"100","2015-11-19",5.875
"101","2015-11-20",7.875
