"","date","BMRC"
"1","2007-01-03",18.025
"2","2007-01-04",18.15
"3","2007-01-05",18.15
"4","2007-01-08",18.15
"5","2007-01-09",18.24
"6","2007-01-10",18.1
"7","2007-01-11",18.15
"8","2007-01-12",18.15
"9","2007-01-16",18.125
"10","2007-01-17",18.049999
"11","2007-01-18",18.125
"12","2007-01-19",18.264999
"13","2007-01-22",18.135
"14","2007-01-23",18.395
"15","2007-01-24",18.5
"16","2007-01-25",18.625
"17","2007-01-26",18.549999
"18","2007-01-29",18.815001
"19","2007-01-30",18.885
"20","2007-01-31",18.85
"21","2007-02-01",18.85
"22","2007-02-02",18.875
"23","2007-02-05",19.084999
"24","2007-02-06",19.125
"25","2007-02-07",19.125
"26","2007-02-08",19.125
"27","2007-02-09",19.264999
"28","2007-02-12",19.35
"29","2007-02-13",19.120001
"30","2007-02-14",19.084999
"31","2007-02-15",19.094999
"32","2007-02-16",19.135
"33","2007-02-20",19.5
"34","2007-02-21",19.155001
"35","2007-02-22",19.625
"36","2007-02-23",19.475
"37","2007-02-26",19.5
"38","2007-02-27",19.174999
"39","2007-02-28",19
"40","2007-03-01",18.325001
"41","2007-03-02",18
"42","2007-03-05",17.98
"43","2007-03-06",18.084999
"44","2007-03-07",17.959999
"45","2007-03-08",18.045
"46","2007-03-09",18.014999
"47","2007-03-12",18
"48","2007-03-13",17.950001
"49","2007-03-14",18.025
"50","2007-03-15",17.889999
"51","2007-03-16",17.950001
"52","2007-03-19",18.049999
"53","2007-03-20",17.85
"54","2007-03-21",17.85
"55","2007-03-22",17.870001
"56","2007-03-23",17.9
"57","2007-03-26",17.85
"58","2007-03-27",17.795
"59","2007-03-28",17.805
"60","2007-03-29",17.934999
"61","2007-03-30",17.85
"62","2007-04-02",17.945
"63","2007-04-03",17.9
"64","2007-04-04",17.950001
"65","2007-04-05",17.975
"66","2007-04-09",17.85
"67","2007-04-10",18.110001
"68","2007-04-11",18.129999
"69","2007-04-12",17.955
"70","2007-04-13",17.945
"71","2007-04-16",17.85
"72","2007-04-17",17.85
"73","2007-04-18",17.870001
"74","2007-04-19",17.855
"75","2007-04-20",17.705
"76","2007-04-23",17.959999
"77","2007-04-24",17.959999
"78","2007-04-25",17.985001
"79","2007-04-26",18.004999
"80","2007-04-27",17.865
"81","2007-04-30",17.625
"82","2007-05-01",17.59
"83","2007-05-02",17.424999
"84","2007-05-03",17.344999
"85","2007-05-04",17.209999
"86","2007-05-07",17.145
"87","2007-05-08",16.945
"88","2007-05-09",16.73
"89","2007-05-10",16.834999
"90","2007-05-11",16.795
"91","2007-05-14",16.799999
"92","2007-05-15",16.790001
"93","2007-05-16",16.790001
"94","2007-05-17",16.75
"95","2007-05-18",16.795
"96","2007-05-21",16.735001
"97","2007-05-22",16.775
"98","2007-05-23",16.754999
"99","2007-05-24",16.780001
"100","2007-05-25",16.75
"101","2007-05-29",16.799999
"102","2007-05-30",16.955
"103","2007-05-31",16.855
"104","2007-06-01",16.860001
"105","2007-06-04",16.809999
"106","2007-06-05",16.75
"107","2007-06-06",16.735001
"108","2007-06-07",16.764999
"109","2007-06-08",16.77
"110","2007-06-11",16.715
"111","2007-06-12",16.549999
"112","2007-06-13",16.5
"113","2007-06-14",16.424999
"114","2007-06-15",16.424999
"115","2007-06-18",16.459999
"116","2007-06-19",16.405001
"117","2007-06-20",16.5
"118","2007-06-21",16.450001
"119","2007-06-22",16.465
"120","2007-06-25",16.465
"121","2007-06-26",16.475
"122","2007-06-27",16.475
"123","2007-06-28",16.299999
"124","2007-06-29",16.325001
"125","2007-07-02",16.325001
"126","2007-07-03",15.825
"127","2007-07-05",16.129999
"128","2007-07-06",16.125
"129","2007-07-09",16.235001
"130","2007-07-10",16.25
"131","2007-07-11",16.475
"132","2007-07-12",16.25
"133","2007-07-13",16.25
"134","2007-07-16",16.209999
"135","2007-07-17",16.225
"136","2007-07-18",16.365
"137","2007-07-19",16.26
"138","2007-07-20",16.26
"139","2007-07-23",16.225
"140","2007-07-24",16.225
"141","2007-07-25",16.125
"142","2007-07-26",15.985
"143","2007-07-27",15.995
"144","2007-07-30",15.915
"145","2007-07-31",15.9
"146","2007-08-01",15.79
"147","2007-08-02",15.75
"148","2007-08-03",15.5
"149","2007-08-06",15.45
