"","date","MINDP"
"1","2016-06-14",24.49
"2","2016-06-15",24.450001
"3","2016-06-16",24.4
"4","2016-06-17",24.4
"5","2016-06-20",24.549999
"6","2016-06-21",24.43
"7","2016-06-22",24.65
"8","2016-06-23",24.540001
"9","2016-06-24",24.65
"10","2016-06-27",24.4
"11","2016-06-28",24.573999
"12","2016-06-29",24.5
"13","2016-06-30",24.5
"14","2016-07-01",24.34
"15","2016-07-05",24.299999
"16","2016-07-06",24.299999
"17","2016-07-07",24.1
"18","2016-07-08",24.15
"19","2016-07-11",23.959999
"20","2016-07-12",24
"21","2016-07-13",22.950001
"22","2016-07-14",24.4
"23","2016-07-15",23.99
"24","2016-07-18",24
"25","2016-07-19",23.700001
"26","2016-07-20",23.309999
"27","2016-07-21",23.49
"28","2016-07-22",23.540001
"29","2016-07-25",23.25
"30","2016-07-26",23.030001
"31","2016-07-27",23
"32","2016-07-28",23.200001
"33","2016-07-29",23.198
"34","2016-08-01",23.790001
"35","2016-08-02",23.940001
"36","2016-08-03",23.93
"37","2016-08-04",23.969999
"38","2016-08-05",23.969999
"39","2016-08-08",24.1
"40","2016-08-09",23.893999
"41","2016-08-10",23.9
"42","2016-08-11",23.950001
"43","2016-08-12",23.700001
"44","2016-08-15",23.5
"45","2016-08-16",23.5
"46","2016-08-17",23.945999
"47","2016-08-18",24.1
"48","2016-08-19",23.99
"49","2016-08-22",23.98
"50","2016-08-23",23.952
"51","2016-08-24",23.950001
"52","2016-08-25",24
"53","2016-08-26",24
"54","2016-08-29",24.030001
"55","2016-08-30",23.992001
"56","2016-08-31",23.9
"57","2016-09-01",23.969999
"58","2016-09-02",23.9
"59","2016-09-06",23.75
"60","2016-09-07",23.584
"61","2016-09-08",23.412001
"62","2016-09-09",23.889999
"63","2016-09-12",23.889999
"64","2016-09-13",23.889999
"65","2016-09-14",23.735001
"66","2016-09-15",23.719999
"67","2016-09-16",23.799999
"68","2016-09-19",23.58
"69","2016-09-20",23.35
"70","2016-09-21",23.09
"71","2016-09-22",23.02
"72","2016-09-23",23
"73","2016-09-26",23
"74","2016-09-27",23.75
"75","2016-09-28",23.5
"76","2016-09-29",23.75
"77","2016-09-30",23.584999
"78","2016-10-03",23.65
"79","2016-10-04",23.549999
"80","2016-10-05",24
"81","2016-10-06",24
"82","2016-10-07",23.905001
"83","2016-10-10",24.040001
"84","2016-10-11",23.9
"85","2016-10-12",23.9
"86","2016-10-13",23.700001
"87","2016-10-14",23.9
"88","2016-10-17",23.9
"89","2016-10-18",23.6
"90","2016-10-19",23.5
"91","2016-10-20",23.9
"92","2016-10-21",23.9
"93","2016-10-24",23.9
