"","date","TELA"
"1","2019-11-08",13.35
"2","2019-11-11",12.85
"3","2019-11-12",12.85
"4","2019-11-13",12.5
"5","2019-11-14",12.682
"6","2019-11-15",12.09
"7","2019-11-18",11.45
"8","2019-11-19",11.5
"9","2019-11-20",11.95
"10","2019-11-21",11.42
"11","2019-11-22",11.37
"12","2019-11-25",11.75
"13","2019-11-26",11.39
"14","2019-11-27",11.98
"15","2019-11-29",13.8
"16","2019-12-02",12.31
"17","2019-12-03",12.96
"18","2019-12-04",13.14
"19","2019-12-05",12.07
"20","2019-12-06",12.37
"21","2019-12-09",12.15
"22","2019-12-10",11.92
"23","2019-12-11",11.81
"24","2019-12-12",11.67
"25","2019-12-13",11.62
"26","2019-12-16",11.49
"27","2019-12-17",11.26
"28","2019-12-18",12.55
"29","2019-12-19",12.83
"30","2019-12-20",12.06
"31","2019-12-23",12.25
"32","2019-12-24",12.34
"33","2019-12-26",12.42
"34","2019-12-27",12.65
"35","2019-12-30",12.52
"36","2019-12-31",12.95
"37","2020-01-02",12.95
"38","2020-01-03",12.35
"39","2020-01-06",12.45
"40","2020-01-07",13.19
"41","2020-01-08",13.92
"42","2020-01-09",13.02
"43","2020-01-10",13.67
"44","2020-01-13",14.06
"45","2020-01-14",14.38
"46","2020-01-15",14.67
"47","2020-01-16",15.14
"48","2020-01-17",14.93
"49","2020-01-21",14.53
"50","2020-01-22",15.48
"51","2020-01-23",15.72
"52","2020-01-24",15.5
"53","2020-01-27",15.5
"54","2020-01-28",15.19
"55","2020-01-29",15.15
"56","2020-01-30",14.78
"57","2020-01-31",14.9
"58","2020-02-03",15.15
"59","2020-02-04",15.44
"60","2020-02-05",15.37
"61","2020-02-06",15.7
"62","2020-02-07",15.25
"63","2020-02-10",15.39
"64","2020-02-11",15.55
"65","2020-02-12",15.7
"66","2020-02-13",15.45
"67","2020-02-14",15.8
"68","2020-02-18",18
"69","2020-02-19",17.950001
"70","2020-02-20",17.540001
"71","2020-02-21",17.620001
"72","2020-02-24",18.334999
"73","2020-02-25",17.75
"74","2020-02-26",17.440001
"75","2020-02-27",15.82
"76","2020-02-28",15.49
"77","2020-03-02",15.99
"78","2020-03-03",15.55
"79","2020-03-04",14.55
"80","2020-03-05",14.8
"81","2020-03-06",14.9
"82","2020-03-09",12.01
"83","2020-03-10",13.74
"84","2020-03-11",11.9
"85","2020-03-12",10.89
"86","2020-03-13",11.11
"87","2020-03-16",9.14
"88","2020-03-17",8.75
"89","2020-03-18",5.39
"90","2020-03-19",6.48
"91","2020-03-20",6.57
"92","2020-03-23",6.12
"93","2020-03-24",7.37
"94","2020-03-25",8.1
"95","2020-03-26",8
"96","2020-03-27",8.01
"97","2020-03-30",8.05
"98","2020-03-31",7.82
"99","2020-04-01",7.97
"100","2020-04-02",7.75
"101","2020-04-03",8
"102","2020-04-06",7.94
"103","2020-04-07",8.02
"104","2020-04-08",8.48
"105","2020-04-09",8.45
"106","2020-04-13",7.93
"107","2020-04-14",8.03
"108","2020-04-15",7.99
"109","2020-04-16",7.94
"110","2020-04-17",7.93
"111","2020-04-20",8.42
"112","2020-04-21",8.47
"113","2020-04-22",9.41
"114","2020-04-23",9.74
"115","2020-04-24",10.72
"116","2020-04-27",10.83
"117","2020-04-28",9.51
"118","2020-04-29",10.76
"119","2020-04-30",11.47
"120","2020-05-01",11.12
"121","2020-05-04",11.96
"122","2020-05-05",12.5
"123","2020-05-06",12.21
"124","2020-05-07",12.51
"125","2020-05-08",11.87
"126","2020-05-11",12.27
"127","2020-05-12",11.01
"128","2020-05-13",11.97
"129","2020-05-14",11.73
"130","2020-05-15",11.83
"131","2020-05-18",12.75
"132","2020-05-19",14.25
"133","2020-05-20",14.17
"134","2020-05-21",13.89
"135","2020-05-22",14.37
"136","2020-05-26",13.94
"137","2020-05-27",14.35
"138","2020-05-28",13.71
"139","2020-05-29",13.75
"140","2020-06-01",14.03
"141","2020-06-02",15.5
"142","2020-06-03",17
"143","2020-06-04",17
"144","2020-06-05",16.5
"145","2020-06-08",16.58
"146","2020-06-09",16.82
"147","2020-06-10",16.51
"148","2020-06-11",17.01
"149","2020-06-12",16.870001
"150","2020-06-15",18.290001
"151","2020-06-16",19.18
"152","2020-06-17",19.91
"153","2020-06-18",21.67
"154","2020-06-19",22.610001
"155","2020-06-22",20.9
"156","2020-06-23",21.290001
"157","2020-06-24",19.889999
"158","2020-06-25",18.27
"159","2020-06-26",13.75
"160","2020-06-29",13
"161","2020-06-30",12.96
"162","2020-07-01",12.42
"163","2020-07-02",13.65
"164","2020-07-06",13.92
"165","2020-07-07",12.74
"166","2020-07-08",13.21
"167","2020-07-09",13.05
"168","2020-07-10",13.52
"169","2020-07-13",13.22
"170","2020-07-14",13.81
"171","2020-07-15",14.19
"172","2020-07-16",14.15
"173","2020-07-17",14.17
"174","2020-07-20",14.03
"175","2020-07-21",14.96
"176","2020-07-22",14.22
"177","2020-07-23",13.88
"178","2020-07-24",14.05
"179","2020-07-27",12.97
"180","2020-07-28",12.59
"181","2020-07-29",12.46
"182","2020-07-30",12.21
"183","2020-07-31",11.64
"184","2020-08-03",12.16
"185","2020-08-04",13.24
"186","2020-08-05",13.26
"187","2020-08-06",13.27
"188","2020-08-07",13.27
"189","2020-08-10",13.38
"190","2020-08-11",13.2
