"","date","FOUR"
"1","2020-06-05",33.540001
"2","2020-06-08",35.150002
"3","2020-06-09",35.509998
"4","2020-06-10",35.450001
"5","2020-06-11",31.75
"6","2020-06-12",34.75
"7","2020-06-15",35.52
"8","2020-06-16",35
"9","2020-06-17",36.369999
"10","2020-06-18",39.529999
"11","2020-06-19",41.75
"12","2020-06-22",40.509998
"13","2020-06-23",40.5
"14","2020-06-24",37.52
"15","2020-06-25",36.029999
"16","2020-06-26",37.200001
"17","2020-06-29",35.93
"18","2020-06-30",35.5
"19","2020-07-01",34
"20","2020-07-02",36.169998
"21","2020-07-06",39.389999
"22","2020-07-07",42.490002
"23","2020-07-08",44.75
"24","2020-07-09",44.830002
"25","2020-07-10",44.880001
"26","2020-07-13",39.040001
"27","2020-07-14",37.759998
"28","2020-07-15",39.98
"29","2020-07-16",39.419998
"30","2020-07-17",38.900002
"31","2020-07-20",38.049999
"32","2020-07-21",37.130001
"33","2020-07-22",35.799999
"34","2020-07-23",36
"35","2020-07-24",35.400002
"36","2020-07-27",36.529999
"37","2020-07-28",36.740002
"38","2020-07-29",38.5
"39","2020-07-30",37.580002
"40","2020-07-31",38.299999
"41","2020-08-03",39.599998
"42","2020-08-04",39.299999
"43","2020-08-05",39.41
"44","2020-08-06",43.639999
"45","2020-08-07",44.32
"46","2020-08-10",46.23
"47","2020-08-11",45.380001
"48","2020-08-12",47.060001
"49","2020-08-13",48.889999
"50","2020-08-14",49.889999
"51","2020-08-17",49.540001
"52","2020-08-18",47.959999
"53","2020-08-19",49.900002
"54","2020-08-20",48.240002
"55","2020-08-21",50.169998
"56","2020-08-24",50.34
"57","2020-08-25",52.720001
"58","2020-08-26",51.93
"59","2020-08-27",51.259998
"60","2020-08-28",51.34
"61","2020-08-31",50.369999
"62","2020-09-01",51.02
"63","2020-09-02",51.27
"64","2020-09-03",49.32
"65","2020-09-04",49.529999
"66","2020-09-08",49.580002
"67","2020-09-09",48.950001
"68","2020-09-10",50.02
"69","2020-09-11",46.299999
"70","2020-09-14",45.41
"71","2020-09-15",46.5
"72","2020-09-16",46.990002
"73","2020-09-17",44.57
"74","2020-09-18",44.380001
"75","2020-09-21",45.360001
"76","2020-09-22",46.540001
"77","2020-09-23",46.639999
"78","2020-09-24",44.5
"79","2020-09-25",45.380001
"80","2020-09-28",45.59
"81","2020-09-29",47.240002
"82","2020-09-30",48.360001
"83","2020-10-01",49.689999
"84","2020-10-02",51.549999
"85","2020-10-05",52.209999
"86","2020-10-06",53.700001
"87","2020-10-07",53.450001
"88","2020-10-08",53.459999
"89","2020-10-09",55.709999
"90","2020-10-12",60.049999
"91","2020-10-13",58.200001
"92","2020-10-14",57
"93","2020-10-15",58.439999
"94","2020-10-16",59.400002
"95","2020-10-19",57.759998
"96","2020-10-20",59.220001
"97","2020-10-21",56.810001
"98","2020-10-22",56.060001
"99","2020-10-23",55.98
"100","2020-10-26",53.25
"101","2020-10-27",55.77
"102","2020-10-28",52.23
"103","2020-10-29",52.77
"104","2020-10-30",50.91
"105","2020-11-02",47.82
"106","2020-11-03",50.299999
"107","2020-11-04",54.009998
"108","2020-11-05",56.75
"109","2020-11-06",54.5
"110","2020-11-09",62.75
"111","2020-11-10",60
"112","2020-11-11",58.830002
"113","2020-11-12",57.889999
"114","2020-11-13",59.349998
"115","2020-11-16",61.18
"116","2020-11-17",59.720001
"117","2020-11-18",56.509998
"118","2020-11-19",55.919998
"119","2020-11-20",57.400002
"120","2020-11-23",61.029999
"121","2020-11-24",63.91
"122","2020-11-25",63.630001
"123","2020-11-27",61.610001
