"","date","LSTR"
"1","2007-01-03",40.080002
"2","2007-01-04",40.959999
"3","2007-01-05",39.540001
"4","2007-01-08",39.669998
"5","2007-01-09",40.189999
"6","2007-01-10",40
"7","2007-01-11",40.610001
"8","2007-01-12",40.950001
"9","2007-01-16",41.259998
"10","2007-01-17",40.75
"11","2007-01-18",40.299999
"12","2007-01-19",40.689999
"13","2007-01-22",40.41
"14","2007-01-23",40.16
"15","2007-01-24",40.119999
"16","2007-01-25",39.599998
"17","2007-01-26",39.360001
"18","2007-01-29",39.369999
"19","2007-01-30",40.02
"20","2007-01-31",42.290001
"21","2007-02-01",45.73
"22","2007-02-02",45.450001
"23","2007-02-05",44.830002
"24","2007-02-06",44.91
"25","2007-02-07",45.5
"26","2007-02-08",44.759998
"27","2007-02-09",45.09
"28","2007-02-12",45.380001
"29","2007-02-13",45.41
"30","2007-02-14",46.34
"31","2007-02-15",46.950001
"32","2007-02-16",47.57
"33","2007-02-20",48.41
"34","2007-02-21",47.5
"35","2007-02-22",47.599998
"36","2007-02-23",47.509998
"37","2007-02-26",46.200001
"38","2007-02-27",45.049999
"39","2007-02-28",44.689999
"40","2007-03-01",44.060001
"41","2007-03-02",43.369999
"42","2007-03-05",42.52
"43","2007-03-06",43.27
"44","2007-03-07",43.080002
"45","2007-03-08",42.810001
"46","2007-03-09",42.900002
"47","2007-03-12",42.689999
"48","2007-03-13",41.639999
"49","2007-03-14",41.73
"50","2007-03-15",42.740002
"51","2007-03-16",44.009998
"52","2007-03-19",43.759998
"53","2007-03-20",45.220001
"54","2007-03-21",45.759998
"55","2007-03-22",46.07
"56","2007-03-23",47.060001
"57","2007-03-26",46.630001
"58","2007-03-27",46.189999
"59","2007-03-28",46.150002
"60","2007-03-29",46
"61","2007-03-30",45.84
"62","2007-04-02",45.639999
"63","2007-04-03",46.25
"64","2007-04-04",46.290001
"65","2007-04-05",46.59
"66","2007-04-09",46.990002
"67","2007-04-10",47.040001
"68","2007-04-11",47.02
"69","2007-04-12",47.630001
"70","2007-04-13",47.990002
"71","2007-04-16",48.029999
"72","2007-04-17",47.259998
"73","2007-04-18",46.919998
"74","2007-04-19",49.060001
"75","2007-04-20",51.080002
"76","2007-04-23",50.299999
"77","2007-04-24",49.970001
"78","2007-04-25",50.549999
"79","2007-04-26",50.400002
"80","2007-04-27",49.91
"81","2007-04-30",48.310001
"82","2007-05-01",48.75
"83","2007-05-02",49.610001
"84","2007-05-03",50.099998
"85","2007-05-04",49.709999
"86","2007-05-07",50
