"","date","SRT"
"1","2007-01-03",13.52
"2","2007-01-04",14.05
"3","2007-01-05",13.14
"4","2007-01-08",13.43
"5","2007-01-09",12.81
"6","2007-01-10",12.89
"7","2007-01-11",12.79
"8","2007-01-12",12.77
"9","2007-01-16",12.84
"10","2007-01-17",12.89
"11","2007-01-18",12.78
"12","2007-01-19",12.78
"13","2007-01-22",12.74
"14","2007-01-23",9.46
"15","2007-01-24",9.6
"16","2007-01-25",9.6
"17","2007-01-26",10.03
"18","2007-01-29",10.16
"19","2007-01-30",10.18
"20","2007-01-31",10.26
"21","2007-02-01",10.29
"22","2007-02-02",10.26
"23","2007-02-05",10.38
"24","2007-02-06",10.2
"25","2007-02-07",10.45
"26","2007-02-08",10.26
"27","2007-02-09",10.26
"28","2007-02-12",10.53
"29","2007-02-13",10.56
"30","2007-02-14",10.54
"31","2007-02-15",10.7
"32","2007-02-16",10.85
"33","2007-02-20",10.87
"34","2007-02-21",11.07
"35","2007-02-22",10.93
"36","2007-02-23",11.23
"37","2007-02-26",10.91
"38","2007-02-27",10.25
"39","2007-02-28",10.23
"40","2007-03-01",10.16
"41","2007-03-02",9.99
"42","2007-03-05",9.81
"43","2007-03-06",10.21
"44","2007-03-07",10
"45","2007-03-08",10.15
"46","2007-03-09",10.08
"47","2007-03-12",9.95
"48","2007-03-13",9.73
"49","2007-03-14",9.77
"50","2007-03-15",9.68
"51","2007-03-16",9.84
"52","2007-03-19",9.95
"53","2007-03-20",9.54
"54","2007-03-21",9.91
"55","2007-03-22",10.04
"56","2007-03-23",10.26
"57","2007-03-26",9.85
"58","2007-03-27",9.78
"59","2007-03-28",9.89
"60","2007-03-29",9.96
"61","2007-03-30",9.79
"62","2007-04-02",9.85
"63","2007-04-03",10.07
"64","2007-04-04",9.88
"65","2007-04-05",9.88
"66","2007-04-09",9.88
"67","2007-04-10",9.73
"68","2007-04-11",9.75
"69","2007-04-12",10.05
"70","2007-04-13",9.96
"71","2007-04-16",10.13
"72","2007-04-17",10
"73","2007-04-18",9.87
"74","2007-04-19",9.82
"75","2007-04-20",9.94
"76","2007-04-23",9.81
"77","2007-04-24",10.07
"78","2007-04-25",10.11
"79","2007-04-26",9.97
"80","2007-04-27",9.87
"81","2007-04-30",9.61
"82","2007-05-01",9.74
"83","2007-05-02",9.74
"84","2007-05-03",9.61
"85","2007-05-04",9.41
"86","2007-05-07",9.72
"87","2007-05-08",9.58
"88","2007-05-09",9.7
"89","2007-05-10",9.76
"90","2007-05-11",9.71
"91","2007-05-14",9.63
"92","2007-05-15",9.79
"93","2007-05-16",9.78
"94","2007-05-17",9.69
"95","2007-05-18",9.79
"96","2007-05-21",9.75
"97","2007-05-22",9.86
"98","2007-05-23",10.02
"99","2007-05-24",10.03
"100","2007-05-25",10.18
"101","2007-05-29",10.2
"102","2007-05-30",10.19
"103","2007-05-31",10.44
"104","2007-06-01",10.93
"105","2007-06-04",10.8
"106","2007-06-05",10.39
"107","2007-06-06",10.02
"108","2007-06-07",10.01
"109","2007-06-08",10.16
"110","2007-06-11",10.12
"111","2007-06-12",9.91
"112","2007-06-13",9.59
"113","2007-06-14",9.72
"114","2007-06-15",10.01
"115","2007-06-18",10.48
"116","2007-06-19",10.16
"117","2007-06-20",10.36
"118","2007-06-21",10.59
"119","2007-06-22",10.52
"120","2007-06-25",10.61
"121","2007-06-26",10.62
"122","2007-06-27",10.75
"123","2007-06-28",10.75
"124","2007-06-29",10.79
"125","2007-07-02",11.26
"126","2007-07-03",11.25
"127","2007-07-05",11.13
"128","2007-07-06",10.86
"129","2007-07-09",10.84
"130","2007-07-10",10.66
"131","2007-07-11",10.78
"132","2007-07-12",10.88
"133","2007-07-13",10.91
"134","2007-07-16",10.84
"135","2007-07-17",10.91
"136","2007-07-18",10.8
"137","2007-07-19",10.88
"138","2007-07-20",10.83
"139","2007-07-23",10.84
"140","2007-07-24",10.99
"141","2007-07-25",11.11
"142","2007-07-26",11
"143","2007-07-27",10.89
"144","2007-07-30",11.05
"145","2007-07-31",10.96
"146","2007-08-01",11.01
"147","2007-08-02",11.08
"148","2007-08-03",10.18
"149","2007-08-06",11.08
"150","2007-08-07",11.35
"151","2007-08-08",11.6
"152","2007-08-09",11.45
"153","2007-08-10",11.13
"154","2007-08-13",11.1
"155","2007-08-14",10.52
"156","2007-08-15",10.44
"157","2007-08-16",10.1
"158","2007-08-17",10.3
"159","2007-08-20",10.3
"160","2007-08-21",10.39
"161","2007-08-22",10.36
