"","date","PM"
"1","2008-03-17",49.389999
"2","2008-03-18",49.599998
"3","2008-03-19",50.099998
"4","2008-03-20",49.150002
"5","2008-03-24",51
"6","2008-03-25",51.75
"7","2008-03-26",50.299999
"8","2008-03-27",50.68
"9","2008-03-28",51.060001
"10","2008-03-31",50.580002
"11","2008-04-01",50.580002
"12","2008-04-02",51.209999
"13","2008-04-03",51.049999
"14","2008-04-04",51.369999
"15","2008-04-07",50.669998
"16","2008-04-08",50.599998
"17","2008-04-09",49.380001
"18","2008-04-10",48.66
"19","2008-04-11",48.330002
"20","2008-04-14",48
"21","2008-04-15",48.200001
"22","2008-04-16",49.459999
"23","2008-04-17",49.849998
"24","2008-04-18",49.959999
"25","2008-04-21",50.630001
"26","2008-04-22",50.07
"27","2008-04-23",52
"28","2008-04-24",52
"29","2008-04-25",51.299999
"30","2008-04-28",51.07
"31","2008-04-29",52.009998
"32","2008-04-30",51.029999
"33","2008-05-01",50.75
"34","2008-05-02",51.02
"35","2008-05-05",50.810001
"36","2008-05-06",51.880001
"37","2008-05-07",51.689999
"38","2008-05-08",52.200001
"39","2008-05-09",51.830002
"40","2008-05-12",52.470001
"41","2008-05-13",52.459999
"42","2008-05-14",52.669998
"43","2008-05-15",53.25
"44","2008-05-16",53.380001
"45","2008-05-19",53.630001
"46","2008-05-20",52.91
"47","2008-05-21",51.98
"48","2008-05-22",52.279999
"49","2008-05-23",51.799999
"50","2008-05-27",51.630001
"51","2008-05-28",51.16
"52","2008-05-29",52.02
"53","2008-05-30",52.66
"54","2008-06-02",52.110001
"55","2008-06-03",51.669998
"56","2008-06-04",51.950001
"57","2008-06-05",51.810001
"58","2008-06-06",50.5
"59","2008-06-09",49.490002
"60","2008-06-10",49.490002
"61","2008-06-11",49.860001
"62","2008-06-12",51.290001
"63","2008-06-13",51.610001
"64","2008-06-16",50.73
"65","2008-06-17",50.630001
"66","2008-06-18",49.900002
"67","2008-06-19",50.400002
"68","2008-06-20",50.220001
"69","2008-06-23",50.639999
"70","2008-06-24",51.169998
"71","2008-06-25",51.77
"72","2008-06-26",50.150002
"73","2008-06-27",49.830002
"74","2008-06-30",49.389999
"75","2008-07-01",50.389999
"76","2008-07-02",50.599998
"77","2008-07-03",51.470001
"78","2008-07-07",51.849998
"79","2008-07-08",53.77
"80","2008-07-09",54
"81","2008-07-10",53.439999
"82","2008-07-11",53.369999
"83","2008-07-14",53.560001
"84","2008-07-15",53.299999
"85","2008-07-16",52.919998
"86","2008-07-17",50.959999
"87","2008-07-18",50.720001
"88","2008-07-21",50.48
"89","2008-07-22",52.049999
"90","2008-07-23",51.470001
"91","2008-07-24",52.459999
"92","2008-07-25",53.049999
"93","2008-07-28",52.619999
"94","2008-07-29",53.34
"95","2008-07-30",53.369999
"96","2008-07-31",51.650002
"97","2008-08-01",52.080002
"98","2008-08-04",53.720001
"99","2008-08-05",55.200001
"100","2008-08-06",55.529999
"101","2008-08-07",54.639999
"102","2008-08-08",55.209999
"103","2008-08-11",55.75
"104","2008-08-12",55.950001
"105","2008-08-13",55.540001
"106","2008-08-14",55.470001
"107","2008-08-15",55.57
"108","2008-08-18",55.009998
"109","2008-08-19",54.509998
"110","2008-08-20",54.610001
"111","2008-08-21",54.82
"112","2008-08-22",55.529999
"113","2008-08-25",54.869999
"114","2008-08-26",54.639999
"115","2008-08-27",54.099998
"116","2008-08-28",53.919998
"117","2008-08-29",53.700001
"118","2008-09-02",54.810001
"119","2008-09-03",54.07
"120","2008-09-04",53.369999
"121","2008-09-05",54
"122","2008-09-08",54.98
"123","2008-09-09",54.779999
"124","2008-09-10",54.619999
"125","2008-09-11",54.810001
"126","2008-09-12",53.68
"127","2008-09-15",52.82
"128","2008-09-16",53.77
"129","2008-09-17",48.98
"130","2008-09-18",50
"131","2008-09-19",51.419998
"132","2008-09-22",50.029999
