"","date","DUO"
"1","2019-11-01",13
"2","2019-11-04",13.01
"3","2019-11-05",13
"4","2019-11-06",13
"5","2019-11-07",13
"6","2019-11-08",13
"7","2019-11-11",12.93
"8","2019-11-12",13
"9","2019-11-13",13
"10","2019-11-14",13
"11","2019-11-15",13.01
"12","2019-11-18",13
"13","2019-11-19",13
"14","2019-11-20",12.98
"15","2019-11-21",13.14
"16","2019-11-22",13.061
"17","2019-11-25",13.09
"18","2019-11-26",13.072
"19","2019-11-27",12.68
"20","2019-11-29",12.865
"21","2019-12-02",13.15
"22","2019-12-03",12.81
"23","2019-12-04",13.121
"24","2019-12-05",12.85
"25","2019-12-06",13.5
"26","2019-12-09",14.52
"27","2019-12-10",15.913
"28","2019-12-11",15.8
"29","2019-12-12",15.13
"30","2019-12-13",14.63
"31","2019-12-16",13.01
"32","2019-12-17",15.52
"33","2019-12-18",14.17
"34","2019-12-19",13.68
"35","2019-12-20",14.85
"36","2019-12-23",14.9
"37","2019-12-24",15.38
"38","2019-12-26",15.45
"39","2019-12-27",15.415
"40","2019-12-30",15.4
"41","2019-12-31",15.52
"42","2020-01-02",16.4
"43","2020-01-03",15.56
"44","2020-01-06",16.6
"45","2020-01-07",15.2
"46","2020-01-08",15
"47","2020-01-09",15.05
"48","2020-01-10",15.02
"49","2020-01-13",14.83
"50","2020-01-14",14.55
"51","2020-01-15",15.2
"52","2020-01-16",15.3
"53","2020-01-17",14.9
"54","2020-01-21",15.265
"55","2020-01-22",15.09
"56","2020-01-23",14.969
"57","2020-01-24",14.61
"58","2020-01-27",13.1
"59","2020-01-28",13.434
"60","2020-01-29",13.434
"61","2020-01-30",13.4
"62","2020-01-31",13.18
"63","2020-02-03",12.61
"64","2020-02-04",13
"65","2020-02-05",13.01
"66","2020-02-06",13.01
"67","2020-02-07",12.46
"68","2020-02-10",13.01
"69","2020-02-11",12.98
"70","2020-02-12",13.75
"71","2020-02-13",13.55
"72","2020-02-14",13.2
"73","2020-02-18",13.6
"74","2020-02-19",13.2
"75","2020-02-20",13.2
"76","2020-02-21",13.2
"77","2020-02-24",12.8
"78","2020-02-25",12.8
"79","2020-02-26",12.606
"80","2020-02-27",12.1
"81","2020-02-28",11.71
"82","2020-03-02",11.63
"83","2020-03-03",11.7
"84","2020-03-04",11.7
"85","2020-03-05",11.08
"86","2020-03-06",10.99
"87","2020-03-09",10.88
"88","2020-03-10",11.797
"89","2020-03-11",11.27
"90","2020-03-12",10.36
"91","2020-03-13",10.35
"92","2020-03-16",9.502
"93","2020-03-17",10.18
"94","2020-03-18",7.46
"95","2020-03-19",9.18
"96","2020-03-20",9.94
"97","2020-03-23",9.68
"98","2020-03-24",10.99
"99","2020-03-25",11.48
"100","2020-03-26",10.05
"101","2020-03-27",10.88
"102","2020-03-30",11.383
"103","2020-03-31",14.73
"104","2020-04-01",11.9
"105","2020-04-02",11.15
"106","2020-04-03",10.68
"107","2020-04-06",10.7
"108","2020-04-07",10.7
"109","2020-04-08",10.1
"110","2020-04-09",10
"111","2020-04-13",9.84
"112","2020-04-14",9.948
"113","2020-04-15",9.948
"114","2020-04-16",10.01
"115","2020-04-17",10.4
"116","2020-04-20",9.9
"117","2020-04-21",9.33
"118","2020-04-22",9.58
"119","2020-04-23",9.58
"120","2020-04-24",9.58
"121","2020-04-27",12.2
"122","2020-04-28",12.2
"123","2020-04-29",11.2
"124","2020-04-30",10.067
"125","2020-05-01",10.066
"126","2020-05-04",10.066
"127","2020-05-05",10.19
"128","2020-05-06",10.19
"129","2020-05-07",9.89
"130","2020-05-08",9.89
"131","2020-05-11",9.89
"132","2020-05-12",10
"133","2020-05-13",9.18
"134","2020-05-14",9.666
"135","2020-05-15",9.666
"136","2020-05-18",9.56
"137","2020-05-19",9.5
"138","2020-05-20",9.605
"139","2020-05-21",9.16
"140","2020-05-22",9.16
"141","2020-05-26",9.61
"142","2020-05-27",9.25
"143","2020-05-28",9.25
"144","2020-05-29",9.25
"145","2020-06-01",9.9
"146","2020-06-02",9.9
"147","2020-06-03",9.662
"148","2020-06-04",9.293
"149","2020-06-05",9.51
"150","2020-06-08",9.51
"151","2020-06-09",47.060001
"152","2020-06-10",15.82
"153","2020-06-11",12.65
"154","2020-06-12",11.75
"155","2020-06-15",10.48
"156","2020-06-16",11.26
"157","2020-06-17",11.05
"158","2020-06-18",10.6
"159","2020-06-19",10.7
"160","2020-06-22",10.47
"161","2020-06-23",10.78
"162","2020-06-24",11.67
"163","2020-06-25",10.64
"164","2020-06-26",10.28
"165","2020-06-29",10.2
"166","2020-06-30",10.11
"167","2020-07-01",9.64
"168","2020-07-02",9.46
"169","2020-07-06",9.55
"170","2020-07-07",9.4
"171","2020-07-08",9.87
"172","2020-07-09",10.14
"173","2020-07-10",10.05
"174","2020-07-13",9.41
"175","2020-07-14",9.07
"176","2020-07-15",9.26
"177","2020-07-16",9.11
"178","2020-07-17",8.99
"179","2020-07-20",8.64
"180","2020-07-21",9
"181","2020-07-22",8.88
"182","2020-07-23",8.85
"183","2020-07-24",8.355
"184","2020-07-27",8.42
"185","2020-07-28",8.68
"186","2020-07-29",8.84
"187","2020-07-30",8.68
"188","2020-07-31",8.63
"189","2020-08-03",8.575
"190","2020-08-04",8.54
"191","2020-08-05",8.53
"192","2020-08-06",8.56
"193","2020-08-07",8.49
"194","2020-08-10",8.59
"195","2020-08-11",8.73
"196","2020-08-12",8.94
"197","2020-08-13",8.82
"198","2020-08-14",8.32
"199","2020-08-17",8.1
"200","2020-08-18",8.13
"201","2020-08-19",7.74
"202","2020-08-20",7.54
"203","2020-08-21",7.73
"204","2020-08-24",7.63
"205","2020-08-25",8.15
"206","2020-08-26",8.57
"207","2020-08-27",8.03
"208","2020-08-28",7.85
"209","2020-08-31",7.81
"210","2020-09-01",7.78
"211","2020-09-02",7.64
"212","2020-09-03",7.03
"213","2020-09-04",7.06
"214","2020-09-08",6.78
"215","2020-09-09",6.855
"216","2020-09-10",6.78
"217","2020-09-11",6.62
"218","2020-09-14",6.8
"219","2020-09-15",6.8
"220","2020-09-16",6.96
"221","2020-09-17",6.85
"222","2020-09-18",7
