"","date","CYCN"
"1","2019-03-18",12.5
"2","2019-03-19",13.514
"3","2019-03-20",13.514
"4","2019-03-21",13.81
"5","2019-03-22",14.496
"6","2019-03-25",19
"7","2019-03-26",21.030001
"8","2019-03-27",21.030001
"9","2019-03-28",21.030001
"10","2019-03-29",21.030001
"11","2019-04-01",22.85
"12","2019-04-02",14.49
"13","2019-04-03",17.969999
"14","2019-04-04",17.23
"15","2019-04-05",16.27
"16","2019-04-08",16.549999
"17","2019-04-09",17.9
"18","2019-04-10",18.459999
"19","2019-04-11",18.120001
"20","2019-04-12",18.290001
"21","2019-04-15",17.639999
"22","2019-04-16",17.01
"23","2019-04-17",16.23
"24","2019-04-18",15.56
"25","2019-04-22",15.56
"26","2019-04-23",15.49
"27","2019-04-24",15.51
"28","2019-04-25",15.43
"29","2019-04-26",15.5
"30","2019-04-29",15.4
"31","2019-04-30",15.23
"32","2019-05-01",15.2
"33","2019-05-02",15.3
"34","2019-05-03",15.3
"35","2019-05-06",16.610001
"36","2019-05-07",15.34
"37","2019-05-08",15.86
"38","2019-05-09",16.23
"39","2019-05-10",16.639999
"40","2019-05-13",15.08
"41","2019-05-14",14.77
"42","2019-05-15",14.32
"43","2019-05-16",14.71
"44","2019-05-17",14.61
"45","2019-05-20",14.72
"46","2019-05-21",15.31
"47","2019-05-22",15.33
"48","2019-05-23",15.06
"49","2019-05-24",15.15
"50","2019-05-28",15
"51","2019-05-29",14
"52","2019-05-30",13.44
"53","2019-05-31",13.95
"54","2019-06-03",11.34
"55","2019-06-04",11.3
"56","2019-06-05",10.55
"57","2019-06-06",11.22
"58","2019-06-07",10.12
"59","2019-06-10",9.88
"60","2019-06-11",9.69
"61","2019-06-12",9.77
"62","2019-06-13",9.6
"63","2019-06-14",9.78
"64","2019-06-17",10.76
"65","2019-06-18",11.49
"66","2019-06-19",11.46
"67","2019-06-20",11.69
"68","2019-06-21",11.12
"69","2019-06-24",10.78
"70","2019-06-25",11.25
"71","2019-06-26",11.1
"72","2019-06-27",11.2
"73","2019-06-28",11.45
"74","2019-07-01",11.64
"75","2019-07-02",12.04
"76","2019-07-03",12.18
