"","date","IDXX"
"1","2007-01-03",19.5525
"2","2007-01-04",19.844999
"3","2007-01-05",20.247499
"4","2007-01-08",20.434999
"5","2007-01-09",20.41
"6","2007-01-10",20.282499
"7","2007-01-11",20.7775
"8","2007-01-12",20.82
"9","2007-01-16",20.92
"10","2007-01-17",20.907499
"11","2007-01-18",20.9125
"12","2007-01-19",21.014999
"13","2007-01-22",21.137501
"14","2007-01-23",21.2125
"15","2007-01-24",21.3475
"16","2007-01-25",21.2075
"17","2007-01-26",22.040001
"18","2007-01-29",20.862499
"19","2007-01-30",21.0375
"20","2007-01-31",21.452499
"21","2007-02-01",21.6975
"22","2007-02-02",21.6
"23","2007-02-05",21.307501
"24","2007-02-06",21.2125
"25","2007-02-07",21.235001
"26","2007-02-08",21.174999
"27","2007-02-09",21.120001
"28","2007-02-12",20.9025
"29","2007-02-13",20.887501
"30","2007-02-14",20.967501
"31","2007-02-15",21.065001
"32","2007-02-16",21.4025
"33","2007-02-20",21.452499
"34","2007-02-21",21.655001
"35","2007-02-22",21.852501
"36","2007-02-23",21.775
"37","2007-02-26",21.775
"38","2007-02-27",21.299999
"39","2007-02-28",21.545
"40","2007-03-01",21.49
"41","2007-03-02",21.285
"42","2007-03-05",21.245001
"43","2007-03-06",21.2125
"44","2007-03-07",21.2875
"45","2007-03-08",21.535
"46","2007-03-09",21.6325
"47","2007-03-12",21.58
"48","2007-03-13",21.27
"49","2007-03-14",21.309999
"50","2007-03-15",21.4375
"51","2007-03-16",21.495001
"52","2007-03-19",21.702499
"53","2007-03-20",21.495001
"54","2007-03-21",21.5
"55","2007-03-22",21.629999
"56","2007-03-23",21.8325
"57","2007-03-26",21.75
"58","2007-03-27",21.657499
"59","2007-03-28",21.549999
"60","2007-03-29",21.625
"61","2007-03-30",21.907499
"62","2007-04-02",21.9625
"63","2007-04-03",22.012501
"64","2007-04-04",21.9625
"65","2007-04-05",22.004999
"66","2007-04-09",21.977501
"67","2007-04-10",21.965
"68","2007-04-11",21.745001
"69","2007-04-12",21.872499
"70","2007-04-13",21.9
"71","2007-04-16",21.924999
"72","2007-04-17",21.9125
"73","2007-04-18",21.735001
"74","2007-04-19",21.75
"75","2007-04-20",21.8125
"76","2007-04-23",22.030001
"77","2007-04-24",22.030001
"78","2007-04-25",22.23
"79","2007-04-26",22.25
"80","2007-04-27",22.9175
"81","2007-04-30",22.5425
"82","2007-05-01",22.424999
"83","2007-05-02",22.6525
"84","2007-05-03",22.42
"85","2007-05-04",22.4025
"86","2007-05-07",22.34
"87","2007-05-08",22.2675
"88","2007-05-09",22.272499
