"","date","PRLD"
"1","2020-09-25",26.200001
"2","2020-09-28",27.790001
"3","2020-09-29",28.84
"4","2020-09-30",30.129999
"5","2020-10-01",33.5
"6","2020-10-02",33.009998
"7","2020-10-05",34.610001
"8","2020-10-06",39.529999
"9","2020-10-07",45.18
"10","2020-10-08",43.23
"11","2020-10-09",43.59
"12","2020-10-12",44.169998
"13","2020-10-13",38.939999
"14","2020-10-14",35.009998
"15","2020-10-15",34.009998
"16","2020-10-16",31
"17","2020-10-19",32.689999
"18","2020-10-20",29.02
"19","2020-10-21",28.809999
"20","2020-10-22",29.620001
"21","2020-10-23",30.059999
"22","2020-10-26",32.349998
"23","2020-10-27",36.75
"24","2020-10-28",36
"25","2020-10-29",34.779999
"26","2020-10-30",35.23
"27","2020-11-02",34.790001
"28","2020-11-03",36.060001
"29","2020-11-04",41.27
"30","2020-11-05",46.02
"31","2020-11-06",43.869999
"32","2020-11-09",41.5
"33","2020-11-10",39.529999
"34","2020-11-11",40.099998
"35","2020-11-12",42.529999
"36","2020-11-13",47.830002
"37","2020-11-16",47.84
"38","2020-11-17",51.700001
"39","2020-11-18",52.900002
"40","2020-11-19",54.950001
"41","2020-11-20",51.709999
"42","2020-11-23",48.639999
"43","2020-11-24",46.91
"44","2020-11-25",45.349998
"45","2020-11-27",47.669998
