"","date","MCMJ"
"1","2019-12-13",9.7
"2","2019-12-16",9.75
"3","2019-12-17",9.72
"4","2019-12-18",9.73
"5","2019-12-19",9.72
"6","2019-12-20",9.75
"7","2019-12-23",9.75
"8","2019-12-24",9.75
"9","2019-12-26",9.75
"10","2019-12-27",9.74
"11","2019-12-30",9.74
"12","2019-12-31",9.74
"13","2020-01-02",9.74
"14","2020-01-03",9.746
"15","2020-01-06",9.77
"16","2020-01-07",9.75
"17","2020-01-08",9.76
"18","2020-01-09",9.8
"19","2020-01-10",9.8
"20","2020-01-13",9.88
"21","2020-01-14",9.87
"22","2020-01-15",9.9
"23","2020-01-16",9.9
"24","2020-01-17",9.9
"25","2020-01-21",9.83
"26","2020-01-22",9.82
"27","2020-01-23",9.84
"28","2020-01-24",9.84
"29","2020-01-27",9.84
"30","2020-01-28",9.84
"31","2020-01-29",9.85
"32","2020-01-30",9.85
"33","2020-01-31",9.81
"34","2020-02-03",9.81
"35","2020-02-04",9.81
"36","2020-02-05",9.81
"37","2020-02-06",9.81
"38","2020-02-07",9.95
"39","2020-02-10",9.95
"40","2020-02-11",9.95
"41","2020-02-12",9.95
"42","2020-02-13",9.95
"43","2020-02-14",9.91
"44","2020-02-18",9.882
"45","2020-02-19",9.85
"46","2020-02-20",9.85
"47","2020-02-21",9.85
"48","2020-02-24",9.85
"49","2020-02-25",9.85
"50","2020-02-26",9.85
"51","2020-02-27",9.86
"52","2020-02-28",9.8
"53","2020-03-02",9.8
"54","2020-03-03",9.8
"55","2020-03-04",9.9
"56","2020-03-05",9.86
"57","2020-03-06",9.86
"58","2020-03-09",9.82
"59","2020-03-10",9.8
"60","2020-03-11",9.79
"61","2020-03-12",9.7
"62","2020-03-13",9.65
"63","2020-03-16",9.6
"64","2020-03-17",9.6
"65","2020-03-18",8.57
"66","2020-03-19",9.51
"67","2020-03-20",9.453
"68","2020-03-23",9.325
"69","2020-03-24",9.69
"70","2020-03-25",9.65
"71","2020-03-26",9.552
"72","2020-03-27",9.7
"73","2020-03-30",9.7
"74","2020-03-31",9.69
"75","2020-04-01",9.553
"76","2020-04-02",9.7
"77","2020-04-03",9.6
"78","2020-04-06",9.643
"79","2020-04-07",9.644
"80","2020-04-08",9.6
"81","2020-04-09",9.65
"82","2020-04-13",9.61
"83","2020-04-14",9.68
"84","2020-04-15",9.65
