"","date","VIOT"
"1","2018-09-25",9.08
"2","2018-09-26",8.3
"3","2018-09-27",9
"4","2018-09-28",9
"5","2018-10-01",9
"6","2018-10-02",8.46
"7","2018-10-03",9
"8","2018-10-04",8.52
"9","2018-10-05",8.4
"10","2018-10-08",9.04
"11","2018-10-09",8.34
"12","2018-10-10",8.33
"13","2018-10-11",8.26
"14","2018-10-12",8.25
"15","2018-10-15",8.37
"16","2018-10-16",8.41
"17","2018-10-17",8.45
"18","2018-10-18",8.34
"19","2018-10-19",8.14
"20","2018-10-22",8.36
"21","2018-10-23",8.3
"22","2018-10-24",8.64
"23","2018-10-25",8.6
"24","2018-10-26",8.8
"25","2018-10-29",8.77
"26","2018-10-30",9
"27","2018-10-31",8.98
"28","2018-11-01",9.29
"29","2018-11-02",9.31
"30","2018-11-05",9.12
"31","2018-11-06",9.25
"32","2018-11-07",9.29
"33","2018-11-08",9.13
"34","2018-11-09",8.95
"35","2018-11-12",8.57
"36","2018-11-13",8.56
"37","2018-11-14",8.89
"38","2018-11-15",8.83
"39","2018-11-16",8.92
"40","2018-11-19",8.85
"41","2018-11-20",8.72
"42","2018-11-21",9.12
"43","2018-11-23",9.33
"44","2018-11-26",8.75
"45","2018-11-27",8.8
"46","2018-11-28",8.81
"47","2018-11-29",8.55
"48","2018-11-30",8.24
"49","2018-12-03",7.96
"50","2018-12-04",7.53
"51","2018-12-06",7.96
"52","2018-12-07",7.85
"53","2018-12-10",8.04
"54","2018-12-11",8.01
"55","2018-12-12",8.38
"56","2018-12-13",8.28
"57","2018-12-14",8
"58","2018-12-17",7.78
"59","2018-12-18",7.82
"60","2018-12-19",7.8
"61","2018-12-20",7.81
"62","2018-12-21",7.8
"63","2018-12-24",7.7
"64","2018-12-26",7.86
"65","2018-12-27",7.81
"66","2018-12-28",7.85
"67","2018-12-31",7.8
"68","2019-01-02",7.7
"69","2019-01-03",7.43
"70","2019-01-04",7.57
"71","2019-01-07",7.47
"72","2019-01-08",8.68
"73","2019-01-09",7.89
"74","2019-01-10",7.98
"75","2019-01-11",7.56
"76","2019-01-14",7.57
"77","2019-01-15",7.56
"78","2019-01-16",7.59
"79","2019-01-17",7.66
"80","2019-01-18",7.63
"81","2019-01-22",7.65
"82","2019-01-23",7.5
"83","2019-01-24",7.62
"84","2019-01-25",7.85
"85","2019-01-28",7.64
"86","2019-01-29",7.76
"87","2019-01-30",7.74
"88","2019-01-31",7.84
"89","2019-02-01",7.84
"90","2019-02-04",8.05
"91","2019-02-05",8.2
"92","2019-02-06",8.08
"93","2019-02-07",8.02
"94","2019-02-08",7.91
"95","2019-02-11",7.91
"96","2019-02-12",7.91
"97","2019-02-13",8.1
"98","2019-02-14",8.22
"99","2019-02-15",8.47
"100","2019-02-19",9.05
"101","2019-02-20",9.54
"102","2019-02-21",9.51
"103","2019-02-22",10.84
"104","2019-02-25",10.43
"105","2019-02-26",11
"106","2019-02-27",11
"107","2019-02-28",11.39
"108","2019-03-01",11.32
"109","2019-03-04",10.81
"110","2019-03-05",11.07
"111","2019-03-06",9.31
"112","2019-03-07",9.89
"113","2019-03-08",9.8
"114","2019-03-11",9.97
"115","2019-03-12",9.81
"116","2019-03-13",9.88
"117","2019-03-14",10.03
"118","2019-03-15",10.18
"119","2019-03-18",12
"120","2019-03-19",11.98
"121","2019-03-20",10.66
"122","2019-03-21",11.47
"123","2019-03-22",11.36
"124","2019-03-25",12
"125","2019-03-26",11.27
"126","2019-03-27",11.09
"127","2019-03-28",10.81
"128","2019-03-29",11.07
"129","2019-04-01",11.35
"130","2019-04-02",11.46
"131","2019-04-03",11.42
"132","2019-04-04",11.26
"133","2019-04-05",11.32
"134","2019-04-08",11.25
"135","2019-04-09",11.14
"136","2019-04-10",11.32
"137","2019-04-11",11.1
"138","2019-04-12",11.89
"139","2019-04-15",11.98
"140","2019-04-16",13.49
"141","2019-04-17",13.22
"142","2019-04-18",15.25
"143","2019-04-22",15
"144","2019-04-23",13.6
