"","date","NLTX"
"1","2014-03-07",11.95
"2","2014-03-10",12.45
"3","2014-03-11",12.99
"4","2014-03-12",14
"5","2014-03-13",13.75
"6","2014-03-14",13.49
"7","2014-03-17",13.02
"8","2014-03-18",12.99
"9","2014-03-19",12.85
"10","2014-03-20",12.78
"11","2014-03-21",12.23
"12","2014-03-24",12.05
"13","2014-03-25",12.3
"14","2014-03-26",12.93
"15","2014-03-27",13.12
"16","2014-03-28",12.87
"17","2014-03-31",12.73
"18","2014-04-01",12.38
"19","2014-04-02",12.2
"20","2014-04-03",11.97
"21","2014-04-04",11.69
"22","2014-04-07",9.9
"23","2014-04-08",9.32
"24","2014-04-09",9.36
"25","2014-04-10",9.07
"26","2014-04-11",9.07
"27","2014-04-14",9.25
"28","2014-04-15",9.04
"29","2014-04-16",8.85
"30","2014-04-17",8.72
"31","2014-04-21",8.76
"32","2014-04-22",9.25
"33","2014-04-23",8.9
"34","2014-04-24",8.9
"35","2014-04-25",8.6
"36","2014-04-28",8.44
"37","2014-04-29",8.42
"38","2014-04-30",9.13
"39","2014-05-01",9.4
"40","2014-05-02",9.61
"41","2014-05-05",10.13
"42","2014-05-06",10.56
"43","2014-05-07",10.35
"44","2014-05-08",10.1
"45","2014-05-09",9.97
"46","2014-05-12",10
"47","2014-05-13",9.95
"48","2014-05-14",9.73
"49","2014-05-15",9.73
"50","2014-05-16",10.23
"51","2014-05-19",10.22
"52","2014-05-20",10.15
"53","2014-05-21",9.88
"54","2014-05-22",9.15
"55","2014-05-23",8.91
"56","2014-05-27",8.94
"57","2014-05-28",8.99
"58","2014-05-29",8.99
"59","2014-05-30",8.89
"60","2014-06-02",9.74
"61","2014-06-03",9.7
"62","2014-06-04",9.59
"63","2014-06-05",9.67
"64","2014-06-06",9.46
"65","2014-06-09",9.38
"66","2014-06-10",9.41
"67","2014-06-11",9.67
"68","2014-06-12",9.63
"69","2014-06-13",9.72
"70","2014-06-16",10.19
"71","2014-06-17",10.51
"72","2014-06-18",10.9
"73","2014-06-19",10.73
"74","2014-06-20",9.11
"75","2014-06-23",9.04
"76","2014-06-24",9.08
"77","2014-06-25",9.26
"78","2014-06-26",9.2
"79","2014-06-27",9.17
"80","2014-06-30",9.43
"81","2014-07-01",9.03
"82","2014-07-02",9.1
"83","2014-07-03",9.1
"84","2014-07-07",9.19
"85","2014-07-08",9.1
"86","2014-07-09",9.1
"87","2014-07-10",8.89
"88","2014-07-11",8.89
"89","2014-07-14",8.89
"90","2014-07-15",8.47
"91","2014-07-16",8.45
"92","2014-07-17",8.15
"93","2014-07-18",8.3
"94","2014-07-21",8.11
"95","2014-07-22",8.07
"96","2014-07-23",8.01
"97","2014-07-24",8
"98","2014-07-25",8
"99","2014-07-28",7.85
"100","2014-07-29",7.9
"101","2014-07-30",7.76
"102","2014-07-31",7.74
"103","2014-08-01",7.37
"104","2014-08-04",7.739
"105","2014-08-05",7.74
"106","2014-08-06",7.73
"107","2014-08-07",7.5
"108","2014-08-08",7.4
"109","2014-08-11",7.56
"110","2014-08-12",7.36
"111","2014-08-13",7.32
"112","2014-08-14",7.33
"113","2014-08-15",6.87
"114","2014-08-18",6.7
"115","2014-08-19",6.58
"116","2014-08-20",6.55
"117","2014-08-21",6.54
"118","2014-08-22",6.42
"119","2014-08-25",6.29
"120","2014-08-26",6.48
"121","2014-08-27",7.07
"122","2014-08-28",7.64
"123","2014-08-29",8.21
"124","2014-09-02",8.25
"125","2014-09-03",8.14
"126","2014-09-04",8.01
"127","2014-09-05",7.75
"128","2014-09-08",7.5
"129","2014-09-09",7.43
"130","2014-09-10",7.39
"131","2014-09-11",7.16
"132","2014-09-12",7.13
"133","2014-09-15",7.2
"134","2014-09-16",7.26
"135","2014-09-17",7.3
"136","2014-09-18",7.21
"137","2014-09-19",7.12
"138","2014-09-22",6.71
"139","2014-09-23",6.62
"140","2014-09-24",6.64
"141","2014-09-25",6.65
"142","2014-09-26",6.7
"143","2014-09-29",6.66
"144","2014-09-30",6.66
"145","2014-10-01",6.6
"146","2014-10-02",6.51
"147","2014-10-03",6.51
"148","2014-10-06",6.53
"149","2014-10-07",6.55
"150","2014-10-08",6.36
"151","2014-10-09",6.21
"152","2014-10-10",5.61
"153","2014-10-13",5.73
"154","2014-10-14",6.2
"155","2014-10-15",5.99
"156","2014-10-16",7.33
"157","2014-10-17",7.23
"158","2014-10-20",7.17
"159","2014-10-21",7.42
"160","2014-10-22",7.24
"161","2014-10-23",6.94
"162","2014-10-24",6.82
"163","2014-10-27",6.87
"164","2014-10-28",7.11
"165","2014-10-29",7.1
"166","2014-10-30",7.11
"167","2014-10-31",6.63
"168","2014-11-03",6.729
"169","2014-11-04",6.76
"170","2014-11-05",6.75
"171","2014-11-06",7.01
"172","2014-11-07",7.115
"173","2014-11-10",7.17
"174","2014-11-11",7.28
"175","2014-11-12",7.01
"176","2014-11-13",7.12
"177","2014-11-14",7.22
"178","2014-11-17",7.33
"179","2014-11-18",7.89
"180","2014-11-19",8.27
"181","2014-11-20",8.2
"182","2014-11-21",8.06
"183","2014-11-24",8.05
"184","2014-11-25",7.51
"185","2014-11-26",7.505
"186","2014-11-28",7.31
"187","2014-12-01",7.35
"188","2014-12-02",7.63
"189","2014-12-03",7.75
"190","2014-12-04",7.75
"191","2014-12-05",7.71
"192","2014-12-08",7.67
"193","2014-12-09",7.7
"194","2014-12-10",7.68
"195","2014-12-11",7.5
"196","2014-12-12",7.4
"197","2014-12-15",8.17
"198","2014-12-16",7.7
"199","2014-12-17",7.53
"200","2014-12-18",7.4
"201","2014-12-19",6.64
"202","2014-12-22",6.64
"203","2014-12-23",6.59
"204","2014-12-24",6.47
"205","2014-12-26",6.78
"206","2014-12-29",6.81
"207","2014-12-30",7.25
"208","2014-12-31",7.5
"209","2015-01-02",7.63
"210","2015-01-05",7.88
"211","2015-01-06",8.13
"212","2015-01-07",7.93
"213","2015-01-08",8.66
"214","2015-01-09",9.2
"215","2015-01-12",9.51
"216","2015-01-13",9.94
"217","2015-01-14",9.7
"218","2015-01-15",9.97
"219","2015-01-16",9.95
"220","2015-01-20",10.29
"221","2015-01-21",10.36
"222","2015-01-22",10.5
"223","2015-01-23",10.06
"224","2015-01-26",10.26
"225","2015-01-27",10.82
"226","2015-01-28",11.43
"227","2015-01-29",10.75
"228","2015-01-30",10.61
"229","2015-02-02",11.29
"230","2015-02-03",11.02
"231","2015-02-04",10.76
"232","2015-02-05",10.46
"233","2015-02-06",10.99
"234","2015-02-09",10.87
"235","2015-02-10",10.85
"236","2015-02-11",10.52
"237","2015-02-12",10.83
"238","2015-02-13",10.29
"239","2015-02-17",10.48
"240","2015-02-18",10.65
"241","2015-02-19",10.47
"242","2015-02-20",10.45
"243","2015-02-23",10.49
"244","2015-02-24",10.13
"245","2015-02-25",10.28
"246","2015-02-26",9.78
"247","2015-02-27",9.75
"248","2015-03-02",10.224
"249","2015-03-03",10.09
"250","2015-03-04",10.2
"251","2015-03-05",10.06
"252","2015-03-06",10.49
"253","2015-03-09",11.188
"254","2015-03-10",11.26
"255","2015-03-11",11.76
