"","date","BSQR"
"1","2007-01-03",2.83
"2","2007-01-04",2.84
"3","2007-01-05",2.85
"4","2007-01-08",2.82
"5","2007-01-09",2.82
"6","2007-01-10",2.79
"7","2007-01-11",2.85
"8","2007-01-12",3.05
"9","2007-01-16",3.36
"10","2007-01-17",3.5
"11","2007-01-18",3.36
"12","2007-01-19",3.33
"13","2007-01-22",3.37
"14","2007-01-23",3.36
"15","2007-01-24",3.37
"16","2007-01-25",3.34
"17","2007-01-26",3.24
"18","2007-01-29",3.32
"19","2007-01-30",3.31
"20","2007-01-31",3.21
"21","2007-02-01",3.33
"22","2007-02-02",3.28
"23","2007-02-05",3.3
"24","2007-02-06",3.32
"25","2007-02-07",3.28
"26","2007-02-08",3.39
"27","2007-02-09",3.37
"28","2007-02-12",3.35
"29","2007-02-13",3.35
"30","2007-02-14",3.39
"31","2007-02-15",3.5
"32","2007-02-16",4.52
"33","2007-02-20",4.3
"34","2007-02-21",4.66
"35","2007-02-22",4.49
"36","2007-02-23",4.61
"37","2007-02-26",4.51
"38","2007-02-27",4.33
"39","2007-02-28",4.27
"40","2007-03-01",4.26
"41","2007-03-02",4.35
"42","2007-03-05",4.34
"43","2007-03-06",4.39
"44","2007-03-07",4.25
"45","2007-03-08",4.2
"46","2007-03-09",4.25
"47","2007-03-12",4.24
"48","2007-03-13",4.25
"49","2007-03-14",4.25
"50","2007-03-15",4.3
"51","2007-03-16",4.15
"52","2007-03-19",4.27
"53","2007-03-20",4.28
"54","2007-03-21",4.38
"55","2007-03-22",4.3
"56","2007-03-23",4.34
"57","2007-03-26",4.38
"58","2007-03-27",4.35
"59","2007-03-28",4.33
"60","2007-03-29",4.37
"61","2007-03-30",4.41
"62","2007-04-02",4.34
"63","2007-04-03",4.28
"64","2007-04-04",4.47
"65","2007-04-05",4.46
"66","2007-04-09",4.99
"67","2007-04-10",4.79
"68","2007-04-11",4.83
"69","2007-04-12",5.05
"70","2007-04-13",5.15
"71","2007-04-16",5.24
"72","2007-04-17",5.12
"73","2007-04-18",5.1
"74","2007-04-19",5.2
"75","2007-04-20",5.18
"76","2007-04-23",5.16
"77","2007-04-24",5.15
"78","2007-04-25",5.39
"79","2007-04-26",5.67
"80","2007-04-27",5.77
"81","2007-04-30",5.18
"82","2007-05-01",5.57
"83","2007-05-02",5.55
"84","2007-05-03",5.62
"85","2007-05-04",5.67
"86","2007-05-07",5.59
"87","2007-05-08",5.26
"88","2007-05-09",5.24
"89","2007-05-10",6
"90","2007-05-11",4.93
"91","2007-05-14",5.32
"92","2007-05-15",5.35
"93","2007-05-16",5.46
"94","2007-05-17",5.5
"95","2007-05-18",5.35
"96","2007-05-21",5.39
"97","2007-05-22",5.23
"98","2007-05-23",5.29
"99","2007-05-24",5.2
"100","2007-05-25",5.32
"101","2007-05-29",5.51
"102","2007-05-30",5.74
"103","2007-05-31",5.77
"104","2007-06-01",6.09
"105","2007-06-04",6.05
"106","2007-06-05",6.09
"107","2007-06-06",5.91
"108","2007-06-07",6.38
"109","2007-06-08",6.45
"110","2007-06-11",6.45
"111","2007-06-12",6.27
"112","2007-06-13",6.47
"113","2007-06-14",6.55
"114","2007-06-15",6.58
"115","2007-06-18",6.79
"116","2007-06-19",6.74
"117","2007-06-20",6.02
"118","2007-06-21",5.99
"119","2007-06-22",5.84
"120","2007-06-25",5.87
"121","2007-06-26",5.9
"122","2007-06-27",6.06
"123","2007-06-28",6.08
"124","2007-06-29",5.97
"125","2007-07-02",6
"126","2007-07-03",6.17
"127","2007-07-05",6.02
"128","2007-07-06",6.08
"129","2007-07-09",6.73
"130","2007-07-10",6.82
"131","2007-07-11",6.65
"132","2007-07-12",6.8
"133","2007-07-13",6.81
"134","2007-07-16",6.45
"135","2007-07-17",6.45
"136","2007-07-18",6.59
"137","2007-07-19",6.58
"138","2007-07-20",6.79
"139","2007-07-23",6.94
"140","2007-07-24",6.87
"141","2007-07-25",6.4
"142","2007-07-26",6.57
"143","2007-07-27",6.43
"144","2007-07-30",6.6
"145","2007-07-31",6.62
"146","2007-08-01",6.46
"147","2007-08-02",6.25
"148","2007-08-03",6.37
"149","2007-08-06",6.27
"150","2007-08-07",6.38
"151","2007-08-08",6.41
"152","2007-08-09",5.53
"153","2007-08-10",4.9
"154","2007-08-13",5.7
