"","date","SGMO"
"1","2007-01-03",6.6
"2","2007-01-04",6.56
"3","2007-01-05",6.58
"4","2007-01-08",6.71
"5","2007-01-09",6.44
"6","2007-01-10",6.3
"7","2007-01-11",6.32
"8","2007-01-12",6.33
"9","2007-01-16",6.32
"10","2007-01-17",6.8
"11","2007-01-18",6.72
"12","2007-01-19",6.9
"13","2007-01-22",6.92
"14","2007-01-23",7.03
"15","2007-01-24",6.99
"16","2007-01-25",6.96
"17","2007-01-26",6.87
"18","2007-01-29",7.07
"19","2007-01-30",7.43
"20","2007-01-31",7.6
"21","2007-02-01",8.1
"22","2007-02-02",8.79
"23","2007-02-05",8.53
"24","2007-02-06",8.5
"25","2007-02-07",8.85
"26","2007-02-08",8.7
"27","2007-02-09",8.4
"28","2007-02-12",8.04
"29","2007-02-13",8.17
"30","2007-02-14",8.24
"31","2007-02-15",7.92
"32","2007-02-16",7.92
"33","2007-02-20",7.93
"34","2007-02-21",7.77
"35","2007-02-22",7.71
"36","2007-02-23",7.72
"37","2007-02-26",7.53
"38","2007-02-27",7.36
"39","2007-02-28",7.06
"40","2007-03-01",7.15
"41","2007-03-02",6.93
"42","2007-03-05",6.6
"43","2007-03-06",6.92
"44","2007-03-07",6.82
"45","2007-03-08",6.83
"46","2007-03-09",7.05
"47","2007-03-12",7.09
"48","2007-03-13",6.75
"49","2007-03-14",6.78
"50","2007-03-15",6.59
"51","2007-03-16",6.22
"52","2007-03-19",6.48
"53","2007-03-20",6.45
"54","2007-03-21",6.8
"55","2007-03-22",6.82
"56","2007-03-23",6.73
"57","2007-03-26",6.69
"58","2007-03-27",6.66
"59","2007-03-28",6.58
"60","2007-03-29",6.51
"61","2007-03-30",6.8
"62","2007-04-02",6.57
"63","2007-04-03",6.75
"64","2007-04-04",6.76
"65","2007-04-05",6.74
"66","2007-04-09",6.79
"67","2007-04-10",7.14
"68","2007-04-11",7.07
"69","2007-04-12",7.19
"70","2007-04-13",6.97
"71","2007-04-16",6.68
"72","2007-04-17",6.63
"73","2007-04-18",6.86
"74","2007-04-19",6.98
"75","2007-04-20",7.14
"76","2007-04-23",6.99
"77","2007-04-24",7.05
"78","2007-04-25",7.53
"79","2007-04-26",7.69
"80","2007-04-27",7.66
"81","2007-04-30",7.43
"82","2007-05-01",7.15
"83","2007-05-02",7.72
"84","2007-05-03",7.64
"85","2007-05-04",7.61
"86","2007-05-07",7.53
"87","2007-05-08",7.39
"88","2007-05-09",7.55
"89","2007-05-10",6.89
"90","2007-05-11",7.1
"91","2007-05-14",6.88
"92","2007-05-15",6.7
"93","2007-05-16",6.85
"94","2007-05-17",6.92
"95","2007-05-18",7.11
"96","2007-05-21",7.29
"97","2007-05-22",7.09
"98","2007-05-23",7.03
"99","2007-05-24",6.77
"100","2007-05-25",6.85
"101","2007-05-29",6.77
"102","2007-05-30",6.95
"103","2007-05-31",7.29
"104","2007-06-01",7.04
"105","2007-06-04",7.07
"106","2007-06-05",7.11
"107","2007-06-06",7.29
"108","2007-06-07",7.28
"109","2007-06-08",7.38
"110","2007-06-11",7.25
"111","2007-06-12",7.14
"112","2007-06-13",7.24
"113","2007-06-14",7.31
"114","2007-06-15",7.79
"115","2007-06-18",8.19
"116","2007-06-19",8.12
"117","2007-06-20",8.53
"118","2007-06-21",8.54
"119","2007-06-22",8.47
"120","2007-06-25",8.26
"121","2007-06-26",7.91
"122","2007-06-27",8.29
"123","2007-06-28",8.2
"124","2007-06-29",8.12
"125","2007-07-02",8.44
"126","2007-07-03",8.42
"127","2007-07-05",8.42
"128","2007-07-06",8.36
"129","2007-07-09",8.54
"130","2007-07-10",8.55
"131","2007-07-11",10.2
"132","2007-07-12",10.13
"133","2007-07-13",10.15
"134","2007-07-16",9.76
"135","2007-07-17",9.68
"136","2007-07-18",9.68
"137","2007-07-19",9.98
"138","2007-07-20",9.77
"139","2007-07-23",9.81
"140","2007-07-24",9.65
"141","2007-07-25",9.61
"142","2007-07-26",9.17
"143","2007-07-27",8.9
"144","2007-07-30",9.07
"145","2007-07-31",8.71
"146","2007-08-01",8.46
"147","2007-08-02",8.44
"148","2007-08-03",8.9
"149","2007-08-06",8.97
"150","2007-08-07",9.19
"151","2007-08-08",9.82
"152","2007-08-09",10
"153","2007-08-10",10.18
"154","2007-08-13",10.07
"155","2007-08-14",10.06
"156","2007-08-15",10.2
"157","2007-08-16",9.9
"158","2007-08-17",10.05
"159","2007-08-20",10.6
"160","2007-08-21",11.03
"161","2007-08-22",11.32
"162","2007-08-23",11.08
"163","2007-08-24",11.21
"164","2007-08-27",11.01
"165","2007-08-28",11
"166","2007-08-29",11.06
"167","2007-08-30",10.95
"168","2007-08-31",10.99
"169","2007-09-04",10.98
"170","2007-09-05",11
"171","2007-09-06",11.19
"172","2007-09-07",10.91
"173","2007-09-10",10.53
"174","2007-09-11",11.19
"175","2007-09-12",11.17
"176","2007-09-13",11.08
"177","2007-09-14",12.01
"178","2007-09-17",12
"179","2007-09-18",13.46
"180","2007-09-19",12.88
"181","2007-09-20",12.84
"182","2007-09-21",13.19
"183","2007-09-24",13.9
"184","2007-09-25",13.5
"185","2007-09-26",13.7
"186","2007-09-27",14.07
"187","2007-09-28",14.11
"188","2007-10-01",14.12
"189","2007-10-02",14.18
"190","2007-10-03",13.84
"191","2007-10-04",14.05
"192","2007-10-05",14.16
"193","2007-10-08",15.2
"194","2007-10-09",15.09
"195","2007-10-10",15.28
"196","2007-10-11",15.16
"197","2007-10-12",15.73
"198","2007-10-15",15.68
"199","2007-10-16",15.55
"200","2007-10-17",16.200001
"201","2007-10-18",16.26
"202","2007-10-19",15.66
"203","2007-10-22",15.32
"204","2007-10-23",15.92
"205","2007-10-24",15.49
"206","2007-10-25",16.290001
"207","2007-10-26",17.43
"208","2007-10-29",19.08
"209","2007-10-30",18.299999
"210","2007-10-31",18.99
"211","2007-11-01",18.299999
"212","2007-11-02",18.5
"213","2007-11-05",18.9
"214","2007-11-06",18.860001
"215","2007-11-07",19.049999
"216","2007-11-08",17.469999
"217","2007-11-09",16.68
"218","2007-11-12",14.62
"219","2007-11-13",15.03
"220","2007-11-14",14.62
"221","2007-11-15",14.56
"222","2007-11-16",14.63
"223","2007-11-19",14.15
"224","2007-11-20",13.4
"225","2007-11-21",12.57
"226","2007-11-23",12.81
"227","2007-11-26",12.79
"228","2007-11-27",12.9
"229","2007-11-28",13.6
"230","2007-11-29",14.91
"231","2007-11-30",15.37
"232","2007-12-03",14.27
"233","2007-12-04",14.17
"234","2007-12-05",15.1
"235","2007-12-06",15.8
"236","2007-12-07",15
"237","2007-12-10",14.22
"238","2007-12-11",13.86
"239","2007-12-12",13.98
"240","2007-12-13",13.64
