"","date","TFC"
"1","2007-01-03",44
"2","2007-01-04",43.66
"3","2007-01-05",43.080002
"4","2007-01-08",42.91
"5","2007-01-09",42.830002
"6","2007-01-10",42.630001
"7","2007-01-11",42.98
"8","2007-01-12",42.619999
"9","2007-01-16",42.82
"10","2007-01-17",42.740002
"11","2007-01-18",43.18
"12","2007-01-19",42.77
"13","2007-01-22",42.75
"14","2007-01-23",42.779999
"15","2007-01-24",43
"16","2007-01-25",42.209999
"17","2007-01-26",42.189999
"18","2007-01-29",42.049999
"19","2007-01-30",42.16
"20","2007-01-31",42.259998
"21","2007-02-01",42.630001
"22","2007-02-02",42.509998
"23","2007-02-05",42.639999
"24","2007-02-06",42.830002
"25","2007-02-07",42.880001
"26","2007-02-08",42.849998
"27","2007-02-09",42.810001
"28","2007-02-12",43.099998
"29","2007-02-13",43.599998
"30","2007-02-14",43.799999
"31","2007-02-15",43.75
"32","2007-02-16",43.84
"33","2007-02-20",44.150002
"34","2007-02-21",44.009998
"35","2007-02-22",43.950001
"36","2007-02-23",43.759998
"37","2007-02-26",43.619999
"38","2007-02-27",42.400002
"39","2007-02-28",42.450001
"40","2007-03-01",42.080002
"41","2007-03-02",41.59
"42","2007-03-05",40.849998
"43","2007-03-06",41.650002
"44","2007-03-07",41.27
"45","2007-03-08",41.57
"46","2007-03-09",41.509998
"47","2007-03-12",41.380001
"48","2007-03-13",40.279999
"49","2007-03-14",40.43
"50","2007-03-15",40.68
"51","2007-03-16",40.549999
"52","2007-03-19",41.040001
"53","2007-03-20",41.34
"54","2007-03-21",42.349998
"55","2007-03-22",41.950001
"56","2007-03-23",41.98
"57","2007-03-26",41.810001
"58","2007-03-27",41.48
"59","2007-03-28",40.830002
"60","2007-03-29",41.360001
"61","2007-03-30",41.02
"62","2007-04-02",40.27
"63","2007-04-03",40.959999
"64","2007-04-04",40.75
"65","2007-04-05",40.799999
"66","2007-04-09",40.41
"67","2007-04-10",40.73
"68","2007-04-11",39.790001
"69","2007-04-12",39.599998
"70","2007-04-13",39.91
"71","2007-04-16",40.73
"72","2007-04-17",40.560001
"73","2007-04-18",41.049999
"74","2007-04-19",41.860001
"75","2007-04-20",42.009998
"76","2007-04-23",41.77
"77","2007-04-24",41.52
"78","2007-04-25",41.990002
"79","2007-04-26",41.880001
"80","2007-04-27",42.080002
"81","2007-04-30",41.619999
"82","2007-05-01",42.029999
"83","2007-05-02",42.169998
"84","2007-05-03",42.43
"85","2007-05-04",42.450001
"86","2007-05-07",42.740002
"87","2007-05-08",42.599998
"88","2007-05-09",42.849998
"89","2007-05-10",42.139999
"90","2007-05-11",42.360001
"91","2007-05-14",42.130001
"92","2007-05-15",42.27
"93","2007-05-16",42.700001
"94","2007-05-17",42.650002
"95","2007-05-18",42.860001
"96","2007-05-21",42.900002
"97","2007-05-22",42.57
"98","2007-05-23",42.41
"99","2007-05-24",42.130001
"100","2007-05-25",42.09
"101","2007-05-29",42.049999
"102","2007-05-30",42.119999
"103","2007-05-31",42.110001
