"","date","GLEO"
"1","2019-11-14",9.65
"2","2019-11-15",9.68
"3","2019-11-18",9.67
"4","2019-11-19",9.68
"5","2019-11-20",9.69
"6","2019-11-21",9.69
"7","2019-11-22",9.67
"8","2019-11-25",9.69
"9","2019-11-26",9.74
"10","2019-11-27",9.74
"11","2019-11-29",9.74
"12","2019-12-02",9.74
"13","2019-12-03",9.74
"14","2019-12-04",9.74
"15","2019-12-05",9.74
"16","2019-12-06",9.72
"17","2019-12-09",9.72
"18","2019-12-10",9.72
"19","2019-12-11",9.77
"20","2019-12-12",9.77
"21","2019-12-13",9.75
"22","2019-12-16",9.77
"23","2019-12-17",9.8
"24","2019-12-18",9.8
"25","2019-12-19",9.84
"26","2019-12-20",9.84
"27","2019-12-23",9.84
"28","2019-12-24",9.95
"29","2019-12-26",9.95
"30","2019-12-27",9.95
"31","2019-12-30",9.95
"32","2019-12-31",9.8
"33","2020-01-02",9.8
"34","2020-01-03",9.82
"35","2020-01-06",9.83
"36","2020-01-07",9.83
"37","2020-01-08",9.83
"38","2020-01-09",9.84
"39","2020-01-10",9.85
"40","2020-01-13",9.85
"41","2020-01-14",9.84
"42","2020-01-15",9.88
"43","2020-01-16",9.86
"44","2020-01-17",9.87
"45","2020-01-21",9.9
"46","2020-01-22",9.9
"47","2020-01-23",9.86
"48","2020-01-24",9.95
"49","2020-01-27",10
"50","2020-01-28",10
"51","2020-01-29",10
"52","2020-01-30",10
"53","2020-01-31",10
"54","2020-02-03",10
"55","2020-02-04",9.96
"56","2020-02-05",9.93
"57","2020-02-06",9.93
"58","2020-02-07",9.93
"59","2020-02-10",9.95
"60","2020-02-11",9.95
"61","2020-02-12",9.92
"62","2020-02-13",9.94
"63","2020-02-14",9.99
"64","2020-02-18",9.98
"65","2020-02-19",10
"66","2020-02-20",9.95
"67","2020-02-21",9.95
"68","2020-02-24",9.97
"69","2020-02-25",9.98
"70","2020-02-26",9.98
"71","2020-02-27",9.915
"72","2020-02-28",9.97
"73","2020-03-02",9.92
"74","2020-03-03",9.895
"75","2020-03-04",9.95
"76","2020-03-05",10.34
"77","2020-03-06",9.94
"78","2020-03-09",9.85
"79","2020-03-10",9.85
"80","2020-03-11",9.9
"81","2020-03-12",9.79
"82","2020-03-13",9.79
"83","2020-03-16",9.436
"84","2020-03-17",9.471
"85","2020-03-18",9.3
"86","2020-03-19",9.2
"87","2020-03-20",9.25
"88","2020-03-23",9.35
"89","2020-03-24",9.523
"90","2020-03-25",9.523
"91","2020-03-26",9.61
"92","2020-03-27",9.63
"93","2020-03-30",9.66
"94","2020-03-31",9.68
"95","2020-04-01",9.68
"96","2020-04-02",9.76
"97","2020-04-03",9.68
"98","2020-04-06",9.681
"99","2020-04-07",9.681
"100","2020-04-08",9.69
"101","2020-04-09",9.74
"102","2020-04-13",9.74
"103","2020-04-14",9.8
"104","2020-04-15",9.8
"105","2020-04-16",9.8
"106","2020-04-17",9.84
"107","2020-04-20",9.69
"108","2020-04-21",9.75
"109","2020-04-22",9.75
"110","2020-04-23",9.76
"111","2020-04-24",9.86
"112","2020-04-27",9.856
"113","2020-04-28",9.89
"114","2020-04-29",9.89
"115","2020-04-30",9.89
"116","2020-05-01",9.824
"117","2020-05-04",9.745
"118","2020-05-05",9.77
"119","2020-05-06",9.81
"120","2020-05-07",9.81
"121","2020-05-08",9.7
"122","2020-05-11",9.7
"123","2020-05-12",9.784
"124","2020-05-13",9.71
"125","2020-05-14",9.72
"126","2020-05-15",9.72
"127","2020-05-18",9.7
"128","2020-05-19",9.738
"129","2020-05-20",9.71
"130","2020-05-21",9.86
"131","2020-05-22",9.7
"132","2020-05-26",9.7
"133","2020-05-27",9.7
"134","2020-05-28",9.86
"135","2020-05-29",9.86
"136","2020-06-01",9.94
"137","2020-06-02",9.9
"138","2020-06-03",9.82
"139","2020-06-04",9.82
"140","2020-06-05",9.87
"141","2020-06-08",9.84
"142","2020-06-09",9.75
"143","2020-06-10",9.8
"144","2020-06-11",9.75
"145","2020-06-12",9.75
"146","2020-06-15",9.75
"147","2020-06-16",9.79
"148","2020-06-17",9.85
"149","2020-06-18",9.85
"150","2020-06-19",9.85
"151","2020-06-22",9.85
"152","2020-06-23",9.92
"153","2020-06-24",9.93
"154","2020-06-25",9.9
"155","2020-06-26",9.88
"156","2020-06-29",9.915
"157","2020-06-30",9.91
"158","2020-07-01",9.925
"159","2020-07-02",9.88
"160","2020-07-06",9.9
"161","2020-07-07",9.9
"162","2020-07-08",9.94
"163","2020-07-09",9.97
