"","date","NATH"
"1","2007-01-03",14.45
"2","2007-01-04",14.45
"3","2007-01-05",14.58
"4","2007-01-08",14.25
"5","2007-01-09",14.4
"6","2007-01-10",14.58
"7","2007-01-11",14.44
"8","2007-01-12",14.38
"9","2007-01-16",14.5
"10","2007-01-17",14.3
"11","2007-01-18",14.35
"12","2007-01-19",14.43
"13","2007-01-22",15.19
"14","2007-01-23",15.17
"15","2007-01-24",15.25
"16","2007-01-25",15
"17","2007-01-26",15.21
"18","2007-01-29",15.03
"19","2007-01-30",14.99
"20","2007-01-31",14.98
"21","2007-02-01",14.89
"22","2007-02-02",15.32
"23","2007-02-05",15
"24","2007-02-06",14.8
"25","2007-02-07",14.32
"26","2007-02-08",14.26
"27","2007-02-09",14.26
"28","2007-02-12",14.28
"29","2007-02-13",14.65
"30","2007-02-14",15.14
"31","2007-02-15",14.9
"32","2007-02-16",14.9
"33","2007-02-20",14.96
"34","2007-02-21",14.98
"35","2007-02-22",15.23
"36","2007-02-23",15.25
"37","2007-02-26",15.4
"38","2007-02-27",15.44
"39","2007-02-28",15.28
"40","2007-03-01",15.36
"41","2007-03-02",15.1
"42","2007-03-05",14.89
"43","2007-03-06",14.73
"44","2007-03-07",14.48
"45","2007-03-08",14.48
"46","2007-03-09",14.67
"47","2007-03-12",14.56
"48","2007-03-13",14.55
"49","2007-03-14",14.5
"50","2007-03-15",14.55
"51","2007-03-16",14.46
"52","2007-03-19",14.45
"53","2007-03-20",14.53
"54","2007-03-21",14.59
"55","2007-03-22",14.7
"56","2007-03-23",14.62
"57","2007-03-26",14.56
"58","2007-03-27",15.07
"59","2007-03-28",14.92
"60","2007-03-29",14.76
"61","2007-03-30",15.06
"62","2007-04-02",15.09
"63","2007-04-03",14.67
"64","2007-04-04",14.74
"65","2007-04-05",14.72
"66","2007-04-09",14.5
"67","2007-04-10",14.51
"68","2007-04-11",14.7
"69","2007-04-12",14.56
"70","2007-04-13",14.74
"71","2007-04-16",14.62
"72","2007-04-17",14.6
"73","2007-04-18",14.58
"74","2007-04-19",14.43
"75","2007-04-20",14.51
"76","2007-04-23",14.8
"77","2007-04-24",14.78
"78","2007-04-25",14.46
"79","2007-04-26",14.45
"80","2007-04-27",14.51
"81","2007-04-30",14.47
"82","2007-05-01",14.51
"83","2007-05-02",14.76
"84","2007-05-03",15
"85","2007-05-04",14.83
"86","2007-05-07",15.1
"87","2007-05-08",15.2
"88","2007-05-09",15.35
"89","2007-05-10",15.12
"90","2007-05-11",15.18
"91","2007-05-14",15.24
"92","2007-05-15",14.99
"93","2007-05-16",14.98
"94","2007-05-17",14.99
"95","2007-05-18",15
"96","2007-05-21",14.97
"97","2007-05-22",14.54
"98","2007-05-23",14.39
"99","2007-05-24",14.44
"100","2007-05-25",14.16
"101","2007-05-29",14.66
"102","2007-05-30",15
"103","2007-05-31",15
"104","2007-06-01",15.06
"105","2007-06-04",15.15
"106","2007-06-05",15.25
"107","2007-06-06",15.16
"108","2007-06-07",15.22
"109","2007-06-08",15.15
"110","2007-06-11",15.04
"111","2007-06-12",15.04
"112","2007-06-13",15.15
"113","2007-06-14",15
"114","2007-06-15",15
"115","2007-06-18",15.12
"116","2007-06-19",15.04
"117","2007-06-20",14.97
"118","2007-06-21",15
"119","2007-06-22",15.79
"120","2007-06-25",16.139999
"121","2007-06-26",17.1
"122","2007-06-27",17.01
"123","2007-06-28",17.01
"124","2007-06-29",17.32
"125","2007-07-02",17.58
"126","2007-07-03",17.299999
"127","2007-07-05",17.700001
"128","2007-07-06",17.700001
"129","2007-07-09",19.200001
"130","2007-07-10",19.1
"131","2007-07-11",18.91
"132","2007-07-12",18.709999
"133","2007-07-13",18.450001
"134","2007-07-16",18.870001
"135","2007-07-17",18.6
"136","2007-07-18",17.889999
"137","2007-07-19",18.290001
"138","2007-07-20",18.74
"139","2007-07-23",18.889999
"140","2007-07-24",19.120001
"141","2007-07-25",18.959999
"142","2007-07-26",17.65
"143","2007-07-27",17.559999
"144","2007-07-30",17.799999
"145","2007-07-31",17.57
"146","2007-08-01",17.93
"147","2007-08-02",18.42
"148","2007-08-03",18.91
"149","2007-08-06",19
"150","2007-08-07",18.5
"151","2007-08-08",17.75
"152","2007-08-09",15.01
"153","2007-08-10",16.92
"154","2007-08-13",17.66
"155","2007-08-14",17.5
"156","2007-08-15",17.450001
"157","2007-08-16",16.52
"158","2007-08-17",16.389999
"159","2007-08-20",17
"160","2007-08-21",17.15
"161","2007-08-22",18
"162","2007-08-23",18.030001
"163","2007-08-24",17.959999
"164","2007-08-27",18
"165","2007-08-28",17.76
"166","2007-08-29",17.92
"167","2007-08-30",17.5
"168","2007-08-31",17.52
"169","2007-09-04",16.65
"170","2007-09-05",16.91
"171","2007-09-06",16.76
"172","2007-09-07",16.690001
"173","2007-09-10",16.84
"174","2007-09-11",16.9
"175","2007-09-12",17
"176","2007-09-13",16.76
"177","2007-09-14",17.51
"178","2007-09-17",17.43
"179","2007-09-18",17.34
"180","2007-09-19",17.25
"181","2007-09-20",17.120001
"182","2007-09-21",17.290001
"183","2007-09-24",17.030001
"184","2007-09-25",16.440001
"185","2007-09-26",16.35
"186","2007-09-27",16.34
"187","2007-09-28",16.5
"188","2007-10-01",16.879999
"189","2007-10-02",17.33
"190","2007-10-03",17.27
"191","2007-10-04",16.9
"192","2007-10-05",17.33
"193","2007-10-08",17.290001
"194","2007-10-09",17.49
"195","2007-10-10",17.040001
"196","2007-10-11",16.459999
"197","2007-10-12",16.440001
"198","2007-10-15",16.41
"199","2007-10-16",16.780001
"200","2007-10-17",16.67
"201","2007-10-18",16.700001
"202","2007-10-19",16.780001
"203","2007-10-22",16.49
"204","2007-10-23",16.73
"205","2007-10-24",16.67
"206","2007-10-25",16.610001
"207","2007-10-26",16.58
"208","2007-10-29",16.25
"209","2007-10-30",16.52
"210","2007-10-31",16.85
"211","2007-11-01",16.85
"212","2007-11-02",16.5
"213","2007-11-05",16.49
"214","2007-11-06",16.93
"215","2007-11-07",16.66
"216","2007-11-08",16.690001
"217","2007-11-09",16.75
"218","2007-11-12",16.35
"219","2007-11-13",16.51
"220","2007-11-14",16.549999
"221","2007-11-15",16.389999
"222","2007-11-16",16.559999
"223","2007-11-19",16.620001
"224","2007-11-20",16.540001
"225","2007-11-21",17.309999
"226","2007-11-23",17.290001
"227","2007-11-26",17.049999
"228","2007-11-27",17.030001
"229","2007-11-28",17.030001
"230","2007-11-29",16.879999
"231","2007-11-30",17.49
"232","2007-12-03",17.639999
"233","2007-12-04",17.870001
"234","2007-12-05",17.33
"235","2007-12-06",17.41
"236","2007-12-07",17.190001
"237","2007-12-10",17.129999
"238","2007-12-11",16.969999
"239","2007-12-12",16.41
"240","2007-12-13",17.049999
"241","2007-12-14",16.870001
"242","2007-12-17",16.469999
"243","2007-12-18",16.540001
"244","2007-12-19",16.75
"245","2007-12-20",16.9
"246","2007-12-21",16.93
"247","2007-12-24",17.219999
"248","2007-12-26",17.33
