"","date","MPAA"
"1","2007-01-03",14.66
"2","2007-01-04",14.65
"3","2007-01-05",14.75
"4","2007-01-08",14.75
"5","2007-01-09",14.75
"6","2007-01-10",14.75
"7","2007-01-11",14.75
"8","2007-01-12",14.4
"9","2007-01-16",14.05
"10","2007-01-17",14
"11","2007-01-18",14
"12","2007-01-19",13.5
"13","2007-01-22",13.5
"14","2007-01-23",13.5
"15","2007-01-24",13.5
"16","2007-01-25",13.5
"17","2007-01-26",13.5
"18","2007-01-29",13.35
"19","2007-01-30",13.45
"20","2007-01-31",13.75
"21","2007-02-01",13.75
"22","2007-02-02",13.75
"23","2007-02-05",13.75
"24","2007-02-06",13.75
"25","2007-02-07",13.25
"26","2007-02-08",13.25
"27","2007-02-09",13.25
"28","2007-02-12",13.7
"29","2007-02-13",13.7
"30","2007-02-14",13.7
"31","2007-02-15",13.7
"32","2007-02-16",13.45
"33","2007-02-20",13.45
"34","2007-02-21",13.5
"35","2007-02-22",13.7
"36","2007-02-23",13.75
"37","2007-02-26",14.5
"38","2007-02-27",14.5
"39","2007-02-28",14.25
"40","2007-03-01",14.25
"41","2007-03-02",14.25
"42","2007-03-05",14.25
"43","2007-03-06",14.25
"44","2007-03-07",14.05
"45","2007-03-08",14.6
"46","2007-03-09",14.6
"47","2007-03-12",14.6
"48","2007-03-13",14
"49","2007-03-14",14.25
"50","2007-03-15",13.78
"51","2007-03-16",13.75
"52","2007-03-19",13.75
"53","2007-03-20",13.5
"54","2007-03-21",13.75
"55","2007-03-22",14.25
"56","2007-03-23",14.25
"57","2007-03-26",14.6
"58","2007-03-27",14.6
"59","2007-03-28",14.6
"60","2007-03-29",14.6
"61","2007-03-30",14.35
"62","2007-04-02",14.35
"63","2007-04-03",14.35
"64","2007-04-04",14.35
"65","2007-04-05",14
"66","2007-04-09",14.3
"67","2007-04-10",14
"68","2007-04-11",14
"69","2007-04-12",13
"70","2007-04-13",13.5
"71","2007-04-16",13.5
"72","2007-04-17",12.8
"73","2007-04-18",12.5
"74","2007-04-19",12.25
"75","2007-04-20",13
"76","2007-04-23",13
"77","2007-04-24",13
"78","2007-04-25",12.5
"79","2007-04-26",12.5
"80","2007-04-27",12.9
"81","2007-04-30",12.9
"82","2007-05-01",12.9
"83","2007-05-02",12.8
"84","2007-05-03",12.8
"85","2007-05-04",12.5
"86","2007-05-07",12.5
"87","2007-05-08",12.5
"88","2007-05-09",12.4
"89","2007-05-10",12.4
"90","2007-05-11",12.4
"91","2007-05-14",12.4
"92","2007-05-15",12.05
"93","2007-05-16",12
"94","2007-05-17",12.35
"95","2007-05-18",12.4
"96","2007-05-21",12.4
"97","2007-05-22",12.4
"98","2007-05-23",12.4
"99","2007-05-24",12.8
"100","2007-05-25",12.99
"101","2007-05-29",13
"102","2007-05-30",12.78
"103","2007-05-31",13
"104","2007-06-01",12.9
"105","2007-06-04",13
"106","2007-06-05",13.25
"107","2007-06-06",13.25
"108","2007-06-07",13.15
"109","2007-06-08",13
"110","2007-06-11",13
"111","2007-06-12",13
"112","2007-06-13",13
"113","2007-06-14",13
"114","2007-06-15",12.5
"115","2007-06-18",13
"116","2007-06-19",13
"117","2007-06-20",13
"118","2007-06-21",13
"119","2007-06-22",13
"120","2007-06-25",13.25
"121","2007-06-26",12.7
"122","2007-06-27",12.75
"123","2007-06-28",12.75
"124","2007-06-29",13.25
"125","2007-07-02",13
"126","2007-07-03",12.75
"127","2007-07-05",13
"128","2007-07-06",12.7
"129","2007-07-09",12.5
"130","2007-07-10",12.55
"131","2007-07-11",12.55
"132","2007-07-12",12.55
"133","2007-07-13",12.55
"134","2007-07-16",12.6
"135","2007-07-17",12.6
"136","2007-07-18",12.6
"137","2007-07-19",12.6
"138","2007-07-20",12.6
"139","2007-07-23",12.45
"140","2007-07-24",12.45
"141","2007-07-25",12.45
"142","2007-07-26",12.45
"143","2007-07-27",12.25
