"","date","SOHON"
"1","2019-04-12",25.1
"2","2019-04-15",25.08
"3","2019-04-16",25.1
"4","2019-04-17",25.190001
"5","2019-04-18",25.200001
"6","2019-04-22",25.299999
"7","2019-04-23",25.27
"8","2019-04-24",25.139999
"9","2019-04-25",25.1
"10","2019-04-26",25.23
"11","2019-04-29",25.360001
"12","2019-04-30",25.400999
"13","2019-05-01",25.5
"14","2019-05-02",25.5
"15","2019-05-03",25.450001
"16","2019-05-06",25.389999
"17","2019-05-07",25.159
"18","2019-05-08",25.257999
"19","2019-05-09",25.16
"20","2019-05-10",25.200001
"21","2019-05-13",25.25
"22","2019-05-14",25.35
"23","2019-05-15",25.35
"24","2019-05-16",25.559999
"25","2019-05-17",25.403
"26","2019-05-20",25.469999
"27","2019-05-21",25.49
"28","2019-05-22",25.475
"29","2019-05-23",25.400999
"30","2019-05-24",25.363001
"31","2019-05-28",25.409
"32","2019-05-29",25.360001
"33","2019-05-30",25.433001
"34","2019-05-31",25.4
"35","2019-06-03",25.4
"36","2019-06-04",25.52
"37","2019-06-05",25.540001
"38","2019-06-06",25.59
"39","2019-06-07",25.76
"40","2019-06-10",25.85
"41","2019-06-11",26.1
"42","2019-06-12",26
"43","2019-06-13",25.9
"44","2019-06-14",25.709999
"45","2019-06-17",25.83
"46","2019-06-18",25.879999
"47","2019-06-19",26.059
"48","2019-06-20",26.02
"49","2019-06-21",26
"50","2019-06-24",26.004999
"51","2019-06-25",25.950001
"52","2019-06-26",25.98
"53","2019-06-27",26.1
"54","2019-06-28",25.59
"55","2019-07-01",25.51
"56","2019-07-02",25.709999
"57","2019-07-03",25.6
"58","2019-07-05",25.683001
"59","2019-07-08",25.639
"60","2019-07-09",25.620001
"61","2019-07-10",25.65
"62","2019-07-11",25.85
"63","2019-07-12",25.931999
"64","2019-07-15",25.959999
"65","2019-07-16",25.834999
"66","2019-07-17",25.839001
"67","2019-07-18",25.75
"68","2019-07-19",25.813999
"69","2019-07-22",25.83
"70","2019-07-23",25.99
"71","2019-07-24",25.870001
"72","2019-07-25",25.844999
"73","2019-07-26",25.9
"74","2019-07-29",25.85
"75","2019-07-30",26
"76","2019-07-31",26
"77","2019-08-01",25.98
"78","2019-08-02",26
"79","2019-08-05",25.85
"80","2019-08-06",25.716999
"81","2019-08-07",25.700001
"82","2019-08-08",25.67
"83","2019-08-09",25.74
"84","2019-08-12",25.660999
"85","2019-08-13",25.709999
"86","2019-08-14",25.666
"87","2019-08-15",25.629
"88","2019-08-16",25.6
"89","2019-08-19",25.75
"90","2019-08-20",25.75
"91","2019-08-21",25.775999
"92","2019-08-22",25.610001
