"","date","LSAC"
"1","2020-05-27",9.35
"2","2020-05-28",9.35
"3","2020-05-29",10.69
"4","2020-06-01",10.69
"5","2020-06-02",9.61
"6","2020-06-03",9.61
"7","2020-06-04",9.61
"8","2020-06-05",9.61
"9","2020-06-08",9.61
"10","2020-06-09",9.61
"11","2020-06-10",9.722
"12","2020-06-11",9.75
"13","2020-06-12",9.65
"14","2020-06-15",9.75
"15","2020-06-16",9.74
"16","2020-06-17",9.74
"17","2020-06-18",10.68
"18","2020-06-19",10.68
"19","2020-06-22",9.95
"20","2020-06-23",9.95
"21","2020-06-24",9.95
"22","2020-06-25",9.95
"23","2020-06-26",9.95
"24","2020-06-29",9.96
"25","2020-06-30",9.96
"26","2020-07-01",10.125
"27","2020-07-02",9.99
"28","2020-07-06",9.989
"29","2020-07-07",9.989
"30","2020-07-08",10.1
"31","2020-07-09",9.983
"32","2020-07-10",10.1
"33","2020-07-13",10.2
"34","2020-07-14",10.1
"35","2020-07-15",10.12
"36","2020-07-16",10.12
"37","2020-07-17",10.12
"38","2020-07-20",10.04
"39","2020-07-21",10.06
"40","2020-07-22",10.21
"41","2020-07-23",9.8
"42","2020-07-24",10.02
"43","2020-07-27",10
"44","2020-07-28",10
"45","2020-07-29",10
"46","2020-07-30",10.135
"47","2020-07-31",10.135
"48","2020-08-03",10.02
"49","2020-08-04",10.01
"50","2020-08-05",10.01
"51","2020-08-06",10.01
"52","2020-08-07",10.03
"53","2020-08-10",10.01
"54","2020-08-11",10.01
"55","2020-08-12",10
"56","2020-08-13",10
"57","2020-08-14",10.01
"58","2020-08-17",10.01
"59","2020-08-18",10.03
"60","2020-08-19",10.01
"61","2020-08-20",9.97
"62","2020-08-21",9.97
"63","2020-08-24",10.255
"64","2020-08-25",10.03
"65","2020-08-26",9.97
"66","2020-08-27",9.97
"67","2020-08-28",9.97
"68","2020-08-31",10.05
"69","2020-09-01",9.97
"70","2020-09-02",9.97
"71","2020-09-03",9.95
"72","2020-09-04",10.091
"73","2020-09-08",9.95
"74","2020-09-09",9.95
"75","2020-09-10",9.95
"76","2020-09-11",10.071
"77","2020-09-14",10.08
"78","2020-09-15",10.11
"79","2020-09-16",10.16
"80","2020-09-17",10.22
"81","2020-09-18",10.25
"82","2020-09-21",10.2
"83","2020-09-22",10
"84","2020-09-23",10.1
"85","2020-09-24",10.1
"86","2020-09-25",10.1
"87","2020-09-28",10.5
"88","2020-09-29",12.6
"89","2020-09-30",12.4
"90","2020-10-01",12.9
"91","2020-10-02",12.85
"92","2020-10-05",13.5
"93","2020-10-06",13.5
"94","2020-10-07",13.55
"95","2020-10-08",13.45
"96","2020-10-09",13.5
"97","2020-10-12",13.325
"98","2020-10-13",13.33
"99","2020-10-14",13.357
"100","2020-10-15",13.38
"101","2020-10-16",13.4
"102","2020-10-19",13.4
"103","2020-10-20",13.96
"104","2020-10-21",14.2
"105","2020-10-22",14.5
"106","2020-10-23",14.2
"107","2020-10-26",14.55
"108","2020-10-27",14.81
"109","2020-10-28",14.75
"110","2020-10-29",15.5
"111","2020-10-30",15.48
"112","2020-11-02",15.5
"113","2020-11-03",15.54
"114","2020-11-04",15.5
"115","2020-11-05",15.49
"116","2020-11-06",15.63
"117","2020-11-09",15.8
"118","2020-11-10",16.32
"119","2020-11-11",16.07
"120","2020-11-12",16.200001
"121","2020-11-13",16.25
"122","2020-11-16",16
"123","2020-11-17",16.25
"124","2020-11-18",16.200001
"125","2020-11-19",16.4
"126","2020-11-20",16.4
"127","2020-11-23",16.780001
"128","2020-11-24",16.309999
"129","2020-11-25",16.389999
"130","2020-11-27",16.42
