"","date","GVA"
"1","2007-01-03",50.529999
"2","2007-01-04",50.599998
"3","2007-01-05",49.900002
"4","2007-01-08",49.959999
"5","2007-01-09",50.48
"6","2007-01-10",50.59
"7","2007-01-11",51.529999
"8","2007-01-12",52.580002
"9","2007-01-16",52.220001
"10","2007-01-17",51.610001
"11","2007-01-18",51.209999
"12","2007-01-19",52.41
"13","2007-01-22",51.84
"14","2007-01-23",53.099998
"15","2007-01-24",53.52
"16","2007-01-25",52.549999
"17","2007-01-26",52.369999
"18","2007-01-29",53.150002
"19","2007-01-30",53.049999
"20","2007-01-31",53.560001
"21","2007-02-01",54.68
"22","2007-02-02",55.23
"23","2007-02-05",54.360001
"24","2007-02-06",55.169998
"25","2007-02-07",55.43
"26","2007-02-08",55.959999
"27","2007-02-09",56.029999
"28","2007-02-12",55.450001
"29","2007-02-13",55.630001
"30","2007-02-14",55.799999
"31","2007-02-15",50.689999
"32","2007-02-16",51.779999
"33","2007-02-20",54.959999
"34","2007-02-21",55.639999
"35","2007-02-22",59.130001
"36","2007-02-23",58.5
"37","2007-02-26",59.240002
"38","2007-02-27",57.450001
"39","2007-02-28",58.330002
"40","2007-03-01",58.720001
"41","2007-03-02",56.860001
"42","2007-03-05",56.040001
"43","2007-03-06",57.080002
"44","2007-03-07",56.369999
"45","2007-03-08",57
"46","2007-03-09",57.419998
"47","2007-03-12",57.110001
"48","2007-03-13",55.009998
"49","2007-03-14",55.93
"50","2007-03-15",57.57
"51","2007-03-16",57.080002
"52","2007-03-19",58.189999
"53","2007-03-20",57.990002
"54","2007-03-21",59.130001
"55","2007-03-22",58.150002
"56","2007-03-23",57.52
"57","2007-03-26",57.540001
"58","2007-03-27",57.43
"59","2007-03-28",55.900002
"60","2007-03-29",56.029999
"61","2007-03-30",55.259998
"62","2007-04-02",54.59
"63","2007-04-03",57.189999
"64","2007-04-04",56.25
"65","2007-04-05",56.189999
"66","2007-04-09",56.810001
"67","2007-04-10",56.75
"68","2007-04-11",56.330002
"69","2007-04-12",57.709999
"70","2007-04-13",57.259998
"71","2007-04-16",58.380001
"72","2007-04-17",59.52
"73","2007-04-18",58.130001
"74","2007-04-19",58.360001
"75","2007-04-20",60.259998
"76","2007-04-23",61.209999
"77","2007-04-24",60.07
"78","2007-04-25",60.610001
"79","2007-04-26",62.349998
"80","2007-04-27",63.049999
"81","2007-04-30",60.240002
"82","2007-05-01",60.59
"83","2007-05-02",60.700001
"84","2007-05-03",63.029999
"85","2007-05-04",63.310001
"86","2007-05-07",63.18
"87","2007-05-08",63.970001
"88","2007-05-09",63.32
"89","2007-05-10",61.939999
"90","2007-05-11",64.32
"91","2007-05-14",64.860001
"92","2007-05-15",64.370003
"93","2007-05-16",66.449997
"94","2007-05-17",65.510002
"95","2007-05-18",66
"96","2007-05-21",67.110001
"97","2007-05-22",68.589996
"98","2007-05-23",67.32
"99","2007-05-24",65.919998
"100","2007-05-25",65.800003
"101","2007-05-29",67.489998
"102","2007-05-30",69.099998
"103","2007-05-31",68.489998
"104","2007-06-01",67.690002
"105","2007-06-04",68.620003
"106","2007-06-05",67.849998
"107","2007-06-06",66.290001
"108","2007-06-07",63.990002
"109","2007-06-08",65.559998
"110","2007-06-11",66.519997
"111","2007-06-12",65.260002
"112","2007-06-13",66.720001
"113","2007-06-14",68.370003
"114","2007-06-15",69.779999
"115","2007-06-18",69.620003
"116","2007-06-19",68.32
"117","2007-06-20",67.190002
"118","2007-06-21",66.839996
"119","2007-06-22",66.510002
"120","2007-06-25",65.650002
"121","2007-06-26",63.619999
"122","2007-06-27",65.510002
"123","2007-06-28",65.43
