"","date","FRPH"
"1","2007-01-03",30.33
"2","2007-01-04",31.076666
"3","2007-01-05",30.5
"4","2007-01-08",30.33
"5","2007-01-09",30.053333
"6","2007-01-10",30.700001
"7","2007-01-11",30.666666
"8","2007-01-12",31.333334
"9","2007-01-16",31.186666
"10","2007-01-17",31.26
"11","2007-01-18",30.686666
"12","2007-01-19",31
"13","2007-01-22",30.059999
"14","2007-01-23",29.82
"15","2007-01-24",29.99
"16","2007-01-25",29.6
"17","2007-01-26",28.806667
"18","2007-01-29",28.043333
"19","2007-01-30",28.620001
"20","2007-01-31",28.343334
"21","2007-02-01",28.536667
"22","2007-02-02",29.096666
"23","2007-02-05",29.286667
"24","2007-02-06",28.266666
"25","2007-02-07",28.709999
"26","2007-02-08",28.5
"27","2007-02-09",28.166666
"28","2007-02-12",28.393333
"29","2007-02-13",28.496666
"30","2007-02-14",27.746666
"31","2007-02-15",26.5
"32","2007-02-16",26.076666
"33","2007-02-20",28.23
"34","2007-02-21",28.83
"35","2007-02-22",28.643333
"36","2007-02-23",29.25
"37","2007-02-26",28.426666
"38","2007-02-27",29.033333
"39","2007-02-28",28.416666
"40","2007-03-01",28.133333
"41","2007-03-02",28.02
"42","2007-03-05",27.956667
"43","2007-03-06",28.166666
"44","2007-03-07",28
"45","2007-03-08",27.25
"46","2007-03-09",28.063334
"47","2007-03-12",28.406666
"48","2007-03-13",27.556667
"49","2007-03-14",27.316668
"50","2007-03-15",26.853333
"51","2007-03-16",27.426666
"52","2007-03-19",27.543333
"53","2007-03-20",28.306667
"54","2007-03-21",28.633333
"55","2007-03-22",28.366667
"56","2007-03-23",28.373333
"57","2007-03-26",28.450001
"58","2007-03-27",28.129999
"59","2007-03-28",28.286667
"60","2007-03-29",28.183332
"61","2007-03-30",29.870001
"62","2007-04-02",28.873333
"63","2007-04-03",29.309999
"64","2007-04-04",28.856667
"65","2007-04-05",28.703333
"66","2007-04-09",28.233334
"67","2007-04-10",28.993334
"68","2007-04-11",29.006666
"69","2007-04-12",29.120001
"70","2007-04-13",29.666666
"71","2007-04-16",29.370001
"72","2007-04-17",29.136667
"73","2007-04-18",28.786667
"74","2007-04-19",28.67
"75","2007-04-20",29.26
"76","2007-04-23",29.58
"77","2007-04-24",29.65
"78","2007-04-25",29.860001
"79","2007-04-26",29.766666
"80","2007-04-27",29.4
"81","2007-04-30",29.393333
"82","2007-05-01",29.486666
"83","2007-05-02",30.053333
"84","2007-05-03",29.446667
"85","2007-05-04",29.333334
"86","2007-05-07",29.299999
"87","2007-05-08",29.926666
"88","2007-05-09",30.553333
"89","2007-05-10",29.126667
"90","2007-05-11",29.43
"91","2007-05-14",29.366667
"92","2007-05-15",29.09
"93","2007-05-16",29.166666
"94","2007-05-17",29.066668
"95","2007-05-18",29.290001
"96","2007-05-21",29.333334
"97","2007-05-22",29
"98","2007-05-23",29.333334
"99","2007-05-24",29.653334
"100","2007-05-25",29.443333
"101","2007-05-29",29.343334
"102","2007-05-30",29.01
"103","2007-05-31",29.813334
"104","2007-06-01",29.633333
"105","2007-06-04",29.636667
"106","2007-06-05",29.1
"107","2007-06-06",29.003334
"108","2007-06-07",28.936666
"109","2007-06-08",28.93
"110","2007-06-11",28.923334
"111","2007-06-12",29.27
"112","2007-06-13",28.866667
"113","2007-06-14",28.709999
"114","2007-06-15",29.463333
"115","2007-06-18",29.629999
