"","date","COLD"
"1","2018-01-19",17.77
"2","2018-01-22",17.790001
"3","2018-01-23",17.639999
"4","2018-01-24",17.629999
"5","2018-01-25",17.75
"6","2018-01-26",17.75
"7","2018-01-29",17.950001
"8","2018-01-30",17.91
"9","2018-01-31",18.280001
"10","2018-02-01",18.27
"11","2018-02-02",18.18
"12","2018-02-05",17.940001
"13","2018-02-06",17.799999
"14","2018-02-07",18.02
"15","2018-02-08",17.68
"16","2018-02-09",17.790001
"17","2018-02-12",17.530001
"18","2018-02-13",17.959999
"19","2018-02-14",17.98
"20","2018-02-15",17.92
"21","2018-02-16",17.98
"22","2018-02-20",17.969999
"23","2018-02-21",17.9
"24","2018-02-22",17.85
"25","2018-02-23",18.219999
"26","2018-02-26",18.09
"27","2018-02-27",18
"28","2018-02-28",18
"29","2018-03-01",17.91
"30","2018-03-02",17.9
"31","2018-03-05",17.76
"32","2018-03-06",17.77
"33","2018-03-07",17.74
"34","2018-03-08",17.860001
"35","2018-03-09",17.969999
"36","2018-03-12",18.129999
"37","2018-03-13",17.91
"38","2018-03-14",17.940001
"39","2018-03-15",18.33
"40","2018-03-16",18.67
"41","2018-03-19",18.700001
"42","2018-03-20",18.719999
"43","2018-03-21",18.879999
"44","2018-03-22",18.85
"45","2018-03-23",18.66
"46","2018-03-26",18.65
"47","2018-03-27",18.469999
"48","2018-03-28",18.629999
"49","2018-03-29",19.08
"50","2018-04-02",18.58
"51","2018-04-03",18.65
"52","2018-04-04",18.82
"53","2018-04-05",18.84
"54","2018-04-06",18.83
"55","2018-04-09",19.059999
"56","2018-04-10",19.1
"57","2018-04-11",19.459999
"58","2018-04-12",19.290001
"59","2018-04-13",19.02
"60","2018-04-16",19.360001
"61","2018-04-17",19.48
"62","2018-04-18",19.719999
"63","2018-04-19",19.719999
"64","2018-04-20",19.85
"65","2018-04-23",19.98
"66","2018-04-24",20.08
"67","2018-04-25",20.200001
"68","2018-04-26",20.33
"69","2018-04-27",20.82
"70","2018-04-30",20.610001
"71","2018-05-01",20.610001
"72","2018-05-02",20.51
"73","2018-05-03",20.719999
"74","2018-05-04",20.74
"75","2018-05-07",20.99
"76","2018-05-08",21.139999
"77","2018-05-09",21.49
"78","2018-05-10",21.43
"79","2018-05-11",22.299999
"80","2018-05-14",21.42
"81","2018-05-15",21.030001
"82","2018-05-16",21.41
"83","2018-05-17",21.85
"84","2018-05-18",21.85
"85","2018-05-21",21.889999
"86","2018-05-22",21.42
"87","2018-05-23",21.639999
"88","2018-05-24",21.68
"89","2018-05-25",21.610001
"90","2018-05-29",21.43
"91","2018-05-30",21.76
"92","2018-05-31",20.6
"93","2018-06-01",21.35
"94","2018-06-04",22
"95","2018-06-05",21.52
"96","2018-06-06",21.700001
"97","2018-06-07",21.74
"98","2018-06-08",21.700001
"99","2018-06-11",21.620001
"100","2018-06-12",21.700001
"101","2018-06-13",21.700001
"102","2018-06-14",21.67
"103","2018-06-15",21.5
"104","2018-06-18",21.719999
