"","date","ENZ"
"1","2007-01-03",14.57
"2","2007-01-04",15
"3","2007-01-05",14.48
"4","2007-01-08",14.46
"5","2007-01-09",14.61
"6","2007-01-10",14.79
"7","2007-01-11",15.45
"8","2007-01-12",15.81
"9","2007-01-16",15.48
"10","2007-01-17",15.37
"11","2007-01-18",15.28
"12","2007-01-19",15.1
"13","2007-01-22",15.02
"14","2007-01-23",15.01
"15","2007-01-24",14.97
"16","2007-01-25",15.02
"17","2007-01-26",14.79
"18","2007-01-29",14.75
"19","2007-01-30",14.85
"20","2007-01-31",14.84
"21","2007-02-01",15.09
"22","2007-02-02",15.08
"23","2007-02-05",15.27
"24","2007-02-06",15.46
"25","2007-02-07",15.56
"26","2007-02-08",15.65
"27","2007-02-09",15.65
"28","2007-02-12",15.65
"29","2007-02-13",15.44
"30","2007-02-14",15.35
"31","2007-02-15",15.24
"32","2007-02-16",15.19
"33","2007-02-20",15.3
"34","2007-02-21",15.44
"35","2007-02-22",15.22
"36","2007-02-23",15.41
"37","2007-02-26",15.27
"38","2007-02-27",14.75
"39","2007-02-28",14.44
"40","2007-03-01",14.07
"41","2007-03-02",13.83
"42","2007-03-05",13.91
"43","2007-03-06",14.18
"44","2007-03-07",14.05
"45","2007-03-08",14.19
"46","2007-03-09",14.21
"47","2007-03-12",14.36
"48","2007-03-13",13.81
"49","2007-03-14",13.76
"50","2007-03-15",14.11
"51","2007-03-16",14.99
"52","2007-03-19",15.38
"53","2007-03-20",15.27
"54","2007-03-21",15.12
"55","2007-03-22",15.69
"56","2007-03-23",15.56
"57","2007-03-26",15.31
"58","2007-03-27",15.07
"59","2007-03-28",15.02
"60","2007-03-29",15.17
"61","2007-03-30",15.08
"62","2007-04-02",15.11
"63","2007-04-03",15.45
"64","2007-04-04",15.47
"65","2007-04-05",15.75
"66","2007-04-09",16.129999
"67","2007-04-10",16.24
"68","2007-04-11",16.059999
"69","2007-04-12",16.51
"70","2007-04-13",16.860001
"71","2007-04-16",16.889999
"72","2007-04-17",16.99
"73","2007-04-18",16.860001
"74","2007-04-19",17
"75","2007-04-20",17.209999
"76","2007-04-23",17.040001
"77","2007-04-24",17.299999
"78","2007-04-25",17.32
"79","2007-04-26",17.440001
"80","2007-04-27",17.43
"81","2007-04-30",16.809999
"82","2007-05-01",16.49
"83","2007-05-02",17.059999
"84","2007-05-03",17.190001
"85","2007-05-04",17.309999
"86","2007-05-07",16.549999
"87","2007-05-08",16.219999
"88","2007-05-09",16.190001
"89","2007-05-10",15.59
"90","2007-05-11",16.129999
"91","2007-05-14",15.65
"92","2007-05-15",15.22
"93","2007-05-16",15.48
"94","2007-05-17",15.51
"95","2007-05-18",15.58
"96","2007-05-21",16.040001
"97","2007-05-22",16.530001
"98","2007-05-23",16.24
"99","2007-05-24",15.74
"100","2007-05-25",16.16
"101","2007-05-29",16.450001
"102","2007-05-30",16.290001
"103","2007-05-31",16.26
"104","2007-06-01",16.280001
"105","2007-06-04",16
"106","2007-06-05",15.79
"107","2007-06-06",15.48
"108","2007-06-07",15.02
"109","2007-06-08",15.27
"110","2007-06-11",15.01
"111","2007-06-12",14.59
"112","2007-06-13",14.95
"113","2007-06-14",15.17
"114","2007-06-15",16.139999
"115","2007-06-18",15.85
"116","2007-06-19",15.61
"117","2007-06-20",15.46
"118","2007-06-21",15.27
"119","2007-06-22",15.34
"120","2007-06-25",15.57
"121","2007-06-26",15.32
"122","2007-06-27",15.68
"123","2007-06-28",15.43
"124","2007-06-29",14.95
"125","2007-07-02",15.01
"126","2007-07-03",15.15
"127","2007-07-05",15.04
"128","2007-07-06",14.83
"129","2007-07-09",14.64
"130","2007-07-10",14.43
"131","2007-07-11",14.57
"132","2007-07-12",14.94
"133","2007-07-13",14.94
"134","2007-07-16",14.8
"135","2007-07-17",14.5
"136","2007-07-18",14.14
"137","2007-07-19",14.18
"138","2007-07-20",14.2
"139","2007-07-23",13.85
"140","2007-07-24",12.6
"141","2007-07-25",13.04
"142","2007-07-26",12.51
"143","2007-07-27",12.44
"144","2007-07-30",12.91
"145","2007-07-31",12.78
"146","2007-08-01",12.77
"147","2007-08-02",12.9
"148","2007-08-03",12.54
"149","2007-08-06",13.6
"150","2007-08-07",16.15
"151","2007-08-08",17.93
"152","2007-08-09",17.860001
"153","2007-08-10",16
"154","2007-08-13",14.42
"155","2007-08-14",14.75
"156","2007-08-15",14.92
"157","2007-08-16",15.8
"158","2007-08-17",16.4
"159","2007-08-20",16.690001
"160","2007-08-21",17
"161","2007-08-22",16.51
"162","2007-08-23",16.07
"163","2007-08-24",17.040001
"164","2007-08-27",15.99
"165","2007-08-28",16.209999
"166","2007-08-29",17.43
"167","2007-08-30",17.74
"168","2007-08-31",18.01
"169","2007-09-04",18.65
"170","2007-09-05",18.030001
"171","2007-09-06",17.77
"172","2007-09-07",12.56
"173","2007-09-10",12.06
"174","2007-09-11",12.19
"175","2007-09-12",11.79
"176","2007-09-13",12.01
"177","2007-09-14",11.83
"178","2007-09-17",12
"179","2007-09-18",12.88
"180","2007-09-19",12.57
"181","2007-09-20",12.18
"182","2007-09-21",11.96
"183","2007-09-24",11.86
"184","2007-09-25",12.05
"185","2007-09-26",11.81
"186","2007-09-27",11.87
"187","2007-09-28",11.35
"188","2007-10-01",11.69
"189","2007-10-02",11.52
"190","2007-10-03",11.5
"191","2007-10-04",11.57
"192","2007-10-05",11.88
"193","2007-10-08",11.34
"194","2007-10-09",11.98
"195","2007-10-10",12.02
"196","2007-10-11",12.01
"197","2007-10-12",12.45
"198","2007-10-15",11.59
"199","2007-10-16",13.14
"200","2007-10-17",12.91
"201","2007-10-18",12.95
"202","2007-10-19",12.44
"203","2007-10-22",12.74
"204","2007-10-23",12.66
"205","2007-10-24",12.45
"206","2007-10-25",12.6
"207","2007-10-26",12.8
"208","2007-10-29",12.18
"209","2007-10-30",12.07
"210","2007-10-31",12.11
"211","2007-11-01",11.63
"212","2007-11-02",11.93
"213","2007-11-05",12.1
"214","2007-11-06",12.17
"215","2007-11-07",11.04
"216","2007-11-08",10.69
