"","date","CHEF"
"1","2011-07-28",17.5
"2","2011-07-29",17.75
"3","2011-08-01",18
"4","2011-08-02",18.01
"5","2011-08-03",18.5
"6","2011-08-04",17.530001
"7","2011-08-05",17.52
"8","2011-08-08",16.5
"9","2011-08-09",16.59
"10","2011-08-10",16.68
"11","2011-08-11",16.440001
"12","2011-08-12",16.530001
"13","2011-08-15",16.57
"14","2011-08-16",16.540001
"15","2011-08-17",16.450001
"16","2011-08-18",16.18
"17","2011-08-19",15.24
"18","2011-08-22",14.49
"19","2011-08-23",14.8
"20","2011-08-24",15.16
"21","2011-08-25",14.95
"22","2011-08-26",13.97
"23","2011-08-29",13.91
"24","2011-08-30",14.09
"25","2011-08-31",14.5
"26","2011-09-01",14.08
"27","2011-09-02",13.56
"28","2011-09-06",12.98
"29","2011-09-07",13.71
"30","2011-09-08",13.81
"31","2011-09-09",13.86
"32","2011-09-12",13.93
"33","2011-09-13",14.11
"34","2011-09-14",14.06
"35","2011-09-15",15.2
"36","2011-09-16",15.37
"37","2011-09-19",15.14
"38","2011-09-20",14.84
"39","2011-09-21",14.34
"40","2011-09-22",14.06
"41","2011-09-23",14
"42","2011-09-26",13.45
"43","2011-09-27",13.51
"44","2011-09-28",12.82
"45","2011-09-29",12.58
"46","2011-09-30",11.76
"47","2011-10-03",11.7
"48","2011-10-04",12.78
"49","2011-10-05",12.8
"50","2011-10-06",12.84
"51","2011-10-07",12.96
"52","2011-10-10",13.17
"53","2011-10-11",13.54
"54","2011-10-12",13.39
"55","2011-10-13",13.25
"56","2011-10-14",13.03
"57","2011-10-17",12.66
"58","2011-10-18",13.31
"59","2011-10-19",13.17
"60","2011-10-20",13.07
"61","2011-10-21",13.72
"62","2011-10-24",13.84
"63","2011-10-25",13.18
"64","2011-10-26",13.32
"65","2011-10-27",13.93
"66","2011-10-28",14.82
"67","2011-10-31",14.29
"68","2011-11-01",14.14
"69","2011-11-02",14.3
"70","2011-11-03",14.73
"71","2011-11-04",14.25
"72","2011-11-07",14.08
"73","2011-11-08",14.2
"74","2011-11-09",13.48
"75","2011-11-10",13.6
"76","2011-11-11",13.59
"77","2011-11-14",13.4
"78","2011-11-15",13.83
"79","2011-11-16",13.91
"80","2011-11-17",13.87
"81","2011-11-18",14.19
"82","2011-11-21",14
"83","2011-11-22",13.85
"84","2011-11-23",13.81
"85","2011-11-25",13.11
"86","2011-11-28",13.59
"87","2011-11-29",13.09
"88","2011-11-30",13.38
"89","2011-12-01",13.79
"90","2011-12-02",14.47
"91","2011-12-05",14.94
"92","2011-12-06",15.84
"93","2011-12-07",15.41
"94","2011-12-08",15.34
"95","2011-12-09",16.450001
"96","2011-12-12",15.69
"97","2011-12-13",15.35
"98","2011-12-14",15.25
"99","2011-12-15",15.47
"100","2011-12-16",15.63
"101","2011-12-19",14.99
"102","2011-12-20",15.5
"103","2011-12-21",16.290001
"104","2011-12-22",16.26
"105","2011-12-23",16.610001
"106","2011-12-27",16.93
"107","2011-12-28",16.51
"108","2011-12-29",17.120001
"109","2011-12-30",17.860001
"110","2012-01-03",17.82
"111","2012-01-04",17.4
"112","2012-01-05",17.52
"113","2012-01-06",17.48
"114","2012-01-09",17.51
"115","2012-01-10",17.25
"116","2012-01-11",16.799999
"117","2012-01-12",17.16
"118","2012-01-13",17.17
"119","2012-01-17",17.5
"120","2012-01-18",18.780001
"121","2012-01-19",18.76
"122","2012-01-20",18.799999
"123","2012-01-23",18.6
"124","2012-01-24",19.290001
"125","2012-01-25",20.280001
"126","2012-01-26",20.51
"127","2012-01-27",20.42
"128","2012-01-30",20.629999
"129","2012-01-31",21.09
"130","2012-02-01",20.309999
"131","2012-02-02",20.66
"132","2012-02-03",20.5
"133","2012-02-06",20.33
"134","2012-02-07",20.58
"135","2012-02-08",20.59
"136","2012-02-09",20.530001
"137","2012-02-10",20.059999
"138","2012-02-13",20.08
"139","2012-02-14",19.700001
"140","2012-02-15",19.91
"141","2012-02-16",20.49
"142","2012-02-17",20.360001
"143","2012-02-21",20.360001
"144","2012-02-22",19.969999
"145","2012-02-23",19.959999
"146","2012-02-24",19.870001
"147","2012-02-27",19.719999
"148","2012-02-28",20.219999
"149","2012-02-29",21
"150","2012-03-01",20.709999
"151","2012-03-02",20.719999
"152","2012-03-05",21.27
"153","2012-03-06",21.280001
"154","2012-03-07",21.049999
"155","2012-03-08",21.459999
"156","2012-03-09",21.34
"157","2012-03-12",21.889999
"158","2012-03-13",22.799999
"159","2012-03-14",22.719999
"160","2012-03-15",22.84
"161","2012-03-16",22.57
"162","2012-03-19",22.6
"163","2012-03-20",21.65
"164","2012-03-21",21.530001
"165","2012-03-22",21.690001
"166","2012-03-23",21.83
"167","2012-03-26",22.5
"168","2012-03-27",22.67
"169","2012-03-28",22.16
"170","2012-03-29",22.18
"171","2012-03-30",23.139999
"172","2012-04-02",23.16
"173","2012-04-03",22.790001
"174","2012-04-04",21.5
"175","2012-04-05",22.73
"176","2012-04-09",21.92
"177","2012-04-10",21.540001
"178","2012-04-11",22.58
"179","2012-04-12",22.25
"180","2012-04-13",24.17
"181","2012-04-16",24.059999
"182","2012-04-17",24.450001
"183","2012-04-18",23.91
"184","2012-04-19",23.93
"185","2012-04-20",23.879999
"186","2012-04-23",23.25
"187","2012-04-24",24.09
"188","2012-04-25",25.200001
"189","2012-04-26",24.91
"190","2012-04-27",24.93
"191","2012-04-30",24.18
"192","2012-05-01",25
"193","2012-05-02",24.889999
"194","2012-05-03",24.049999
"195","2012-05-04",19.27
"196","2012-05-07",20.01
"197","2012-05-08",20.6
"198","2012-05-09",20.870001
"199","2012-05-10",20.790001
"200","2012-05-11",20.18
"201","2012-05-14",20.219999
"202","2012-05-15",20.129999
"203","2012-05-16",20.73
"204","2012-05-17",20.530001
"205","2012-05-18",20
"206","2012-05-21",20.120001
"207","2012-05-22",20.58
"208","2012-05-23",19.209999
"209","2012-05-24",18.99
"210","2012-05-25",19.870001
"211","2012-05-29",19.379999
"212","2012-05-30",19.280001
"213","2012-05-31",19.049999
"214","2012-06-01",18.65
"215","2012-06-04",18.24
"216","2012-06-05",18.190001
"217","2012-06-06",18.969999
"218","2012-06-07",17.950001
"219","2012-06-08",18.030001
"220","2012-06-11",17.91
"221","2012-06-12",17.77
"222","2012-06-13",17.85
"223","2012-06-14",17.969999
"224","2012-06-15",18.049999
"225","2012-06-18",17.92
"226","2012-06-19",18.18
"227","2012-06-20",18
"228","2012-06-21",17.950001
"229","2012-06-22",17.799999
"230","2012-06-25",17.57
"231","2012-06-26",17.209999
"232","2012-06-27",17.559999
"233","2012-06-28",17.59
"234","2012-06-29",18.049999
"235","2012-07-02",18
"236","2012-07-03",18.15
"237","2012-07-05",18.209999
"238","2012-07-06",17.950001
"239","2012-07-09",18
"240","2012-07-10",18
"241","2012-07-11",17.9
"242","2012-07-12",17.93
"243","2012-07-13",17.85
"244","2012-07-16",17.83
"245","2012-07-17",17.889999
"246","2012-07-18",17.870001
"247","2012-07-19",17.379999
"248","2012-07-20",16.700001
"249","2012-07-23",16.16
"250","2012-07-24",15.98
"251","2012-07-25",16.139999
"252","2012-07-26",16.389999
"253","2012-07-27",16.58
"254","2012-07-30",16.200001
"255","2012-07-31",16.15
"256","2012-08-01",13.11
"257","2012-08-02",12.58
"258","2012-08-03",13.79
"259","2012-08-06",13.96
"260","2012-08-07",14.09
"261","2012-08-08",14.56
"262","2012-08-09",14.54
"263","2012-08-10",14.42
"264","2012-08-13",14.63
"265","2012-08-14",14.9
"266","2012-08-15",15.13
"267","2012-08-16",15.49
"268","2012-08-17",15.68
"269","2012-08-20",15.41
"270","2012-08-21",15.67
"271","2012-08-22",15.69
"272","2012-08-23",15.67
"273","2012-08-24",15.53
"274","2012-08-27",16.27
