"","date","JPM"
"1","2007-01-03",48.07
"2","2007-01-04",48.189999
"3","2007-01-05",47.790001
"4","2007-01-08",47.950001
"5","2007-01-09",47.75
"6","2007-01-10",48.099998
"7","2007-01-11",48.310001
"8","2007-01-12",47.990002
"9","2007-01-16",48.389999
"10","2007-01-17",48.43
"11","2007-01-18",48.150002
"12","2007-01-19",48.759998
"13","2007-01-22",49.66
"14","2007-01-23",49.830002
"15","2007-01-24",50.360001
"16","2007-01-25",50.209999
"17","2007-01-26",49.700001
"18","2007-01-29",49.470001
"19","2007-01-30",50.18
"20","2007-01-31",50.93
"21","2007-02-01",51.209999
"22","2007-02-02",50.93
"23","2007-02-05",50.959999
"24","2007-02-06",51
"25","2007-02-07",51.209999
"26","2007-02-08",50.93
"27","2007-02-09",50.419998
"28","2007-02-12",50.439999
"29","2007-02-13",50.950001
"30","2007-02-14",51.419998
"31","2007-02-15",51.209999
"32","2007-02-16",51.25
"33","2007-02-20",51.630001
"34","2007-02-21",51.650002
"35","2007-02-22",51.639999
"36","2007-02-23",51.029999
"37","2007-02-26",50.810001
"38","2007-02-27",49.220001
"39","2007-02-28",49.389999
"40","2007-03-01",49.200001
"41","2007-03-02",48.189999
"42","2007-03-05",47.540001
"43","2007-03-06",48.52
"44","2007-03-07",48.360001
"45","2007-03-08",48.740002
"46","2007-03-09",48.82
"47","2007-03-12",48.84
"48","2007-03-13",46.700001
"49","2007-03-14",47.299999
"50","2007-03-15",47.700001
"51","2007-03-16",47.029999
"52","2007-03-19",47.580002
"53","2007-03-20",47.75
"54","2007-03-21",49.049999
"55","2007-03-22",48.470001
"56","2007-03-23",48.52
"57","2007-03-26",48.700001
"58","2007-03-27",48.57
"59","2007-03-28",47.990002
"60","2007-03-29",48.5
"61","2007-03-30",48.380001
"62","2007-04-02",48.240002
"63","2007-04-03",48.560001
"64","2007-04-04",48.560001
"65","2007-04-05",48.77
"66","2007-04-09",49
"67","2007-04-10",49.240002
"68","2007-04-11",49.150002
"69","2007-04-12",49.200001
"70","2007-04-13",49.09
"71","2007-04-16",49.970001
"72","2007-04-17",50.18
"73","2007-04-18",52.07
"74","2007-04-19",52.09
"75","2007-04-20",52.540001
"76","2007-04-23",52.279999
"77","2007-04-24",52.16
"78","2007-04-25",52.82
"79","2007-04-26",52.939999
"80","2007-04-27",52.549999
"81","2007-04-30",52.099998
"82","2007-05-01",52.259998
"83","2007-05-02",52.549999
"84","2007-05-03",52.700001
"85","2007-05-04",52.630001
"86","2007-05-07",52.73
"87","2007-05-08",52.450001
"88","2007-05-09",53.200001
"89","2007-05-10",52
"90","2007-05-11",52.150002
"91","2007-05-14",51.830002
"92","2007-05-15",52.029999
"93","2007-05-16",52.98
"94","2007-05-17",52.560001
"95","2007-05-18",52.540001
"96","2007-05-21",52.560001
"97","2007-05-22",52.290001
"98","2007-05-23",51.990002
"99","2007-05-24",51.59
"100","2007-05-25",51.639999
"101","2007-05-29",51.82
"102","2007-05-30",52.060001
"103","2007-05-31",51.830002
"104","2007-06-01",51.900002
"105","2007-06-04",51.57
"106","2007-06-05",51.220001
"107","2007-06-06",50.560001
"108","2007-06-07",49.82
"109","2007-06-08",50.41
"110","2007-06-11",50.43
"111","2007-06-12",49.349998
"112","2007-06-13",50.290001
"113","2007-06-14",50.32
"114","2007-06-15",50.560001
"115","2007-06-18",50.43
"116","2007-06-19",50.849998
"117","2007-06-20",49.459999
"118","2007-06-21",49.84
"119","2007-06-22",48.720001
"120","2007-06-25",48.360001
"121","2007-06-26",48.599998
"122","2007-06-27",49.240002
"123","2007-06-28",48.959999
"124","2007-06-29",48.450001
"125","2007-07-02",49.150002
"126","2007-07-03",49.34
"127","2007-07-05",48.790001
"128","2007-07-06",48.970001
"129","2007-07-09",48.790001
"130","2007-07-10",47.509998
"131","2007-07-11",48.130001
"132","2007-07-12",49.529999
"133","2007-07-13",50.049999
"134","2007-07-16",49.830002
"135","2007-07-17",49.919998
"136","2007-07-18",48.880001
"137","2007-07-19",48.619999
"138","2007-07-20",47.560001
"139","2007-07-23",47.150002
"140","2007-07-24",45.34
"141","2007-07-25",45.27
"142","2007-07-26",44.080002
"143","2007-07-27",44.23
"144","2007-07-30",44.75
"145","2007-07-31",44.009998
"146","2007-08-01",44.380001
"147","2007-08-02",44.59
