"","date","GSHD"
"1","2018-04-27",15.75
"2","2018-04-30",14.8
"3","2018-05-01",15.01
"4","2018-05-02",14.95
"5","2018-05-03",15.38
"6","2018-05-04",15.35
"7","2018-05-07",15.83
"8","2018-05-08",16.65
"9","2018-05-09",16.83
"10","2018-05-10",16.93
"11","2018-05-11",16.83
"12","2018-05-14",16.57
"13","2018-05-15",16.469999
"14","2018-05-16",16.25
"15","2018-05-17",15.6
"16","2018-05-18",16.200001
"17","2018-05-21",16.200001
"18","2018-05-22",16.09
"19","2018-05-23",16.450001
"20","2018-05-24",16.48
"21","2018-05-25",16.41
"22","2018-05-29",16.43
"23","2018-05-30",16.540001
"24","2018-05-31",16.15
"25","2018-06-01",16.23
"26","2018-06-04",16.200001
"27","2018-06-05",17.4
"28","2018-06-06",17.110001
"29","2018-06-07",18.74
"30","2018-06-08",19.5
"31","2018-06-11",21.139999
"32","2018-06-12",22.84
"33","2018-06-13",22.27
"34","2018-06-14",24.08
"35","2018-06-15",23.77
"36","2018-06-18",25.43
"37","2018-06-19",27.139999
"38","2018-06-20",26.6
"39","2018-06-21",26.08
"40","2018-06-22",26.219999
"41","2018-06-25",26.92
"42","2018-06-26",28.200001
"43","2018-06-27",26.5
"44","2018-06-28",26.049999
"45","2018-06-29",24.959999
"46","2018-07-02",23.76
"47","2018-07-03",23.940001
"48","2018-07-05",24.66
"49","2018-07-06",24.969999
"50","2018-07-09",26.610001
"51","2018-07-10",24.950001
"52","2018-07-11",24.99
"53","2018-07-12",26.700001
"54","2018-07-13",26.059999
"55","2018-07-16",25.84
"56","2018-07-17",28.24
"57","2018-07-18",27.709999
"58","2018-07-19",29.08
"59","2018-07-20",26.92
"60","2018-07-23",26.57
"61","2018-07-24",26.41
"62","2018-07-25",27.870001
"63","2018-07-26",27.620001
"64","2018-07-27",26.860001
"65","2018-07-30",26.719999
"66","2018-07-31",27.17
"67","2018-08-01",27.129999
"68","2018-08-02",27.77
"69","2018-08-03",27.68
"70","2018-08-06",27.360001
"71","2018-08-07",27.309999
"72","2018-08-08",26.48
"73","2018-08-09",26.01
"74","2018-08-10",27.25
"75","2018-08-13",26.43
"76","2018-08-14",26.24
"77","2018-08-15",27.17
"78","2018-08-16",26.85
"79","2018-08-17",26.610001
"80","2018-08-20",27.1
"81","2018-08-21",27.1
"82","2018-08-22",26.68
"83","2018-08-23",26.700001
"84","2018-08-24",26.459999
"85","2018-08-27",26.59
"86","2018-08-28",27.299999
