"","date","DLX"
"1","2007-01-03",25.629999
"2","2007-01-04",25.969999
"3","2007-01-05",26.209999
"4","2007-01-08",26.389999
"5","2007-01-09",26.559999
"6","2007-01-10",26.780001
"7","2007-01-11",27.719999
"8","2007-01-12",28.040001
"9","2007-01-16",28.049999
"10","2007-01-17",28.16
"11","2007-01-18",27.860001
"12","2007-01-19",27.98
"13","2007-01-22",27.700001
"14","2007-01-23",27.950001
"15","2007-01-24",28.35
"16","2007-01-25",28.75
"17","2007-01-26",28.950001
"18","2007-01-29",29.209999
"19","2007-01-30",29.879999
"20","2007-01-31",29.92
"21","2007-02-01",30.17
"22","2007-02-02",30.639999
"23","2007-02-05",30.870001
"24","2007-02-06",31.27
"25","2007-02-07",32.18
"26","2007-02-08",32.189999
"27","2007-02-09",32
"28","2007-02-12",32.369999
"29","2007-02-13",32.650002
"30","2007-02-14",32.849998
"31","2007-02-15",32.93
"32","2007-02-16",32.91
"33","2007-02-20",33.09
"34","2007-02-21",33.07
"35","2007-02-22",33.110001
"36","2007-02-23",33.099998
"37","2007-02-26",32.82
"38","2007-02-27",31.01
"39","2007-02-28",30.870001
"40","2007-03-01",31.110001
"41","2007-03-02",30.059999
"42","2007-03-05",29.370001
"43","2007-03-06",30.209999
"44","2007-03-07",30.02
"45","2007-03-08",30.23
"46","2007-03-09",30.57
"47","2007-03-12",31.879999
"48","2007-03-13",31.280001
"49","2007-03-14",31.809999
"50","2007-03-15",32.119999
"51","2007-03-16",32.16
"52","2007-03-19",33
"53","2007-03-20",32.799999
"54","2007-03-21",33.169998
"55","2007-03-22",33.689999
"56","2007-03-23",33.700001
"57","2007-03-26",33.950001
"58","2007-03-27",33.380001
"59","2007-03-28",33.110001
"60","2007-03-29",33.130001
"61","2007-03-30",33.529999
"62","2007-04-02",34.23
"63","2007-04-03",34.759998
"64","2007-04-04",34.869999
"65","2007-04-05",34.98
"66","2007-04-09",34.790001
"67","2007-04-10",34.869999
"68","2007-04-11",34.32
"69","2007-04-12",35.48
"70","2007-04-13",35.119999
"71","2007-04-16",35.369999
"72","2007-04-17",35.669998
"73","2007-04-18",35.779999
"74","2007-04-19",35.91
"75","2007-04-20",36.380001
"76","2007-04-23",35.759998
"77","2007-04-24",38.700001
"78","2007-04-25",37.889999
"79","2007-04-26",39.279999
"80","2007-04-27",38.880001
"81","2007-04-30",37.849998
"82","2007-05-01",38.439999
"83","2007-05-02",39.959999
"84","2007-05-03",39.619999
"85","2007-05-04",40.57
"86","2007-05-07",39.900002
"87","2007-05-08",39.549999
"88","2007-05-09",40.139999
"89","2007-05-10",39.43
"90","2007-05-11",40.720001
"91","2007-05-14",40.09
"92","2007-05-15",40.470001
"93","2007-05-16",41.73
"94","2007-05-17",41.369999
"95","2007-05-18",41.939999
"96","2007-05-21",42.200001
"97","2007-05-22",42.77
"98","2007-05-23",42.130001
"99","2007-05-24",41.700001
"100","2007-05-25",42.57
"101","2007-05-29",42.400002
"102","2007-05-30",43.540001
"103","2007-05-31",43.669998
"104","2007-06-01",44.669998
"105","2007-06-04",44.09
"106","2007-06-05",43.57
"107","2007-06-06",43.259998
"108","2007-06-07",43.490002
"109","2007-06-08",43.549999
"110","2007-06-11",43.330002
"111","2007-06-12",42.080002
"112","2007-06-13",42.93
"113","2007-06-14",43.080002
"114","2007-06-15",43.419998
"115","2007-06-18",42.630001
"116","2007-06-19",42.82
"117","2007-06-20",41.709999
"118","2007-06-21",41.599998
"119","2007-06-22",41.07
"120","2007-06-25",39.860001
