"","date","NTNX"
"1","2016-09-30",37
"2","2016-10-03",44.459999
"3","2016-10-04",38.09
"4","2016-10-05",36.18
"5","2016-10-06",36.700001
"6","2016-10-07",38.150002
"7","2016-10-10",34.810001
"8","2016-10-11",32.009998
"9","2016-10-12",32.5
"10","2016-10-13",34.700001
"11","2016-10-14",33.150002
"12","2016-10-17",30.65
"13","2016-10-18",30.74
"14","2016-10-19",29.99
"15","2016-10-20",28.5
"16","2016-10-21",29.209999
"17","2016-10-24",29.77
"18","2016-10-25",29.15
"19","2016-10-26",28.76
"20","2016-10-27",27.43
"21","2016-10-28",24.84
"22","2016-10-31",24.5
"23","2016-11-01",24.16
"24","2016-11-02",24.549999
"25","2016-11-03",23.9
"26","2016-11-04",24.129999
"27","2016-11-07",23.370001
"28","2016-11-08",26.889999
"29","2016-11-09",28.92
"30","2016-11-10",27.25
"31","2016-11-11",28.27
"32","2016-11-14",28.200001
"33","2016-11-15",32.450001
"34","2016-11-16",32.779999
"35","2016-11-17",31.200001
"36","2016-11-18",34.689999
"37","2016-11-21",33.66
"38","2016-11-22",33.110001
"39","2016-11-23",34.130001
"40","2016-11-25",34
"41","2016-11-28",33.34
"42","2016-11-29",34.09
"43","2016-11-30",32
"44","2016-12-01",27.6
"45","2016-12-02",27.77
"46","2016-12-05",27.98
"47","2016-12-06",27.5
"48","2016-12-07",27.1
"49","2016-12-08",27.549999
"50","2016-12-09",27.42
"51","2016-12-12",26.120001
"52","2016-12-13",25
"53","2016-12-14",25.280001
"54","2016-12-15",28.639999
"55","2016-12-16",28.74
"56","2016-12-19",28.629999
"57","2016-12-20",29.41
"58","2016-12-21",28.540001
"59","2016-12-22",28.950001
"60","2016-12-23",28.469999
"61","2016-12-27",28.6
"62","2016-12-28",27.209999
"63","2016-12-29",26.18
"64","2016-12-30",26.559999
"65","2017-01-03",26.309999
"66","2017-01-04",28.120001
"67","2017-01-05",26.74
"68","2017-01-06",27.709999
"69","2017-01-09",29.35
"70","2017-01-10",29.18
"71","2017-01-11",29.959999
"72","2017-01-12",30.17
"73","2017-01-13",30.459999
"74","2017-01-17",30.049999
"75","2017-01-18",28.17
"76","2017-01-19",28.280001
"77","2017-01-20",28.35
"78","2017-01-23",30.049999
"79","2017-01-24",30.18
"80","2017-01-25",31.66
"81","2017-01-26",30.26
"82","2017-01-27",30.309999
"83","2017-01-30",29.219999
"84","2017-01-31",30.27
"85","2017-02-01",29.01
"86","2017-02-02",29.309999
"87","2017-02-03",31.52
"88","2017-02-06",31.02
"89","2017-02-07",30.41
"90","2017-02-08",31.65
"91","2017-02-09",32
"92","2017-02-10",32.130001
"93","2017-02-13",32.200001
"94","2017-02-14",32.139999
"95","2017-02-15",33.099998
"96","2017-02-16",31.959999
"97","2017-02-17",31.469999
"98","2017-02-21",31.809999
"99","2017-02-22",30.84
"100","2017-02-23",30.15
"101","2017-02-24",29.82
"102","2017-02-27",30.120001
"103","2017-02-28",29.99
"104","2017-03-01",30.73
"105","2017-03-02",31.120001
"106","2017-03-03",23
"107","2017-03-06",21.309999
"108","2017-03-07",21.389999
"109","2017-03-08",21.200001
"110","2017-03-09",21.49
"111","2017-03-10",21.299999
"112","2017-03-13",20.73
"113","2017-03-14",20.559999
"114","2017-03-15",20.27
"115","2017-03-16",20.6
"116","2017-03-17",20.41
"117","2017-03-20",20.32
"118","2017-03-21",19.809999
"119","2017-03-22",19.67
"120","2017-03-23",19.370001
"121","2017-03-24",19.5
"122","2017-03-27",19.780001
"123","2017-03-28",19.92
"124","2017-03-29",18.77
"125","2017-03-30",19.15
"126","2017-03-31",18.77
"127","2017-04-03",18.15
"128","2017-04-04",17.65
"129","2017-04-05",17.459999
"130","2017-04-06",18.280001
"131","2017-04-07",18.629999
"132","2017-04-10",18.58
"133","2017-04-11",18.08
"134","2017-04-12",17.690001
"135","2017-04-13",17.209999
"136","2017-04-17",17.190001
"137","2017-04-18",17.15
"138","2017-04-19",16.440001
"139","2017-04-20",16.42
"140","2017-04-21",16.280001
"141","2017-04-24",16.08
"142","2017-04-25",16.299999
"143","2017-04-26",15.7
"144","2017-04-27",15.63
"145","2017-04-28",15.19
"146","2017-05-01",14.46
"147","2017-05-02",15.82
"148","2017-05-03",15.3
"149","2017-05-04",15.43
"150","2017-05-05",16.290001
"151","2017-05-08",16.6
"152","2017-05-09",16.27
"153","2017-05-10",16.74
