"","date","BCEI"
"1","2011-12-15",1518.712646
"2","2011-12-16",1517.596802
"3","2011-12-19",1468.498047
"4","2011-12-20",1509.785645
"5","2011-12-21",1537.682617
"6","2011-12-22",1543.262085
"7","2011-12-23",1522.060303
"8","2011-12-27",1489.699829
"9","2011-12-28",1439.485229
"10","2011-12-29",1395.96582
"11","2011-12-30",1394.849976
"12","2012-01-03",1460.68689
"13","2012-01-04",1499.742676
"14","2012-01-05",1576.738403
"15","2012-01-06",1592.360718
"16","2012-01-09",1603.519531
"17","2012-01-10",1602.403687
"18","2012-01-11",1601.287842
"19","2012-01-12",1593.476685
"20","2012-01-13",1581.201904
"21","2012-01-17",1592.360718
"22","2012-01-18",1576.738403
"23","2012-01-19",1630.300659
"24","2012-01-20",1636.995972
"25","2012-01-23",1645.922974
"26","2012-01-24",1680.515259
"27","2012-01-25",1725.150513
"28","2012-01-26",1730.729858
"29","2012-01-27",1790.987427
"30","2012-01-30",1776.480957
"31","2012-01-31",1821.116211
"32","2012-02-01",1844.549683
"33","2012-02-02",1882.489502
"34","2012-02-03",1899.227783
"35","2012-02-06",1874.678345
"36","2012-02-07",1900.343628
"37","2012-02-08",1966.180542
"38","2012-02-09",1957.25354
"39","2012-02-10",1855.708496
"40","2012-02-13",1879.141968
"41","2012-02-14",1899.227783
"42","2012-02-15",1885.837158
"43","2012-02-16",1892.532471
"44","2012-02-17",1947.210571
"45","2012-02-21",2015.279297
"46","2012-02-22",2087.811523
"47","2012-02-23",2154.76416
"48","2012-02-24",2156.996094
"49","2012-02-27",2167.039063
"50","2012-02-28",2125.751465
"51","2012-02-29",2075.536865
"52","2012-03-01",2042.060425
"53","2012-03-02",1986.266357
"54","2012-03-05",1978.4552
"55","2012-03-06",2010.815796
"56","2012-03-07",2100.086182
"57","2012-03-08",2124.635498
"58","2012-03-09",2122.403809
"59","2012-03-12",2164.807129
"60","2012-03-13",2167.039063
"61","2012-03-14",2131.330811
"62","2012-03-15",2135.794434
"63","2012-03-16",2175.966064
"64","2012-03-19",2151.416748
"65","2012-03-20",2113.476807
"66","2012-03-21",2110.12915
"67","2012-03-22",2023.090454
"68","2012-03-23",2141.373779
"69","2012-03-26",2287.553955
"70","2012-03-27",2398.026123
"71","2012-03-28",2363.433838
"72","2012-03-29",2316.566895
"73","2012-03-30",2438.197754
"74","2012-04-02",2459.399414
"75","2012-04-03",2454.936035
"76","2012-04-04",2377.940186
"77","2012-04-05",2404.721436
"78","2012-04-09",2325.493896
"79","2012-04-10",2229.52832
"80","2012-04-11",2233.991699
"81","2012-04-12",2329.95752
