"","date","CROX"
"1","2007-01-03",22
"2","2007-01-04",21.975
"3","2007-01-05",21.84
"4","2007-01-08",22.4
"5","2007-01-09",22.915001
"6","2007-01-10",23.84
"7","2007-01-11",23.514999
"8","2007-01-12",23.985001
"9","2007-01-16",25.01
"10","2007-01-17",25.465
"11","2007-01-18",24.18
"12","2007-01-19",23.975
"13","2007-01-22",24.684999
"14","2007-01-23",24.42
"15","2007-01-24",24.620001
"16","2007-01-25",23.924999
"17","2007-01-26",24.975
"18","2007-01-29",25.615
"19","2007-01-30",25.75
"20","2007-01-31",25.17
"21","2007-02-01",25.879999
"22","2007-02-02",27.395
"23","2007-02-05",28.305
"24","2007-02-06",28.875
"25","2007-02-07",28.75
"26","2007-02-08",28.245001
"27","2007-02-09",27.075001
"28","2007-02-12",27.135
"29","2007-02-13",26.77
"30","2007-02-14",26.754999
"31","2007-02-15",26.424999
"32","2007-02-16",27.584999
"33","2007-02-20",28
"34","2007-02-21",26.99
"35","2007-02-22",26.225
"36","2007-02-23",26.25
"37","2007-02-26",26.030001
"38","2007-02-27",24.24
"39","2007-02-28",24.360001
"40","2007-03-01",24.905001
"41","2007-03-02",24.5
"42","2007-03-05",22.530001
"43","2007-03-06",22.93
"44","2007-03-07",22.795
"45","2007-03-08",22.799999
"46","2007-03-09",22.775
"47","2007-03-12",23.040001
"48","2007-03-13",22.24
"49","2007-03-14",22.285
"50","2007-03-15",22.9
"51","2007-03-16",23.084999
"52","2007-03-19",23.940001
"53","2007-03-20",23.764999
"54","2007-03-21",23.465
"55","2007-03-22",23.74
"56","2007-03-23",23.870001
"57","2007-03-26",23.815001
"58","2007-03-27",24.215
"59","2007-03-28",23.74
"60","2007-03-29",23.615
"61","2007-03-30",23.625
"62","2007-04-02",23.530001
"63","2007-04-03",23.74
"64","2007-04-04",24.99
"65","2007-04-05",25.879999
"66","2007-04-09",25.695
"67","2007-04-10",25.85
"68","2007-04-11",26.450001
"69","2007-04-12",26.690001
"70","2007-04-13",26.475
"71","2007-04-16",27.17
"72","2007-04-17",26.780001
"73","2007-04-18",26.705
"74","2007-04-19",26.139999
"75","2007-04-20",26.84
"76","2007-04-23",26.93
"77","2007-04-24",26.334999
"78","2007-04-25",26.709999
"79","2007-04-26",26.84
"80","2007-04-27",27.344999
"81","2007-04-30",27.940001
"82","2007-05-01",27.545
"83","2007-05-02",28.6
"84","2007-05-03",28.705
"85","2007-05-04",34.424999
"86","2007-05-07",34.724998
"87","2007-05-08",34.235001
"88","2007-05-09",36.02
"89","2007-05-10",35.125
"90","2007-05-11",35.470001
"91","2007-05-14",35.580002
"92","2007-05-15",36.580002
"93","2007-05-16",36.490002
"94","2007-05-17",38.150002
"95","2007-05-18",38.419998
"96","2007-05-21",38.494999
"97","2007-05-22",38.869999
"98","2007-05-23",39.055
"99","2007-05-24",37.720001
"100","2007-05-25",38.785
"101","2007-05-29",38.855
"102","2007-05-30",40.435001
"103","2007-05-31",40.724998
"104","2007-06-01",40.52
"105","2007-06-04",41.084999
"106","2007-06-05",42.525002
"107","2007-06-06",42.599998
"108","2007-06-07",43.049999
"109","2007-06-08",43.279999
"110","2007-06-11",45.485001
"111","2007-06-12",45.59
"112","2007-06-13",45.455002
"113","2007-06-14",45.439999
"114","2007-06-15",45.580002
"115","2007-06-18",44.330002
"116","2007-06-19",45.389999
"117","2007-06-20",46.09
"118","2007-06-21",45.919998
"119","2007-06-22",46.91
"120","2007-06-25",46.119999
"121","2007-06-26",45.25
"122","2007-06-27",43.040001
"123","2007-06-28",41.259998
"124","2007-06-29",43
"125","2007-07-02",41.84
"126","2007-07-03",41.5
"127","2007-07-05",43.240002
"128","2007-07-06",44.490002
"129","2007-07-09",47.880001
"130","2007-07-10",48.259998
"131","2007-07-11",48.580002
"132","2007-07-12",48.18
"133","2007-07-13",47.099998
