"","date","TRIL"
"1","2013-03-22",6.36
"2","2013-03-25",6.36
"3","2013-03-26",6.36
"4","2013-03-27",6.36
"5","2013-03-28",6.36
"6","2013-04-01",6.42
"7","2013-04-02",6.3
"8","2013-04-03",6.3
"9","2013-04-04",6.3
"10","2013-04-05",6.3
"11","2013-04-08",6.15
"12","2013-04-09",6.15
"13","2013-04-10",6.15
"14","2013-04-11",6.15
"15","2013-04-12",6.15
"16","2013-04-15",6.24
"17","2013-04-16",6.24
"18","2013-04-17",6.24
"19","2013-04-18",6.09
"20","2013-04-19",5.94
"21","2013-04-22",5.94
"22","2013-04-23",5.94
"23","2013-04-24",5.94
"24","2013-04-25",5.94
"25","2013-04-26",5.94
"26","2013-04-29",5.94
"27","2013-04-30",5.94
"28","2013-05-01",5.94
"29","2013-05-02",5.94
"30","2013-05-03",5.94
"31","2013-05-06",5.94
"32","2013-05-07",5.94
"33","2013-05-08",5.94
"34","2013-05-09",5.94
"35","2013-05-10",5.94
"36","2013-05-13",4.83
"37","2013-05-14",4.83
"38","2013-05-15",4.83
"39","2013-05-16",4.83
"40","2013-05-17",4.83
"41","2013-05-20",4.83
"42","2013-05-21",4.17
"43","2013-05-22",4.17
"44","2013-05-23",4.59
"45","2013-05-24",4.59
"46","2013-05-28",4.59
"47","2013-05-29",4.59
"48","2013-05-30",4.59
"49","2013-05-31",4.59
"50","2013-06-03",4.68
"51","2013-06-04",4.95
"52","2013-06-05",4.95
"53","2013-06-06",4.95
"54","2013-06-07",4.95
"55","2013-06-10",5.16
"56","2013-06-11",5.16
"57","2013-06-12",4.89
"58","2013-06-13",4.89
"59","2013-06-14",5.46
"60","2013-06-17",5.46
"61","2013-06-18",5.94
"62","2013-06-19",5.88
"63","2013-06-20",5.61
"64","2013-06-21",6.54
"65","2013-06-24",6.33
"66","2013-06-25",7.23
"67","2013-06-26",6.9
"68","2013-06-27",6.75
"69","2013-06-28",7.08
"70","2013-07-01",7.17
"71","2013-07-02",7.08
"72","2013-07-03",7.08
"73","2013-07-05",6.81
"74","2013-07-08",6.75
"75","2013-07-09",6.75
"76","2013-07-10",6.87
"77","2013-07-11",6.9
"78","2013-07-12",6.9
"79","2013-07-15",7.5
"80","2013-07-16",7.47
"81","2013-07-17",7.5
"82","2013-07-18",7.5
"83","2013-07-19",6.9
"84","2013-07-22",7.41
"85","2013-07-23",7.59
"86","2013-07-24",7.35
"87","2013-07-25",7.38
"88","2013-07-26",8.25
"89","2013-07-29",8.52
"90","2013-07-30",7.92
"91","2013-07-31",8.7
"92","2013-08-01",8.34
"93","2013-08-02",8.88
"94","2013-08-05",10.86
"95","2013-08-06",11.55
"96","2013-08-07",13.89
"97","2013-08-08",12.96
"98","2013-08-09",11.7
"99","2013-08-12",10.5
"100","2013-08-13",9.9
"101","2013-08-14",9.6
"102","2013-08-15",8.1
"103","2013-08-16",8.91
"104","2013-08-19",8.79
"105","2013-08-20",8.88
"106","2013-08-21",8.4
"107","2013-08-22",8.4
"108","2013-08-23",8.49
"109","2013-08-26",9.3
"110","2013-08-27",9.6
"111","2013-08-28",8.67
"112","2013-08-29",9.27
"113","2013-08-30",9.27
"114","2013-09-03",8.85
"115","2013-09-04",9.03
"116","2013-09-05",8.49
"117","2013-09-06",9.09
"118","2013-09-09",9.42
"119","2013-09-10",8.88
"120","2013-09-11",8.88
"121","2013-09-12",9
"122","2013-09-13",8.73
"123","2013-09-16",8.7
"124","2013-09-17",8.91
"125","2013-09-18",9.03
"126","2013-09-19",8.49
"127","2013-09-20",9.03
"128","2013-09-23",8.91
"129","2013-09-24",8.43
"130","2013-09-25",8.61
"131","2013-09-26",8.31
