"","date","ABBV"
"1","2013-01-02",35.119999
"2","2013-01-03",34.830002
"3","2013-01-04",34.389999
"4","2013-01-07",34.459999
"5","2013-01-08",33.709999
"6","2013-01-09",33.900002
"7","2013-01-10",34
"8","2013-01-11",33.849998
"9","2013-01-14",34.09
"10","2013-01-15",34.599998
"11","2013-01-16",35.540001
"12","2013-01-17",36.419998
"13","2013-01-18",37.32
"14","2013-01-22",36.419998
"15","2013-01-23",37.799999
"16","2013-01-24",37.459999
"17","2013-01-25",37.599998
"18","2013-01-28",36.889999
"19","2013-01-29",37.310001
"20","2013-01-30",36.93
"21","2013-01-31",36.689999
"22","2013-02-01",37.18
"23","2013-02-04",37.279999
"24","2013-02-05",37.200001
"25","2013-02-06",37.139999
"26","2013-02-07",36.419998
"27","2013-02-08",36.25
"28","2013-02-11",35.849998
"29","2013-02-12",35.419998
"30","2013-02-13",35.27
"31","2013-02-14",36.57
"32","2013-02-15",37.580002
"33","2013-02-19",38.189999
"34","2013-02-20",38.610001
"35","2013-02-21",38.779999
"36","2013-02-22",38.459999
"37","2013-02-25",37.369999
"38","2013-02-26",37.09
"39","2013-02-27",36.73
"40","2013-02-28",36.919998
"41","2013-03-01",37.810001
"42","2013-03-04",38.240002
"43","2013-03-05",37.509998
"44","2013-03-06",37.740002
"45","2013-03-07",37.490002
"46","2013-03-08",37.34
"47","2013-03-11",37.669998
"48","2013-03-12",37.169998
"49","2013-03-13",37.169998
"50","2013-03-14",37.560001
"51","2013-03-15",38.5
"52","2013-03-18",38.16
"53","2013-03-19",38.360001
"54","2013-03-20",39.060001
"55","2013-03-21",38.490002
"56","2013-03-22",38.970001
"57","2013-03-25",39.32
"58","2013-03-26",40.209999
"59","2013-03-27",40.150002
"60","2013-03-28",40.779999
"61","2013-04-01",41.119999
"62","2013-04-02",40.709999
"63","2013-04-03",40.57
"64","2013-04-04",41.599998
"65","2013-04-05",41.310001
"66","2013-04-08",41.77
"67","2013-04-09",42.549999
"68","2013-04-10",43.619999
"69","2013-04-11",43.200001
"70","2013-04-12",43.09
"71","2013-04-15",41.439999
"72","2013-04-16",42.450001
"73","2013-04-17",42.240002
"74","2013-04-18",42.32
"75","2013-04-19",42.389999
"76","2013-04-22",44.200001
"77","2013-04-23",45.139999
"78","2013-04-24",44.32
"79","2013-04-25",44.240002
"80","2013-04-26",45.84
"81","2013-04-29",45.23
"82","2013-04-30",46.049999
"83","2013-05-01",45.549999
"84","2013-05-02",43.990002
"85","2013-05-03",44.68
