"","date","BLMN"
"1","2012-08-08",12.41
"2","2012-08-09",13.49
"3","2012-08-10",12.86
"4","2012-08-13",12.91
"5","2012-08-14",12.93
"6","2012-08-15",12.97
"7","2012-08-16",12.77
"8","2012-08-17",13.06
"9","2012-08-20",13
"10","2012-08-21",13.34
"11","2012-08-22",13.33
"12","2012-08-23",13
"13","2012-08-24",12.89
"14","2012-08-27",12.79
"15","2012-08-28",12.84
"16","2012-08-29",13.02
"17","2012-08-30",13.05
"18","2012-08-31",12.98
"19","2012-09-04",13.45
"20","2012-09-05",13.86
"21","2012-09-06",14.41
"22","2012-09-07",14.45
"23","2012-09-10",14.42
"24","2012-09-11",14.44
"25","2012-09-12",14.45
"26","2012-09-13",14.25
"27","2012-09-14",14.4
"28","2012-09-17",15.05
"29","2012-09-18",15.1
"30","2012-09-19",15.1
"31","2012-09-20",15.29
"32","2012-09-21",15.97
"33","2012-09-24",15.75
"34","2012-09-25",15.22
"35","2012-09-26",14.99
"36","2012-09-27",15.82
"37","2012-09-28",16.450001
"38","2012-10-01",16.370001
"39","2012-10-02",16.219999
"40","2012-10-03",15.68
"41","2012-10-04",15.63
"42","2012-10-05",15.38
"43","2012-10-08",15.21
"44","2012-10-09",14.8
"45","2012-10-10",14.31
"46","2012-10-11",15.11
"47","2012-10-12",14.89
"48","2012-10-15",14.8
"49","2012-10-16",14.86
"50","2012-10-17",14.77
"51","2012-10-18",15.12
"52","2012-10-19",14.66
"53","2012-10-22",13.88
"54","2012-10-23",13.88
"55","2012-10-24",13.5
"56","2012-10-25",13.14
"57","2012-10-26",13.13
"58","2012-10-31",13.67
"59","2012-11-01",13.48
"60","2012-11-02",13.56
"61","2012-11-05",13.73
"62","2012-11-06",14.06
"63","2012-11-07",13.73
"64","2012-11-08",15.46
"65","2012-11-09",15.41
"66","2012-11-12",15.38
"67","2012-11-13",15.2
"68","2012-11-14",15
"69","2012-11-15",14.77
"70","2012-11-16",14.7
"71","2012-11-19",15.29
"72","2012-11-20",15.32
"73","2012-11-21",15.31
"74","2012-11-23",15.55
"75","2012-11-26",15.93
"76","2012-11-27",15.56
"77","2012-11-28",15.49
"78","2012-11-29",15.78
"79","2012-11-30",15.83
"80","2012-12-03",16.049999
"81","2012-12-04",15.45
"82","2012-12-05",15.4
"83","2012-12-06",15.34
"84","2012-12-07",15.43
"85","2012-12-10",15.09
"86","2012-12-11",14.98
"87","2012-12-12",15.42
"88","2012-12-13",16.049999
"89","2012-12-14",16.280001
"90","2012-12-17",16.49
"91","2012-12-18",16.57
"92","2012-12-19",16.59
"93","2012-12-20",16.08
"94","2012-12-21",15.66
"95","2012-12-24",15.78
"96","2012-12-26",15.8
"97","2012-12-27",15.73
"98","2012-12-28",15.69
"99","2012-12-31",15.64
"100","2013-01-02",16.389999
"101","2013-01-03",16.219999
"102","2013-01-04",16.309999
"103","2013-01-07",16.25
"104","2013-01-08",16.309999
"105","2013-01-09",16.48
"106","2013-01-10",17.200001
"107","2013-01-11",17
"108","2013-01-14",17
"109","2013-01-15",17.129999
"110","2013-01-16",17
"111","2013-01-17",17.559999
"112","2013-01-18",18.5
"113","2013-01-22",18.620001
"114","2013-01-23",18.42
"115","2013-01-24",18.4
"116","2013-01-25",18.280001
"117","2013-01-28",18.450001
"118","2013-01-29",18.48
"119","2013-01-30",18.59
"120","2013-01-31",18.57
"121","2013-02-01",18.73
"122","2013-02-04",18.6
"123","2013-02-05",18.559999
"124","2013-02-06",18.48
"125","2013-02-07",18.33
"126","2013-02-08",18.25
"127","2013-02-11",18.49
"128","2013-02-12",18.620001
"129","2013-02-13",18.530001
"130","2013-02-14",18.34
"131","2013-02-15",18.09
"132","2013-02-19",18.610001
"133","2013-02-20",18.219999
"134","2013-02-21",18.049999
"135","2013-02-22",17.15
"136","2013-02-25",17.52
"137","2013-02-26",17.4
"138","2013-02-27",17.67
"139","2013-02-28",17.209999
"140","2013-03-01",16.950001
"141","2013-03-04",17.030001
"142","2013-03-05",17.309999
"143","2013-03-06",17.23
"144","2013-03-07",17.370001
"145","2013-03-08",17.5
"146","2013-03-11",17.51
"147","2013-03-12",17.530001
"148","2013-03-13",17.629999
"149","2013-03-14",17.85
"150","2013-03-15",17.610001
"151","2013-03-18",17.48
"152","2013-03-19",17.51
"153","2013-03-20",17.809999
"154","2013-03-21",17.74
"155","2013-03-22",18.18
"156","2013-03-25",18
"157","2013-03-26",18
"158","2013-03-27",17.639999
"159","2013-03-28",17.860001
"160","2013-04-01",17.75
"161","2013-04-02",17.610001
"162","2013-04-03",18.040001
"163","2013-04-04",18.5
"164","2013-04-05",18.4
"165","2013-04-08",18.66
"166","2013-04-09",18.91
"167","2013-04-10",19.809999
"168","2013-04-11",20.120001
"169","2013-04-12",20.780001
"170","2013-04-15",20.5
"171","2013-04-16",21.49
"172","2013-04-17",20.75
"173","2013-04-18",20.51
"174","2013-04-19",20.889999
"175","2013-04-22",20.74
"176","2013-04-23",20.74
"177","2013-04-24",20.91
"178","2013-04-25",21.59
"179","2013-04-26",21.639999
"180","2013-04-29",21.559999
"181","2013-04-30",21.75
"182","2013-05-01",20.790001
"183","2013-05-02",21.030001
"184","2013-05-03",21.32
"185","2013-05-06",22.459999
"186","2013-05-07",22.26
"187","2013-05-08",21.51
"188","2013-05-09",21.219999
"189","2013-05-10",21.83
"190","2013-05-13",21.5
"191","2013-05-14",21.5
"192","2013-05-15",21.74
"193","2013-05-16",21.92
"194","2013-05-17",21.74
"195","2013-05-20",21.58
"196","2013-05-21",21.200001
"197","2013-05-22",21.52
"198","2013-05-23",22.15
"199","2013-05-24",22.309999
"200","2013-05-28",23
"201","2013-05-29",22.639999
"202","2013-05-30",23.07
"203","2013-05-31",23.26
"204","2013-06-03",23.469999
"205","2013-06-04",23.950001
"206","2013-06-05",23.780001
"207","2013-06-06",23.27
"208","2013-06-07",23.59
"209","2013-06-10",23.58
"210","2013-06-11",23.08
"211","2013-06-12",23.280001
"212","2013-06-13",23.459999
"213","2013-06-14",23.690001
"214","2013-06-17",24.73
"215","2013-06-18",25.299999
"216","2013-06-19",25.32
"217","2013-06-20",25.049999
"218","2013-06-21",25.049999
"219","2013-06-24",25.309999
"220","2013-06-25",24.91
"221","2013-06-26",25.209999
"222","2013-06-27",24.99
"223","2013-06-28",24.879999
"224","2013-07-01",24.99
"225","2013-07-02",25.67
"226","2013-07-03",25.6
"227","2013-07-05",26
"228","2013-07-08",25.690001
"229","2013-07-09",26.219999
"230","2013-07-10",26.18
"231","2013-07-11",26.41
"232","2013-07-12",26.1
"233","2013-07-15",24.969999
"234","2013-07-16",25.17
"235","2013-07-17",24.559999
"236","2013-07-18",24.879999
"237","2013-07-19",24.15
"238","2013-07-22",23.84
"239","2013-07-23",22.290001
"240","2013-07-24",22.4
"241","2013-07-25",22.690001
"242","2013-07-26",23.120001
"243","2013-07-29",23.299999
"244","2013-07-30",23.51
"245","2013-07-31",23.6
"246","2013-08-01",24.99
"247","2013-08-02",25.1
"248","2013-08-05",24.860001
"249","2013-08-06",24.870001
"250","2013-08-07",24.83
"251","2013-08-08",24.76
"252","2013-08-09",24.629999
"253","2013-08-12",24.280001
"254","2013-08-13",24.309999
"255","2013-08-14",24.389999
"256","2013-08-15",24.09
"257","2013-08-16",23.469999
"258","2013-08-19",23.379999
"259","2013-08-20",23.309999
"260","2013-08-21",23.17
"261","2013-08-22",23.030001
"262","2013-08-23",23.040001
"263","2013-08-26",22.84
"264","2013-08-27",22.360001
"265","2013-08-28",22.200001
"266","2013-08-29",22.48
"267","2013-08-30",22.5
"268","2013-09-03",22.76
"269","2013-09-04",22.780001
"270","2013-09-05",22.690001
"271","2013-09-06",22.860001
"272","2013-09-09",23.33
"273","2013-09-10",23.629999
"274","2013-09-11",23.209999
"275","2013-09-12",23.389999
"276","2013-09-13",23.57
"277","2013-09-16",24.16
"278","2013-09-17",24.559999
"279","2013-09-18",24.33
"280","2013-09-19",23.5
"281","2013-09-20",23.040001
"282","2013-09-23",22.73
"283","2013-09-24",23.209999
"284","2013-09-25",23.360001
"285","2013-09-26",23.42
"286","2013-09-27",23.85
"287","2013-09-30",23.610001
"288","2013-10-01",23.35
"289","2013-10-02",23.030001
"290","2013-10-03",22.469999
"291","2013-10-04",22.33
"292","2013-10-07",22.01
"293","2013-10-08",21.76
"294","2013-10-09",21.299999
"295","2013-10-10",21.74
"296","2013-10-11",22.24
"297","2013-10-14",22.25
"298","2013-10-15",22.120001
"299","2013-10-16",22.700001
"300","2013-10-17",22.85
"301","2013-10-18",22.629999
"302","2013-10-21",22.48
