"","date","OAS"
"1","2010-06-17",14.88
"2","2010-06-18",15.96
"3","2010-06-21",15.73
"4","2010-06-22",15.56
"5","2010-06-23",15.17
"6","2010-06-24",14.7
"7","2010-06-25",14.75
"8","2010-06-28",15.05
"9","2010-06-29",14.6
"10","2010-06-30",14.5
"11","2010-07-01",14.42
"12","2010-07-02",14.35
"13","2010-07-06",14.36
"14","2010-07-07",14.78
"15","2010-07-08",15.19
"16","2010-07-09",15.75
"17","2010-07-12",15.61
"18","2010-07-13",16.01
"19","2010-07-14",16.389999
"20","2010-07-15",16.17
"21","2010-07-16",16.299999
"22","2010-07-19",16.280001
"23","2010-07-20",17
"24","2010-07-21",16.52
"25","2010-07-22",17.040001
"26","2010-07-23",16.73
"27","2010-07-26",16.68
"28","2010-07-27",16.309999
"29","2010-07-28",17.190001
"30","2010-07-29",17.379999
"31","2010-07-30",17.200001
"32","2010-08-02",17.75
"33","2010-08-03",17.98
"34","2010-08-04",18.459999
"35","2010-08-05",18.129999
"36","2010-08-06",18.110001
"37","2010-08-09",17.85
"38","2010-08-10",17.68
"39","2010-08-11",16.98
"40","2010-08-12",17.41
"41","2010-08-13",17.74
"42","2010-08-16",17.370001
"43","2010-08-17",17.5
"44","2010-08-18",17.139999
"45","2010-08-19",17.02
"46","2010-08-20",17
"47","2010-08-23",17.299999
"48","2010-08-24",17.25
"49","2010-08-25",16.77
"50","2010-08-26",16.440001
"51","2010-08-27",16.5
"52","2010-08-30",16.559999
"53","2010-08-31",16.469999
"54","2010-09-01",17.469999
"55","2010-09-02",17.870001
"56","2010-09-03",17.99
"57","2010-09-07",17.700001
"58","2010-09-08",17.809999
"59","2010-09-09",18.049999
"60","2010-09-10",17.709999
"61","2010-09-13",17.48
"62","2010-09-14",17.540001
"63","2010-09-15",17.75
"64","2010-09-16",18.1
"65","2010-09-17",18.23
"66","2010-09-20",18.110001
"67","2010-09-21",18.09
"68","2010-09-22",17.48
"69","2010-09-23",16.9
"70","2010-09-24",17.719999
"71","2010-09-27",17.940001
"72","2010-09-28",17.93
